#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,source_batch
1,1X Technologies AS,1x.tech,Norway,"Humanoid robots (NEO, consumer/industrial)",300,250-1k,core,Total funding ~USD 155M to date (incl. USD 100M Series B); in active talks (per 2025-26 reporting) to raise up to USD 1B at a targeted USD 10B valuation — verify round-close status before outreach,OpenAI-backed humanoid-robot maker moving into consumer/home deployment (NEO); flagged for growth-path verification given a large round reportedly still closing.,S7a
2,Addverb Technologies Ltd.,addverb.com,India,Warehouse robotics & AMR systems,2500,1k-5k,core,"Backed by Reliance Industries (majority owner, 2022 investment ~USD 132M); valuation ~USD 1.2B+","India's largest warehouse-robotics unicorn, majority-owned by Reliance Industries (a major global conglomerate); F1's growing Indian fanbase and Reliance's scale make this a strategically interesting prospect.",S7a
3,"Advantech Co., Ltd.",advantech.com,Taiwan,Industrial PCs & edge computing for automation,8000,5k-10k,core,"Revenue ~$1.9B, public (TWSE: 2395)",Global leader in industrial computing/edge hardware underpinning automation systems; strong Asia growth ambitions align with F1's calendar expansion.,S7b_v2
4,AgiBot / Zhiyuan Robotics,zhiyuan-robot.com,China,Humanoid robots (general purpose),1000,250-1k,core,"10+ funding rounds since 2023; valuation reported at USD 6B+ (2025-26), backers incl. Tencent, JD.com, Hillhouse, LG Electronics","One of China's best-funded humanoid-robot makers, co-founded by a high-profile robotics KOL; F1's China market growth and manufacturing-partner ecosystem align with AgiBot's industrial deployment push.",S7a
5,"Agility Robotics, Inc.",agilityrobotics.com,United States,Humanoid robots (Digit),300,250-1k,core,Total funding ~USD 400M+ (incl. Amazon Industrial Innovation Fund); valuation ~USD 1.75B+ (2023-24 rounds),Amazon-backed humanoid maker (Digit) already deployed in live warehouse operations; F1's logistics-sponsor network offers a credible activation channel.,S7a
6,Ammeraal Beltech,ammeraalbeltech.com,Netherlands,Conveyor belting & process belts,2700,1k-5k,core,Owned by Marmon Holdings (Berkshire Hathaway); backed by parent's scale/profitability,Berkshire-backed conveyor-belting leader serving global manufacturing and logistics lines; long-run sponsorship stability from parent balance sheet.,W05
7,ams OSRAM AG,ams-osram.com,Austria,Industrial & optical sensor solutions,20000,10k+,core,"Revenue ~EUR 3.6B, public (SIX: AMS)",Optical sensing and semiconductor leader used across industrial automation; sensing-precision story matches F1 telemetry.,S7b_v2
8,"Apex Tool Group, LLC",apextoolgroup.com,United States,Professional & industrial fastening tools,7000,5k-10k,core,Private equity-backed (Bain Capital); estimated group revenue ~$1.2B,"Global professional and industrial tool maker (incl. GEARWRENCH, Weller) with a strong US manufacturing base; PE-scale budget supports enterprise sponsorship.",W05
9,"Apptronik, Inc.",apptronik.com,United States,Humanoid robots (Apollo),400,250-1k,core,"Total funding ~USD 1B (incl. USD 520M Series A extension, Feb 2026); valuation >USD 5.5B — backers incl. Google, Mercedes-Benz, B Capital",Google- and Mercedes-Benz-backed humanoid maker (Apollo) racing to industrial-scale deployment; F1's automotive-manufacturer sponsor network is a natural pilot channel.,S7a
10,ARaymond,araymond.com,France,Fastening & assembly systems,8000,5k-10k,core,"Private, family-owned; estimated revenue ~EUR 900M from global fastening-technology sales",French family-owned fastening-technology leader (clip and connection systems) serving automotive manufacturers worldwide; motorsport-nation brand story for the French GP market.,W05
