#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,Bloomberg Law,bloomberglaw.com,United States,"Legal research, news and analytics platform",20000,10k+,core,high,"Part of the privately-held Bloomberg L.P. (20,000+ employees, multi-billion revenue); parent company's scale and existing sports-sponsorship footprint support core-tier consideration.",,X09b
2,Cellebrite,cellebrite.com,Israel,Digital forensics and investigative data platform used in legal/e-discovery workflows,1200,1k-5k,core,high,"Publicly traded (NASDAQ: CLBT) with revenue above $400M annually; heavy use by law enforcement, corporate legal and investigations teams gives it core-tier sponsorship capacity.",yes,X09b
3,Clarivate,clarivate.com,United Kingdom,IP and scientific/patent information services,10000,5k-10k,core,high,"Publicly traded (NYSE: CLVT) with revenue above $2.6B; core-tier scale with a global IP/legal customer base spanning F1 sponsor-adjacent industries (pharma, tech, manufacturing).",yes,X09b
4,Consilio,consilio.com,United States,"E-discovery, legal talent (incl. LOD) and advisory services",5000,1k-5k,core,high,"Global ALSP/e-discovery leader (owner of Lawyers On Demand and SYKE, confirmed acquisitions) with reported revenue above $200M and thousands of staff across 25+ countries.",yes,X09b
5,Epiq,epiqglobal.com,United States,"Legal services, e-discovery and managed review at scale",5500,5k-10k,core,high,Large PE-backed (OMERS) global legal services provider with reported revenue well above $200M and headcount approaching the core-tier staff gate.,yes,X09b
6,LegalZoom,legalzoom.com,United States,Consumer and small-business legal services platform (public company),2000,1k-5k,core,high,"Publicly traded (NASDAQ: LZ) with revenue near $700M; core-tier scale and a mass-consumer brand that already invests heavily in national advertising, a natural fit for F1's broad audience.",yes,X09b
7,OpenText,opentext.com,Canada,Enterprise information governance and e-discovery (legal unit),24000,10k+,core,high,"Large public company (NASDAQ/TSX: OTEX) with multi-billion-dollar revenue and a dedicated legal/e-discovery product line, giving it core-tier scale and marketing budget.",yes,X09b
8,Relativity,relativity.com,United States,E-discovery and legal data investigation platform,1500,1k-5k,core,high,"Category-defining e-discovery platform used across BigLaw and corporate legal departments globally, with reported ARR well above $200M — squarely in core sponsorship range.",yes,X09b
9,RELX (LexisNexis),relx.com,United Kingdom,Legal research and analytics (LexisNexis),36000,10k+,core,high,"FTSE 100 parent of LexisNexis with revenue exceeding £9B and 30,000+ staff; scale and existing sports/media sponsorship experience make it a clear core-tier F1 prospect.",yes,X09b
10,RWS,rws.com,United Kingdom,"IP translation, patent filing support and language services",6500,5k-10k,core,high,"Publicly listed (LSE: RWS) with revenue above £700M and 6,000+ staff; core-tier scale serving global IP and legal clients across F1 host markets.",yes,X09b
11,Thomson Reuters (Westlaw),thomsonreuters.com,Canada,"Legal research and analytics (Westlaw, CoCounsel)",26000,10k+,core,high,Public company with revenue above $7B and a global legal-research franchise (Westlaw); core-tier scale and an existing appetite for high-profile global marketing.,yes,X09b
12,Agiloft,agiloft.com,United States,No-code CLM software,450,250-1k,funded-150m,medium-high,Took a large growth investment from Symphony Technology Group; established enterprise CLM vendor with the balance-sheet backing to support brand marketing.,yes,X09b
13,ContractPodAi,contractpodai.com,United Kingdom,AI-native CLM platform,400,250-1k,funded-150m,medium-high,Raised a $115M round in 2023 bringing cumulative funding above $150M; positions itself as an AI-first CLM challenger seeking premium brand visibility.,yes,X09b
14,Proof,proof.com,United States,Remote online notarization and identity verification (formerly Notarize),350,250-1k,funded-150m,medium-high,"Raised over $200M cumulatively (including a $130M Series D) at a ~$760M valuation; funded-tier scale in a category tied closely to real-estate and lending, both consumer-facing verticals F1 sponsors court.",,X09b
15,Sirion,sirionlabs.com,United States,AI-powered CLM and contract analytics,800,250-1k,funded-150m,medium-high,Raised a $110M round in 2024 pushing it to unicorn status; cumulative funding and enterprise CLM customer base support a funded-tier sponsorship pitch.,,X09b
16,Snapdocs,snapdocs.com,United States,Digital mortgage closing and e-notary platform,400,250-1k,funded-150m,medium-high,"Raised roughly $154M at a $1.6B valuation; funded-tier scale bridging legal-signing and real-estate/lending, verticals with existing F1 sponsor overlap.",,X09b
17,Clio,clio.com,Canada,Cloud legal practice management + AI (EVA),1400,1k-5k,growth-projected,high,Has raised over $900M and is valued near $3B after acquiring vLex and Learn.Law; F1's global reach mirrors Clio's push to become the default legal OS across small and mid-size firms worldwide.,yes,X09b
