#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,Adobe,adobe.com,United States,Document Cloud / Digital Media & Sign,30000,10k+,core,Public (NASDAQ: ADBE); FY2023 revenue ~$19.4B,Massive-scale public software company with the marketing budget for premium global sports sponsorship.,yes,X11a
2,Amplitude,amplitude.com,US,Product analytics,1150,1k-5k,core,High,Public company (NASDAQ: AMPL) with revenue over $290M and a global enterprise customer base spanning every vertical; digital-experience analytics narrative pairs naturally with F1 team performance-data storytelling.,yes,X11b
3,Asana,asana.com,United States,Work & Project Management,1600,1k-5k,core,Public (NYSE: ASAN); FY2024 revenue ~$652M,Public work-management platform with $650M+ revenue and prior history of sports/creator marketing.,yes,X11a
4,Bill.com,bill.com,United States,AP/AR Automation & Spend Management,3000,1k-5k,core,Public (NYSE: BILL); FY2024 revenue ~$1.25B,Large public fintech-SaaS company with the scale and marketing budget for a premium sports platform.,yes,X11a
5,Box,box.com,United States,Cloud Content Management,2700,1k-5k,core,Public (NYSE: BOX); FY2024 revenue ~$1.07B,Public content-cloud company at $1B+ revenue with an enterprise brand seeking differentiated visibility.,yes,X11a
6,Braze,braze.com,US,Customer engagement/marketing platform,1700,1k-5k,core,High,Public company (NASDAQ: BRZE) with annual revenue near $500M; enterprise customer-engagement platform with the scale to support a significant sponsorship.,yes,X11b
7,Canva,canva.com,Australia,Design & Visual Content Platform,4500,1k-5k,core,Private; reported revenue ~$2.3B ARR (2023),Global design platform with billions in revenue and a mainstream consumer brand primed for sports marketing.,yes,X11a
8,Cegid,cegid.com,France,"HR, Payroll, Finance & Retail SaaS Suite",5000,1k-5k,core,"Private equity-owned (Silver Lake, AltaOne); reported revenue >€700M (2023)",Large PE-backed European SaaS group with revenue scale and a France/Europe brand-building mandate.,yes,X11a
9,Dayforce,dayforce.com,Canada,HCM & Payroll,10000,5k-10k,core,Public (NYSE: DAY); FY2023 revenue ~$1.5B,Billion-dollar-revenue global HCM leader with the scale for premium global sports sponsorship.,yes,X11a
10,DocuSign,docusign.com,United States,E-Signature & Agreement Management,7000,5k-10k,core,Public (NASDAQ: DOCU); FY2024 revenue ~$2.8B,Category-defining public e-signature leader with multi-billion revenue and global brand campaigns.,yes,X11a
11,Figma,figma.com,United States,Design & Product Collaboration,1300,1k-5k,core,Private; reported ARR exceeded $600M (2023 disclosures ahead of planned IPO),Design-collaboration category leader with $600M+ ARR and an influential creative/design-conscious audience.,yes,X11a
12,GoTo,goto.com,US,Password management (LastPass) & remote-work software,3000,1k-5k,core,High,Private-equity-owned (Francisco Partners/Elliott) parent of LastPass with reported revenue near $1B; scale and balance sheet clear the core gate for a major sponsorship.,yes,X11b
13,Grammarly,grammarly.com,United States,AI Writing Assistant,1200,1k-5k,core,Private; reported revenue >$700M ARR (2024); $200M funding round (2021) at $13B valuation,Mainstream productivity brand with $700M+ ARR and broad consumer reach beyond its enterprise base.,yes,X11a
