sector,rank,priority_score,company,domain,hq_country,niche,employees_est,size_band,tag,timing_signal,other_sport_deal,affordability,why_f1
"01 Asset Mgmt, PE & Trading Firms",1,50,Akuna Capital,akunacapital.com,USA,Options market maker,"500-1,000",250-1k,core,,,Multi-billion dollar proprietary trading capital,Derivatives market maker competing for quant talent via brand differentiation
"01 Asset Mgmt, PE & Trading Firms",2,50,Antin Infrastructure Partners,antin-ip.com,France,Infrastructure PE,200-500,250-1k,core,,,"~€32B AUM, public (Euronext Paris)",Infrastructure investor base aligns with F1 host-city development stories
"01 Asset Mgmt, PE & Trading Firms",3,50,Apax Partners,apax.com,UK,Global PE,200-500,250-1k,core,,,~$65B AUM,Consumer/tech portfolio bias fits premium sports sponsorship
"01 Asset Mgmt, PE & Trading Firms",4,50,AQR Capital Management,aqr.com,USA,Systematic/quant asset manager,"500-1,000",250-1k,core,,,~$100B AUM,Academic-quant brand seeks premium global visibility platform
"01 Asset Mgmt, PE & Trading Firms",5,50,Ardian,ardian.com,France,Global PE / private credit,"500-1,000",250-1k,core,,,~$170B AUM,French/European LP base overlaps with Paul Ricard/Monaco GP market
"01 Asset Mgmt, PE & Trading Firms",6,50,Baillie Gifford,bailliegifford.com,UK,Active long-only asset manager,"1,000-5,000",1k-5k,core,,,~£225B AUM (private partnership),Growth-equity brand seeking global tech-adjacent exposure
"01 Asset Mgmt, PE & Trading Firms",7,50,Balyasny Asset Management,bamfunds.com,USA,Multi-strategy hedge fund,"1,000-5,000",1k-5k,core,,,~$21B AUM,Rapidly scaling multi-strat seeking talent-brand differentiation
"01 Asset Mgmt, PE & Trading Firms",8,50,Brevan Howard,brevanhoward.com,UK/UAE,Macro hedge fund,"500-1,000",250-1k,core,,,~$30B AUM,Abu Dhabi presence overlaps directly with F1's Abu Dhabi GP market
"01 Asset Mgmt, PE & Trading Firms",9,50,Bridgepoint Group,bridgepoint.eu,UK,Mid-market PE,200-500,250-1k,core,,,"~€60B AUM, public (LSE: BPT)",Prior stake in MotoGP rights holder shows appetite for motorsport commercial exposure
"01 Asset Mgmt, PE & Trading Firms",10,50,Bridgewater Associates,bridgewater.com,USA,Macro hedge fund,"1,000-5,000",1k-5k,core,,,"~$100B+ AUM, world's largest macro hedge fund",Global macro brand with international institutional LP base
"01 Asset Mgmt, PE & Trading Firms",11,50,Capula Investment Management,capula.com,UK,Macro/fixed income hedge fund,200-500,250-1k,core,,,~$25B AUM,London-based macro fund near F1's British GP heartland
"01 Asset Mgmt, PE & Trading Firms",12,50,Cinven,cinven.com,UK,Global PE,200-500,250-1k,core,,,~€45B AUM,Pan-European LP base fits F1's European calendar core
"01 Asset Mgmt, PE & Trading Firms",13,50,Citadel,citadel.com,USA,Multi-strategy hedge fund,"1,000-5,000",1k-5k,core,,,~$65B AUM; Miami HQ near F1's Miami GP,Ken Griffin's Miami base and existing Formula 1/Miami civic ties make F1 a natural extension
"01 Asset Mgmt, PE & Trading Firms",14,50,D.E. Shaw & Co.,deshaw.com,USA,Systematic/multi-strategy hedge fund,"1,000-5,000",1k-5k,core,,,~$60B AUM,Elite quant-talent recruiting benefits from F1's engineering-brand halo
"01 Asset Mgmt, PE & Trading Firms",15,50,Eisler Capital,eislercapital.com,UK,Multi-strategy hedge fund,200-500,250-1k,core,,,~$8B AUM,Fast-growing London multi-strat competing for quant talent
"01 Asset Mgmt, PE & Trading Firms",16,50,Eurazeo,eurazeo.com,France,Diversified PE / private equity,200-500,250-1k,core,,,"~€35B AUM, public (Euronext Paris)",French listed PE firm targeting brand visibility in Europe
"01 Asset Mgmt, PE & Trading Firms",17,50,ExodusPoint Capital Management,exoduspoint.com,USA,Multi-strategy hedge fund,"500-1,000",250-1k,core,,,~$12B AUM,Young multi-strat competing for quant talent via premium brand halo
"01 Asset Mgmt, PE & Trading Firms",18,50,First Sentier Investors,firstsentierinvestors.com,UK/Australia,Traditional asset manager,"500-1,000",250-1k,core,,,~$150B AUM (MUFG-owned),APAC-linked manager fits F1's Australia/Singapore/Japan calendar
"01 Asset Mgmt, PE & Trading Firms",19,50,Francisco Partners,franciscopartners.com,USA,Technology-focused PE,200-500,250-1k,core,,,~$45B AUM,Tech-PE brand seeking data/performance-driven sport tie-in
"01 Asset Mgmt, PE & Trading Firms",20,50,Graham Capital Management,grahamcapital.com,USA,Systematic macro hedge fund,200-500,250-1k,core,,,~$18B AUM,Quant/macro fund culture pairs with F1's data-performance narrative
"01 Asset Mgmt, PE & Trading Firms",21,50,Hg,hgcapital.com,UK,Software/services PE,200-500,250-1k,core,,,~£62B AUM,European tech-PE brand seeks premium hospitality access
"01 Asset Mgmt, PE & Trading Firms",22,50,ICG (Intermediate Capital Group),icgam.com,UK,Alternative asset manager / private credit,"500-1,000",250-1k,core,,,"~£100B AUM, public (LSE: ICG)","UK-headquartered, near-Silverstone LP base"
"01 Asset Mgmt, PE & Trading Firms",23,50,Jump Trading,jumptrading.com,USA,Prop trading firm,"1,000-5,000",1k-5k,core,,,Multi-billion dollar proprietary trading capital,High-frequency engineering culture directly parallels F1's real-time systems engineering
"01 Asset Mgmt, PE & Trading Firms",24,50,M&G plc,mandg.com,UK,Traditional asset manager / savings,"1,000-5,000",1k-5k,core,,,"~£340B AUM, public (LSE: MNG)",UK listed manager seeking premium brand awareness campaign
"01 Asset Mgmt, PE & Trading Firms",25,50,Marshall Wace,marshallwace.com,UK,Systematic/discretionary hedge fund,"1,000-5,000",1k-5k,core,,,~$70B AUM,UK-based quant fund near F1's Silverstone engineering corridor
"01 Asset Mgmt, PE & Trading Firms",26,50,Maven Securities,mavensecurities.com,UK,Options/derivatives market maker,200-500,250-1k,core,,,Multi-billion dollar trading capital base,London-based derivatives trader near F1's British GP market
"01 Asset Mgmt, PE & Trading Firms",27,50,Nordic Capital,nordiccapital.com,Sweden,Nordic PE,200-500,250-1k,core,,,~€30B AUM,Nordic LP base overlaps growing Nordic F1 fandom
"01 Asset Mgmt, PE & Trading Firms",28,50,PAI Partners,paipartners.com,France,European PE,200-500,250-1k,core,,,~€27B AUM,French-rooted firm aligned with F1's Paris/Monaco market presence
"01 Asset Mgmt, PE & Trading Firms",29,50,Point72 Asset Management,point72.com,USA,Multi-strategy hedge fund,"1,000-5,000",1k-5k,core,,,~$35B AUM,Steve Cohen's sports ownership (NY Mets) signals comfort with marquee sport sponsorship
"01 Asset Mgmt, PE & Trading Firms",30,50,Qube Research & Technologies,qube-rt.com,UK,Systematic trading firm,"500-1,000",250-1k,core,,,~$25B+ AUM,Technology-first quant firm values F1's engineering-precision brand kinship
"01 Asset Mgmt, PE & Trading Firms",31,50,Schonfeld Strategic Advisors,schonfeld.com,USA,Multi-strategy hedge fund,"1,000-5,000",1k-5k,core,,,~$14B AUM,Growing multi-strat competing for quant talent via brand differentiation
"01 Asset Mgmt, PE & Trading Firms",32,50,Squarepoint Capital,squarepoint-capital.com,UK/USA,Quant hedge fund,"500-1,000",250-1k,core,,,~$15B AUM,Quant-engineering culture aligns with F1's technical brand narrative
"01 Asset Mgmt, PE & Trading Firms",33,50,Susquehanna International Group (SIG),sig.com,USA,Market maker / prop trading,"1,000-5,000",1k-5k,core,,,Multi-billion dollar proprietary trading revenue,Options/derivatives trading culture mirrors F1's risk-and-precision brand
"01 Asset Mgmt, PE & Trading Firms",34,50,Tiger Brokers (UP Fintech),itiger.com,Singapore/China,Digital brokerage platform,"1,000-5,000",1k-5k,core,,,"Public (NASDAQ: TIGR), multi-billion client assets",APAC brokerage brand aligned with F1's Singapore GP market
"01 Asset Mgmt, PE & Trading Firms",35,50,Tikehau Capital,tikehaucapital.com,France,Alternative asset manager,"500-1,000",250-1k,core,,,"~€47B AUM, public (Euronext Paris)",French capital already active in sports/media sponsorship deals
"01 Asset Mgmt, PE & Trading Firms",36,50,Tower Research Capital,tower-research.com,USA,High-frequency trading firm,"500-1,000",250-1k,core,,,Multi-billion dollar proprietary trading capital,HFT engineering-speed culture mirrors F1's split-second performance ethos
"01 Asset Mgmt, PE & Trading Firms",37,50,Triton Partners,triton-partners.com,Luxembourg/Germany,Mid-market PE,200-500,250-1k,core,,,~€55B AUM,DACH industrial portfolio mirrors F1 engineering-brand fit
"01 Asset Mgmt, PE & Trading Firms",38,50,Tudor Investment Corporation,tudor.com,USA,Macro hedge fund,200-500,250-1k,core,,,~$14B AUM,Legacy macro fund brand seeking modern global sport visibility
"01 Asset Mgmt, PE & Trading Firms",39,50,Two Sigma,twosigma.com,USA,Systematic/quant hedge fund,"1,000-5,000",1k-5k,core,,,~$60B AUM,Data-science hedge fund culture directly mirrors F1's engineering ethos
"01 Asset Mgmt, PE & Trading Firms",40,50,VanEck,vaneck.com,USA,ETF issuer / asset manager,200-500,250-1k,core,,,~$115B AUM across ETFs and funds,Thematic ETF brand (EV/battery/crypto) suited to F1's tech-forward audience
"01 Asset Mgmt, PE & Trading Firms",41,50,Verition Fund Management,verition.com,USA,Multi-strategy hedge fund,"500-1,000",250-1k,core,,,~$14B AUM,Scaling multi-strat seeking talent-recruitment brand boost
"01 Asset Mgmt, PE & Trading Firms",42,50,Winton Group,winton.com,UK,Systematic/quant hedge fund,200-500,250-1k,core,,,~$10B AUM,Data-science-led fund culture mirrors F1's telemetry-driven performance story
"01 Asset Mgmt, PE & Trading Firms",43,50,WisdomTree,wisdomtree.com,USA,ETF issuer,200-500,250-1k,core,,,"~$110B AUM, public (NYSE: WT)",Challenger ETF brand seeking differentiated global exposure
"01 Asset Mgmt, PE & Trading Firms",44,46,Fidelity International,fidelityinternational.com,UK,Traditional asset manager,"5,000-10,000",5k-10k,core,,,"~$800B AUM (private, ex-US Fidelity arm)",No confirmed current F1 tie (verify); global brand fits F1's retail-investor reach
"01 Asset Mgmt, PE & Trading Firms",45,46,Millennium Management,millennium.com,USA,Multi-strategy hedge fund,"5,000-10,000",5k-10k,core,,,~$70B AUM,Elite quant-talent brand values engineering-precision association with F1
"01 Asset Mgmt, PE & Trading Firms",46,44,Raisin,raisin.com,Germany,Savings/investment marketplace,"500-1,000",250-1k,funded-150m,,,"$700M+ raised, unicorn valuation",Well-funded European fintech seeking premium brand campaign
"01 Asset Mgmt, PE & Trading Firms",47,42,"Clayton, Dubilier & Rice",cdr-inc.com,USA,Global PE,51-200,100-250,core,,,~$60B AUM,Legacy industrial PE firm seeking modern global brand refresh
"01 Asset Mgmt, PE & Trading Firms",48,42,Coatue Management,coatue.com,USA,Growth/hedge hybrid manager,200-500,250-1k,growth-projected,,,~$70B AUM,Tech-growth investor base overlaps F1's Silicon Valley fanbase surge
"01 Asset Mgmt, PE & Trading Firms",49,42,GSR Markets,gsr.io,UK/Singapore,Digital-asset market maker,200-500,250-1k,growth-projected,,,Multi-billion dollar daily crypto trading volume,Global crypto liquidity provider seeking brand legitimacy beyond exchange-sponsor peers
"01 Asset Mgmt, PE & Trading Firms",50,42,Insight Partners,insightpartners.com,USA,Growth equity / software PE,200-500,250-1k,growth-projected,,,~$90B AUM,SaaS-heavy LP and portfolio base skews toward F1's tech-partner ecosystem
"01 Asset Mgmt, PE & Trading Firms",51,42,Leonard Green & Partners,leonardgreen.com,USA,Consumer-focused PE,51-200,100-250,core,,,~$70B AUM,Consumer-brand portfolio bias fits F1's lifestyle audience
"01 Asset Mgmt, PE & Trading Firms",52,42,Third Point,thirdpoint.com,USA,Activist/event-driven hedge fund,51-200,100-250,core,,,~$10B+ AUM,High-profile principal brand seeking global sport association
"01 Asset Mgmt, PE & Trading Firms",53,42,Tiger Global Management,tigerglobal.com,USA,Hedge fund / growth equity,51-200,100-250,core,,,~$30B+ AUM,Global tech-investing brand with international LP exposure
"01 Asset Mgmt, PE & Trading Firms",54,38,FXTM (ForexTime),forextime.com,Cyprus,Forex/CFD broker,"500-1,000",250-1k,sentiment,,,"Privately held, global multi-regulated broker",Sponsors football (Southampton FC prior partnership) — poachable to F1's global reach
"01 Asset Mgmt, PE & Trading Firms",55,38,HYCM,hycm.com,UK/Cyprus,Forex/CFD broker,200-500,250-1k,sentiment,,,"Privately held (Henyep Group), decades-old FX brand",Football sponsorship history (various club partnerships) — poachable to F1
"01 Asset Mgmt, PE & Trading Firms",56,38,Naga Group,naga.com,Germany/Cyprus,Social trading / broker,200-500,250-1k,sentiment,,,Public (Frankfurt: N4G),"Football club sponsorships (e.g. FC Schalke history) show sports-marketing appetite, poachable to F1"
"01 Asset Mgmt, PE & Trading Firms",57,38,Ninety One,ninetyone.com,UK/South Africa,Traditional asset manager,"1,000-5,000",1k-5k,sentiment,,,"~£125B AUM, public (LSE/JSE: N91)",Sponsors rugby (British & Irish Lions) and cricket — poachable to F1's global reach
"01 Asset Mgmt, PE & Trading Firms",58,34,Acadian Asset Management,acadian-asset.com,USA,Quantitative equity asset manager,200-500,250-1k,adjacent,,,~$130B AUM (BrightSphere-owned),Quant-driven manager seeking distinctive brand platform
"01 Asset Mgmt, PE & Trading Firms",59,34,B2C2,b2c2.com,UK,Digital-asset market maker,51-200,100-250,growth-projected,,,"SBI Group-owned, multi-billion trading volume",Institutional crypto liquidity provider seeking non-exchange F1 association
"01 Asset Mgmt, PE & Trading Firms",60,34,Voleon Group,voleon.com,USA,Machine-learning quant fund,200-500,250-1k,adjacent,,,~$10B AUM,ML-driven fund culture aligns with F1's data/telemetry brand story
"01 Asset Mgmt, PE & Trading Firms",61,34,Wintermute,wintermute.com,UK,Digital-asset market maker,51-200,100-250,growth-projected,,,"$1B+ valuation, leading crypto liquidity provider",Crypto-native market maker (non-exchange) seeking mainstream credibility via F1
"01 Asset Mgmt, PE & Trading Firms",62,30,Flow Traders,flowtraders.com,Netherlands,ETF market maker,"500-1,000",250-1k,sentiment,,,"Public (Euronext Amsterdam), multi-billion trading volume","Dutch listed market maker in Verstappen's home country, natural regional tie-in"
"01 Asset Mgmt, PE & Trading Firms",63,26,Arctos Partners,arctospartners.com,USA,Sports-focused PE,51-200,100-250,adjacent,,,~$8B+ AUM dedicated to sports investing,Purpose-built sports PE firm (NBA/NHL/MLB stakes); F1-adjacent DNA
"01 Asset Mgmt, PE & Trading Firms",64,26,Belvedere Trading,belvederetrading.com,USA,Options trading firm,51-200,100-250,adjacent,,,Multi-billion dollar proprietary trading capital,Chicago-based prop firm with growing brand/recruiting ambitions
"01 Asset Mgmt, PE & Trading Firms",65,26,Da Vinci Trading,davinci-trading.com,Netherlands,Derivatives market maker,51-200,100-250,adjacent,,,Multi-billion euro trading capital,Amsterdam-based trading boutique in F1's Dutch fandom epicenter
"01 Asset Mgmt, PE & Trading Firms",66,26,Gulf Capital,gulfcapital.com,UAE,Gulf-based private equity,51-200,100-250,adjacent,,,"~$8B+ AUM (privately held, not sovereign)",UAE-based PE firm sits in F1's Abu Dhabi/Gulf heartland
"01 Asset Mgmt, PE & Trading Firms",67,26,Old Mission Capital,oldmissioncapital.com,USA,Options market maker,51-200,100-250,adjacent,,,Multi-billion dollar proprietary trading capital,Chicago options trader seeking brand differentiation via global motorsport
"01 Asset Mgmt, PE & Trading Firms",68,26,PDT Partners,pdtpartners.com,USA,Quant hedge fund,51-200,100-250,adjacent,,,~$5B+ AUM,Statistical-arbitrage boutique values engineering-precision brand tie-in
"01 Asset Mgmt, PE & Trading Firms",69,26,Providence Equity Partners,provequity.com,USA,Media/sports-focused PE,51-200,100-250,adjacent,,,"~$8B+ AUM, media/sports specialist",Media & entertainment investment focus directly overlaps F1's commercial model
"01 Asset Mgmt, PE & Trading Firms",70,26,RedBird Capital Partners,redbirdcap.com,USA,Sports-focused PE,51-200,100-250,adjacent,,,"~$10B+ AUM, sports/media focused",Existing minority stake in Alpine F1 Team shows direct motorsport conviction (note: assess conflict before pitch)
02 Real Estate & Building Products,1,50,Ayala Land,ayalaland.com.ph,Philippines,Diversified Philippine developer,"3,000-5,000",1k-5k,core,,,Large-cap Philippine conglomerate arm; comfortable affordability.,Growing Southeast Asian HNW segment that attends the Singapore GP.
02 Real Estate & Building Products,2,50,Bellway plc,bellway.co.uk,UK,Major UK homebuilder,"2,000-3,000",1k-5k,core,,,High affordability given >$200M revenue.,UK national homebuyer brand fit tied to the British GP.
02 Real Estate & Building Products,3,50,Boston Properties (BXP),bxp.com,US,Premier US office REIT,"700-1,000",250-1k,core,,,Billion-dollar-revenue REIT.,East Coast office-tenant B2B hospitality play tied to the Miami GP.
02 Real Estate & Building Products,4,50,City Developments Limited,cdl.com.sg,Singapore,Listed developer/hotelier (family-controlled),"3,000-5,000",1k-5k,core,,,Billion-dollar-plus revenue group.,Home-market alignment with the Singapore Grand Prix and regional HNW buyers.
02 Real Estate & Building Products,5,50,eXp World Holdings (eXp Realty),expworldholdings.com,US,Cloud-based residential brokerage,"3,000-5,000",1k-5k,core,,,High revenue scale (>$4B) despite thin margins.,"Large distributed 80,000+ agent network offers broad B2B activation/employer-brand reach."
02 Real Estate & Building Products,6,50,Godrej Properties,godrejproperties.com,India,Pan-India residential/commercial developer,"1,000-2,000",1k-5k,core,,,Part of the large Godrej conglomerate; Properties arm alone generates $300M+ revenue.,National brand-building play targeting India's rising HNW/NRI motorsport audience.
02 Real Estate & Building Products,7,50,Grosvenor Group,grosvenor.com,UK,Private international property investor/developer (Duke of Westminster family),"500-1,000",250-1k,core,,,Very high net worth private group; easily affords the floor budget.,British GP home-market tie and a prime London/global HNW estate portfolio.
02 Real Estate & Building Products,8,50,Hongkong Land Holdings,hkland.com,Hong Kong,Prime commercial property investor/developer (Jardine Matheson Group),"1,000-2,000",1k-5k,core,,,Billion-dollar-plus asset base and revenue.,Premium Central Hong Kong/Singapore tenant and retail base for HNW brand exposure.
