#,cluster,company,domain,hq_country,sector,event_type,event,event_date,amount,employees_est,why_f1,verify_before_outreach
1,AI,Celero Communications,celero.io,United States,AI infrastructure software (AI networking),mega-round,"Celero Communications raised $275M in a Series C at a $3B valuation, reported the week of September 5-11, 2026.",2026-09-08,$275M Series C,150,"Newly-flush AI networking infrastructure firm scaling to meet data center demand, open to brand-building spend.",
2,AI,Chai Discovery,chaidiscovery.com,United States,AI agents & applications (drug discovery),mega-round,"Chai Discovery raised a $400M Series C at a $3.8B valuation, tripling its valuation in seven months, announced July 14, 2026.",2026-07-14,$400M Series C,60,Rapidly scaling AI biotech with pharma partnerships and fresh capital looking to build global brand credibility.,
3,AI,DriveNets,drivenets.com,Israel,AI infrastructure software (AI networking),mega-round,"DriveNets raised $410M in a Series D, among the largest global rounds of June 2026.",2026-06-15,$410M Series D,400,"Mature AI networking infrastructure vendor scaling internationally, well-suited to a global marketing platform.",
4,AI,Flourish,flourish.ai,United States,AI agents & applications (AI mental health support),mega-round,"Flourish raised a $500M Series A, among the largest global rounds of June 2026.",2026-06-15,$500M Series A,50,Enormous Series A for AI-driven wellness gives it outsized capital to build consumer brand trust quickly.,
5,AI,General Intuition,generalintuition.ai,United States,Foundation-lab-adjacent (foundational AI),mega-round,"General Intuition raised a $320M Series A at a $2.3B valuation, reported the week of June 18-26, 2026.",2026-06-26,$320M Series A,50,"Well-funded foundational AI lab building brand presence early, before wider market awareness catches up.",
6,AI,Generalist AI,generalist.ai,United States,Robotics & physical AI (robot foundation models),mega-round,"Generalist raised a $200M extension led by 8VC, pushing its valuation to $3B, announced August 24, 2026.",2026-08-24,$200M (Series B extension),90,Fast-rising physical-AI robotics brand with ex-DeepMind/Boston Dynamics pedigree seeking global visibility.,
7,AI,Gimlet Labs,gimletlabs.ai,United States,AI infrastructure software (multi-silicon inference),mega-round,"Gimlet Labs raised $300M in a Series B led by Andreessen Horowitz at a $3B valuation, announced September 4, 2026.",2026-09-04,$300M Series B,120,Well-capitalized agentic-AI infrastructure player seeking marquee visibility to win enterprise inference contracts.,
8,AI,HappyRobot,happyrobot.ai,United States,"AI agents & applications (agentic AI platform, logistics)",mega-round,"HappyRobot raised a $150M Series C, reported the week of August 1-7, 2026.",2026-08-04,$150M Series C,150,Agentic AI platform with 150+ enterprise customers and fresh capital eyeing broader brand awareness.,
9,AI,Higgsfield,higgsfield.ai,United States,AI agents & applications (video/image generation),mega-round,"Higgsfield raised a $400M Series B led by DST Global at a $5.4B valuation, reported the week of August 15-21, 2026.",2026-08-18,$400M Series B,150,Generative video/creative AI platform with global consumer reach fits a high-visibility motorsport sponsorship.,
10,AI,Instinct,instinct.ai,United States,AI agents & applications (personal AI assistant),mega-round,"Instinct closed a $250M Series B at a $2.5B valuation just months after launch, disclosed August 26, 2026.",2026-08-26,$250M Series B,30,"Viral consumer AI assistant with a young, global fanbase is a strong fit for F1's younger, tech-savvy audience.",
11,AI,Lumilens,lumilens.ai,United States,AI infrastructure software (AI connectivity),mega-round,"Lumilens emerged from stealth with a $700M Series A, reported the week of August 1-7, 2026.",2026-08-04,$700M Series A,120,Massive stealth-exit round for an AI infrastructure company gives it a big budget for early brand positioning.,
12,AI,Lyte AI,lyte.ai,United States,Robotics & physical AI,mega-round,"Lyte AI raised $165M in a Series C at a $1.6B valuation, reported the week of August 29-September 4, 2026.",2026-09-02,$165M Series C,150,Newly-unicorn robotics/physical AI company with fresh capital seeking to build a recognizable global brand.,
13,AI,Meshy AI,meshy.ai,United States,AI agents & applications (3D content generation),mega-round,"Meshy raised nearly $400M in a Series B at a $1.5B valuation, announced July 21, 2026, the largest round to date in AI 3D generation.",2026-07-21,~$400M Series B,150,Category-leading generative 3D platform with global creator base wants marquee brand visibility for consumer growth.,
14,AI,Mirendil,mirendil.ai,United States,Foundation-lab-adjacent (stealth foundational AI),mega-round,"Mirendil raised a $200M seed round, reported the week of June 18-26, 2026.",2026-06-26,$200M seed,25,Enormous seed round for a stealth foundational AI lab signals deep pockets and future brand-building needs.,
15,AI,Owner,owner.com,United States,AI agents & applications (small-business AI tools),mega-round,"Owner raised $240M in growth funding at a $2.3B valuation, reported the week of August 22-28, 2026.",2026-08-28,$240M growth,200,Well-funded AI tools platform for small businesses expanding its customer base and brand reach.,
16,AI,Quantifind,quantifind.com,United States,AI data/eval (risk intelligence),mega-round,"Quantifind raised $200M in growth funding, reported the week of June 18-26, 2026.",2026-06-26,$200M growth,150,"Well-capitalized AI risk-intelligence firm expanding into new verticals, seeking broader brand recognition.",
17,AI,Stark,stark.ag,Germany,Robotics & physical AI (defense drones),mega-round,"Stark raised roughly $569M ($500M+), reported the week of June 18-26, 2026.",2026-06-26,~$569M,300,Rapidly scaling European defense-AI drone maker with large capital base looking to raise its profile globally.,
18,AI,Upscale AI,upscale.ai,United States,AI infrastructure software,mega-round,"Upscale AI raised a $190M Series A extension at a $2B valuation, reported the week of June 18-26, 2026.",2026-06-26,$190M Series A extension,60,Newly-flush AI infrastructure company crossing $2B valuation wants marquee brand exposure to accelerate enterprise sales.,CHECK
19,AI,Volta,voltacloud.ai,United States,AI infrastructure software (AI cloud),mega-round,"Volta emerged from stealth with a $300M Series A at a $2.4B valuation, reported the week of August 1-7, 2026.",2026-08-04,$300M Series A,100,Newly unicorn AI cloud infrastructure company with a fresh war chest for market entry and brand building.,
20,AI,Wispr Flow,wisprflow.ai,United States,AI agents & applications (voice interface),mega-round,"Wispr Flow raised a $280M Series B led by Menlo Ventures at a $2B valuation, announced August 17, 2026.",2026-08-17,$280M Series B,80,"Consumer-facing AI voice app with athlete investors already on the cap table, primed for lifestyle/sports brand plays.",
21,AI,Emerald AI,emerald.ai,United States,AI infrastructure software (grid-flexible data centers),valuation-cross,"Emerald AI raised a $150M Series A at a $1.05B valuation, reaching unicorn status, announced August 25, 2026.",2026-08-25,$150M Series A,40,Newly-minted unicorn powering AI data centers wants a global stage to build brand recognition fast.,CHECK
22,AI,Rillet,rillet.com,United States,AI agents & applications (agentic finance/ERP),valuation-cross,"Rillet raised a $100M Series C led by Iconiq at a $1B valuation, reported the week of August 15-21, 2026.",2026-08-18,$100M Series C,90,Newly-minted unicorn in agentic enterprise finance software looking to build brand trust with large customers.,
23,AI,Velaura AI,velaura.ai,United States,AI chips / infrastructure (ultra-low-power silicon),valuation-cross,"Velaura AI raised a $110M Series A at a valuation above $1B, reported the week of August 15-21, 2026.",2026-08-18,$110M Series A,40,Newly-unicorn AI compute silicon startup seeking brand differentiation in a crowded chip market.,
24,Consumer & Health,Reformation,thereformation.com,USA,beauty & luxury / D2C apparel (sustainable fashion),ipo,"Filed for and completed NYSE IPO (ticker REF) after filing June 25, 2026; priced at $15/share, implying ~$886M equity value, with 2025 net revenue of ~$507M",2026-07-30,$886M equity value (IPO),1500,"Newly public sustainable-fashion brand with fresh IPO capital and a global growth mandate; F1's younger, affluent, increasingly female-skewing fanbase (esp. via Drive to Survive) is a strong demographic match for Reformation's core customer.",
25,Consumer & Health,Shein,shein.com,Singapore,retail / D2C (fast fashion e-commerce),ipo,Completed an approximately $1.7B IPO on the Hong Kong Stock Exchange after receiving regulatory approval in July 2026,2026-09-01,~$1.7B IPO,16000,One of the world's largest fast-fashion retailers just went public and needs to rehabilitate/build global brand image — a high-visibility platform like F1 offers exactly the kind of mainstream credibility a newly listed Shein would want.,
26,Consumer & Health,IM8 (Prenetics),im8health.com,Hong Kong,consumer health & wellness (daily wellness supplement drink),mega-round,"Secured a $1B non-dilutive 'Customer Value Facility' from General Catalyst, financing up to 70% of customer acquisition/marketing spend for the David Beckham co-founded wellness-drink brand IM8 (parent: Nasdaq-listed Prenetics); structured as revenue-share financing, not an equity round",2026-07-14,$1B non-dilutive marketing/CAC facility,300,"Already co-founded by a global sports icon (David Beckham) and sitting on a $1B facility earmarked specifically for marketing spend, IM8 is arguably the single best-primed prospect on this list for a major motorsport sponsorship activation.",
