brand,domain,already_in_f1,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
Microsoft Azure,microsoft.com,YES,38,AWS (Amazon); Salesforce; CrowdStrike; TeamViewer; G42; SAP; Meta AI (Meta); Oracle; 1Password; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Splunk (Cisco); Alteryx; Smartsheet; Dropbox; Workday; Groq; Okta; IBM; Bitdefender; NetApp; ServiceNow; CoreWeave; Atlassian; Keeper Security; Airia; Claude (Anthropic); NinjaOne; ElevenLabs; IFS; Core Scientific; TWG Motorsports / TWG AI (TWG Global); Dynatrace; Confluent; Avature; HP; Lenovo; Palo Alto Networks; WhatsApp (Meta),"Cloud, Data & AI Software; Cyber, IT & Hardware; Telecom, Media, Electronics & Gaming",top public cloud rival
IBM Cloud,ibm.com,YES,35,AWS (Amazon); G42; Hewlett Packard Enterprise; SAP; Microsoft; Oracle; 1Password; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Splunk (Cisco); Alteryx; Rubrik; Okta; DXC Technology; Bitdefender; NetApp; ServiceNow; CoreWeave; Cognizant; Arm (SoftBank Group); VAST Data; Keeper Security; Airia; Core Scientific; Mphasis; Dynatrace; Confluent; Dell Technologies; Lenovo; AMD; IndraMind (Indra Sistemas); Xerox; Palo Alto Networks; NTT DATA; Deloitte; PwC,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",Ferrari partner
Google Cloud,google.com,YES,24,AWS (Amazon); TeamViewer; G42; Microsoft; Meta AI (Meta); Oracle; 1Password; Splunk (Cisco); Alteryx; Dropbox; Groq; IBM; NetApp; Cognition AI; Keeper Security; Airia; Claude (Anthropic); ElevenLabs; TWG Motorsports / TWG AI (TWG Global); Dynatrace; Confluent; Lenovo; Snapdragon (Qualcomm); Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",frontier AI rival
AWS (Amazon),aws.amazon.com,YES,18,Microsoft; Meta AI (Meta); Oracle; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Dropbox; Groq; Okta; IBM; Genesys; NetApp; CoreWeave; Cognition AI; Claude (Anthropic); ElevenLabs; Core Scientific; Infobip; Unity; Confluent,"Cloud, Data & AI Software; Cyber, IT & Hardware; Telecom, Media, Electronics & Gaming",top cloud rival
Apple,apple.com,YES,17,"Microsoft; Meta AI (Meta); 1Password; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Dropbox; Arm (SoftBank Group); Keeper Security; HP; Dell Technologies; Lenovo; AMD; Snapdragon (Qualcomm); American Express; Cash App (Block, Inc.); WhatsApp (Meta); WHOOP; Oura","Cloud, Data & AI Software; Cyber, IT & Hardware; Payments, Banking & Insurance; Telecom, Media, Electronics & Gaming; Health, Betting & Services",mobile chips
Cisco (Secure/Duo),cisco.com,YES,15,CrowdStrike; Hewlett Packard Enterprise; Microsoft; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; IBM; Genesys; Bitdefender; Extreme Networks; CommScope; Ruckus Networks (CommScope); Dynatrace; Cato Networks; Dell Technologies; Palo Alto Networks; Neat,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",McLaren partner
Oracle Cloud Infrastructure,oracle.com,YES,15,AWS (Amazon); Salesforce; Hewlett Packard Enterprise; SAP; Microsoft; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Workday; Okta; IBM; CoreWeave; IFS; Core Scientific; Avature; UKG; Dell Technologies,"Cloud, Data & AI Software; Cyber, IT & Hardware",top ERP rival
Cognizant,cognizant.com,YES,14,SAP; Oracle; IBM; DXC Technology; Mphasis; Globant; Brillio; Akkodis (Adecco Group); RebelDot; IndraMind (Indra Sistemas); Xerox; NTT DATA; Deloitte; PwC,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",Aston Martin partner
HPE (GreenLake),hpe.com,YES,14,AWS (Amazon); Microsoft; Oracle; Cisco; Rubrik; IBM; NetApp; VAST Data; Extreme Networks; CommScope; Ruckus Networks (CommScope); Cato Networks; Dell Technologies; Lenovo,"Cloud, Data & AI Software; Cyber, IT & Hardware",Mercedes partner
Salesforce,salesforce.com,YES,14,AWS (Amazon); SAP; Microsoft; Oracle; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Alteryx; Medallia; Freshworks; Okta; IBM; Genesys; ServiceNow; Atlassian; Airia,"Cloud, Data & AI Software; Cyber, IT & Hardware",data analytics/BI rival
Huawei Cloud,huawei.com,,13,AWS (Amazon); Hewlett Packard Enterprise; Cisco; Arm (SoftBank Group); Extreme Networks; CommScope; Ruckus Networks (CommScope); Cato Networks; HP; Dell Technologies; Lenovo; AMD; Snapdragon (Qualcomm),"Cloud, Data & AI Software; Cyber, IT & Hardware",networking & telecom equipment
Coinbase,coinbase.com,YES,12,"Cash App (Block, Inc.); Revolut; Crypto.com; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; Endstate; BingX; Zoomex; Circle","Payments, Banking & Insurance; Crypto, Trading & Wealth",Aston Martin partner
DXC Technology,dxc.com,YES,12,SAP; Oracle; IBM; Cognizant; Mphasis; Globant; Brillio; RebelDot; IndraMind (Indra Sistemas); Xerox; NTT DATA; Deloitte,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",Ferrari partner
Shell,shell.com,YES,12,Aramco; Petronas; Mobil 1 (ExxonMobil); Esso (ExxonMobil); bp / Castrol; Eni; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; Lucas Oil; INEOS,"Energy, Industrial & Automotive",Ferrari fuel/lubricants partner
TotalEnergies,totalenergies.com,,12,Aramco; Shell; Petronas; Mobil 1 (ExxonMobil); Esso (ExxonMobil); bp / Castrol; Eni; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; INEOS,"Energy, Industrial & Automotive",French oil major
