sector_tab,tab_priority,rank_in_tab,priority_score,key_brand,company,domain,hq_country,niche,employees_est,size_band,tag,timing_signal,other_sport_deal,affordability,why_f1
Banking & Insurance,01,1,76,,Deutsche Bank AG,db.com,Germany,Banking & Asset Management,90000,,legacy,rival-went-f1: UK banking rivals Barclays and Standard Chartered both signed new Formula 1 sponsorships in early 2026 (Williams and the F1 series respectively). (February 2026),football: Eintracht Frankfurt stadium naming sponsor (Deutsche Bank Park) since 2020,,"Germany's largest bank and a global investment bank; peer UniCredit is already on the F1 grid, leaving Deutsche Bank as a clear competitive-response prospect in home market of two F1 power units (Mercedes, Audi)."
Banking & Insurance,01,2,72,KEY,HealthEquity,healthequity.com,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,"new-cmo: HealthEquity appointed former Mastercard B2B marketing leader Mukund Ramachandran as Chief Marketing Officer, effective September 29. (Sep 2025)",,revenue ~$1.0-1.1B (FY2024); funding n/a (public - NASDAQ: HQY); valuation market cap ~$7-8B,Competes with F1 sponsors: Businessolver
Banking & Insurance,01,3,71,,GEICO,geico.com,USA,D2C digital direct auto insurer,"30,000+",20k+,legacy,"new-cmo: GEICO appointed Arianna Orpello, a marketing veteran from TD Bank and Capital One, as its new Chief Marketing Officer. (Jan 2026)",nba: Longtime NBA advertising and marketing partner (in-arena and broadcast sponsorships across multiple teams).,Wholly owned by Berkshire Hathaway; large standalone revenue and profitability,"Iconic direct-to-consumer insurance brand with a huge advertising budget and Berkshire Hathaway's backing, absent from F1 despite mass-market marketing DNA."
Banking & Insurance,01,4,71,,Progressive Corporation,progressive.com,United States,Auto P&C,60000+,20k+,legacy,"new-cmo: Progressive Insurance named former 3M executive Remi Kent to succeed longtime CMO Jeff Charney, effective November 1. (Nov 2025)","mlb: Naming-rights holder of Progressive Field, home of the Cleveland Guardians, since 2008.",Revenue >$75B; among largest US ad spenders,Consumer-brand advertiser with huge marketing budget and motor-insurance relevance to motorsport; no current F1 tie
Banking & Insurance,01,5,63,KEY,AXA SA,axa.com,France,Banking & Asset Management,145000,,legacy,,football: Liverpool FC official training kit and back-of-shirt sponsor since 2017,,"World's largest insurance brand by brand value with global P&C and life operations; confirmed no current F1 sponsorship, leaving room for a global insurance-category deal."
Banking & Insurance,01,6,63,KEY,ING Group,ing.com,Netherlands,Banking & Asset Management,60000,,legacy,,football: Long-time official partner of the Dutch Football Association (KNVB),,"Pan-European retail and wholesale bank with strong digital brand recognition; motorsport-marketing precedent (cycling, other series) but no current F1 tie."
Banking & Insurance,01,7,63,KEY,The Travelers Companies,travelers.com,United States,Banking & Asset Management,30000,,legacy,,golf: Title sponsor of the PGA Tour's Travelers Championship.,,Major US commercial/personal lines insurer with a strong golf sponsorship platform (Travelers Championship); could extend premium sports marketing into F1's global audience.
Banking & Insurance,01,8,62,KEY,Brown & Brown Inc.,bbrown.com,United States,Insurance Broker,17000+,6k-20k,legacy,,,"Revenue >$4.8B; publicly traded, highly profitable US broker",Fast-growing publicly traded broker consolidator seeking brand differentiation against larger rivals
Banking & Insurance,01,9,61,,Citigroup Inc.,citigroup.com,United States,Banking & Asset Management,229000,,legacy,"rival-went-f1: Rivals Barclays (Williams F1, Feb 2026) and Standard Chartered (F1 series partner, Jan 2026) both signed Formula 1 sponsorships in early 2026, a category Citi has no F1 presence in. (February 2026)",,,Global consumer and institutional bank present in over 90 markets — matches F1's international footprint and client base of affluent/private-bank customers; not currently an F1 partner.
Banking & Insurance,01,10,61,KEY,Discover Financial Services,discover.com,,"Payments, Banking & Insurance",20k+,20k+,competitor,,nhl: Major NHL sponsor and card-payments partner.,"revenue ~$15.9B (2024, public); funding n/a (public, acquired by Capital One 2025); valuation ~$35B (Capital One acquisition deal)",Competes with F1 sponsors: Visa; Mastercard; American Express
Banking & Insurance,01,11,61,,HSBC Holdings plc,hsbc.com,United Kingdom,Banking & Asset Management,213000,,legacy,"rival-went-f1: Direct rivals Barclays (multi-year Williams F1 sponsorship, announced Feb 2026) and Standard Chartered (multi-year F1 series partnership, announced Jan 2026) both entered Formula 1 within the same two-month window. (February 2026)",,,"World's largest Europe-headquartered bank with a genuinely global branch network mirroring F1's calendar (Asia, Middle East, Americas, Europe); no current F1 sponsorship despite deep sports marketing history (golf, rugby sevens)."
Banking & Insurance,01,12,61,,Lloyds Banking Group plc,lloydsbankinggroup.com,United Kingdom,Banking & Asset Management,60000,,legacy,rival-went-f1: UK banking rival Barclays signed a multi-year Williams F1 sponsorship in February 2026. (February 2026),,,"UK's largest retail and commercial bank; unattached to F1 despite seven of the ten F1 teams being UK-based, giving Lloyds a home-market activation opportunity."
Banking & Insurance,01,13,61,,NatWest Group plc,natwestgroup.com,United Kingdom,Banking & Asset Management,60000,,legacy,"rival-went-f1: UK rival Barclays signed a multi-year sponsorship of the Atlassian Williams F1 Team, announced February 2026. (February 2026)",,,"Major UK bank rebuilding its brand post state-ownership exit, with a strong existing sports sponsorship platform (Six Nations rugby); F1's UK-heavy team base is untapped."
Banking & Insurance,01,14,59,,Bank of America Corporation,bankofamerica.com,United States,Banking & Asset Management,213000,,legacy,,football: FIFA World Cup 2026 sponsor,,"Second-largest US bank with major sports sponsorship budget (already in golf, college sports); not on the F1 grid, giving it room to build a marquee global platform rivalling Santander's F1 presence."
Banking & Insurance,01,15,57,,American Family Insurance,amfam.com,United States,Multiline (mutual),13000+,6k-20k,legacy,,football: Atlanta United FC main shirt sponsor,Revenue >$15B; sponsors NASCAR and college athletics at scale,Existing motorsport (NASCAR) sponsorship spend shows budget fit; not present in F1
Banking & Insurance,01,16,57,,Lincoln National Corporation (Lincoln Financial),lincolnfinancial.com,United States,Life & Annuities,10000+,6k-20k,legacy,,"nfl: Naming-rights holder of Lincoln Financial Field, home of the Philadelphia Eagles.","Revenue >$16B, publicly traded",National financial-protection brand rebuilding marketing investment post-turnaround; no motorsport presence
Banking & Insurance,01,17,57,,Signal Iduna Gruppe,signal-iduna.de,Germany,Multiline (mutual),13000+,6k-20k,legacy,,football: Borussia Dortmund stadium naming sponsor (Signal Iduna Park) since 2005,"Revenue >€6B; major German mutual insurer, sponsors Borussia Dortmund stadium naming rights",Existing large-scale sports sponsorship (Signal Iduna Park) demonstrates budget for marquee sports branding
Banking & Insurance,01,18,54,KEY,AllianceBernstein,alliancebernstein.com,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,revenue ~$3.4B (2023); funding n/a (public); valuation market cap ~$4B,Competes with F1 sponsors: Nuveen (TIAA)
Banking & Insurance,01,19,54,KEY,Angelo Gordon (TPG AG),angelogordon.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,"revenue unknown (asset manager fee revenue, est. several hundred million); funding n/a (subsidiary of public TPG); valuation ~$2.7B (2023 TPG acquisition)",Competes with F1 sponsors: Carlyle; ZCG
Banking & Insurance,01,20,54,KEY,B. Riley Financial,brileyfin.com,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,revenue ~$1B+ (2023); funding n/a (public); valuation market cap ~$300-500M (volatile),Competes with F1 sponsors: Stephens
Banking & Insurance,01,21,54,KEY,Benefitfocus (Voya Financial),benefitfocus.com,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,revenue unknown; funding n/a (subsidiary of public Voya Financial); valuation acquired for ~$570M (2023),Competes with F1 sponsors: Businessolver
Banking & Insurance,01,22,54,,Bishop Street Underwriters,bishopstreetunderwriters.com,United States,Insurance / Specialty P&C Underwriting,100,100-250,funded-150m,capital_investment: Development capital investment from White Mountains Insurance Group (2026-Q1 (Jan-Mar)),,$150M — capital_investment 2026-Q1 (Jan-Mar),"Large capital backing from a major insurance holding group to scale a specialty P&C underwriting platform, one of the few nine-figure insurtech capital events in a quiet quarter for the sector."
Banking & Insurance,01,23,54,KEY,Clip,clip.mx,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,revenue unknown; funding $500M+ raised; valuation ~$2B (2021),Competes with F1 sponsors: Nu (Nubank)
Banking & Insurance,01,24,54,KEY,Elliott Management,elliottmgmt.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,"revenue unknown (AUM ~$65B, not revenue); funding n/a (private partnership); valuation unknown",Competes with F1 sponsors: ZCG
Banking & Insurance,01,25,54,KEY,Flutterwave,flutterwave.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,revenue unknown; funding ~$475M raised; valuation ~$3B (2022 round),Competes with F1 sponsors: MoneyGram
Banking & Insurance,01,26,54,KEY,Golub Capital,golubcapital.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,"revenue unknown (private, AUM ~$65B); funding n/a (private/bootstrapped); valuation unknown",Competes with F1 sponsors: ZCG
Banking & Insurance,01,27,54,KEY,Harris Williams (PNC),harriswilliams.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,revenue unknown (segment of PNC); funding n/a (public - NYSE: PNC subsidiary); valuation unknown,Competes with F1 sponsors: Stephens
Banking & Insurance,01,28,54,KEY,Houlihan Lokey,hl.com,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,revenue $1.9B (FY2023); funding n/a (public); valuation mkt cap ~$10B-12B (2024),Competes with F1 sponsors: Goldman Sachs; Stephens
Banking & Insurance,01,29,54,KEY,HPS Investment Partners,hpspartners.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,"revenue unknown (private, AUM $150B+); funding n/a (private); valuation ~$12B (BlackRock acquisition deal, 2025)",Competes with F1 sponsors: ZCG
Banking & Insurance,01,30,54,KEY,Intermex (International Money Express),intermexonline.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,revenue ~$580M (2023); funding n/a (public - NASDAQ: IMXI); valuation market cap ~$700M-1B,Competes with F1 sponsors: MoneyGram
Banking & Insurance,01,31,54,KEY,Neon,neon.com.br,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,revenue unknown; funding ~$700M+ raised; valuation ~$1.6B (2022),Competes with F1 sponsors: Nu (Nubank)
Banking & Insurance,01,32,54,KEY,Next (Bradesco),next.me,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,"revenue unknown (digital bank subsidiary of Bradesco, public); funding n/a (public); valuation unknown",Competes with F1 sponsors: Nu (Nubank)
Banking & Insurance,01,33,54,KEY,NN Group,nn-group.com,Netherlands,Life & P&C,13000+,6k-20k,legacy,,,Revenue >€10B; major Dutch insurer active in 11 countries,"Sponsors professional cycling (NN Running Team) and golf, showing marquee sponsorship appetite absent in F1"
Banking & Insurance,01,34,54,KEY,Oppenheimer Holdings,opco.com,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,revenue $1B-5B (2023); funding n/a (public); valuation ~$400M-500M mkt cap,Competes with F1 sponsors: Stephens
Banking & Insurance,01,35,54,KEY,Perella Weinberg Partners,pwpartners.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,revenue unknown; funding n/a (public); valuation ~$500M-1B market cap,Competes with F1 sponsors: Goldman Sachs; Stephens
Banking & Insurance,01,36,54,KEY,Permira,permira.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,"revenue unknown (PE firm, AUM ~€80B+); funding n/a (private partnership); valuation unknown",Competes with F1 sponsors: Carlyle
Banking & Insurance,01,37,54,KEY,PIMCO,pimco.com,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,revenue unknown; funding n/a (public); valuation unknown,Competes with F1 sponsors: Nuveen (TIAA); ZCG
Banking & Insurance,01,38,54,,Royal London Mutual Insurance Society,royallondon.com,United Kingdom,Life & Pensions (mutual),4200+,1k-5k,legacy,,,Revenue >£10B; UK's largest mutual life insurer,Largest UK mutual insurer investing in brand awareness against listed rivals; F1-clean
Banking & Insurance,01,39,54,KEY,Sixth Street Partners,sixthstreet.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,"revenue $1B+ (management fees, est.); funding n/a (private, employee-owned); valuation ~$75B+ AUM (not valuation)",Competes with F1 sponsors: ZCG
Banking & Insurance,01,40,54,KEY,Slide Insurance,slideinsurance.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,"revenue $500M-$750M (premiums, 2024 est.); funding $100M raised pre-IPO + $408M IPO; valuation ~$2.1B (2025 IPO)",Competes with F1 sponsors: Orion180
Banking & Insurance,01,41,54,KEY,TapTapSend,taptapsend.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,revenue $50M-$150M (est.); funding ~$260M raised; valuation ~$1.4B (2024),Competes with F1 sponsors: MoneyGram
Banking & Insurance,01,42,54,KEY,TD Cowen,tdcowen.com,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,revenue $700M-$800M (est.); funding n/a (subsidiary of public TD Bank Group); valuation n/a (subsidiary of public parent),Competes with F1 sponsors: Stephens
Banking & Insurance,01,43,54,KEY,TransferGo,transfergo.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,revenue unknown; funding $80M+ raised; valuation unknown,Competes with F1 sponsors: MoneyGram
Banking & Insurance,01,44,54,KEY,Virtuoso Travel Network,virtuoso.com,,"Payments, Banking & Insurance",250-1k,250-1k,competitor,,,revenue unknown; funding n/a (private); valuation unknown,Competes with F1 sponsors: Velocity Black (Capital One)
Banking & Insurance,01,45,54,KEY,Wedbush Securities,wedbush.com,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,revenue unknown; funding n/a (private); valuation unknown,Competes with F1 sponsors: Stephens
Banking & Insurance,01,46,54,KEY,William Blair & Company,williamblair.com,,"Payments, Banking & Insurance",1k-5k,1k-5k,competitor,,,"revenue unknown; funding n/a (private, employee-owned); valuation unknown",Competes with F1 sponsors: Stephens
Banking & Insurance,01,47,53,,Allstate Corporation,allstate.com,United States,Multiline P&C,50000+,20k+,legacy,,college: Title sponsor of college football's Allstate Sugar Bowl and other college sponsorships.,Revenue >$55B; major national ad spender,Iconic consumer insurance brand seeking global/youth audience expansion beyond US; F1-clean
Banking & Insurance,01,48,53,,Groupama SA,groupama.com,France,Multiline (mutual),30000+,20k+,legacy,,Cycling (UCI WorldTour): Co-title sponsor of the Groupama-FDJ WorldTour team since 2018,Revenue >€16B; major French mutual insurer with rugby (Stade Français) sponsorship history,"Existing sports-sponsorship track record (rugby, cycling team Groupama-FDJ) shows F1-scale marketing appetite"
Banking & Insurance,01,49,53,,Nationwide Mutual Insurance,nationwide.com,United States,Multiline (mutual),24000+,20k+,legacy,,football: Columbus Crew main shirt sponsor,Revenue >$25B; long-time NASCAR sponsor (Nationwide Series naming rights),Deep motorsport sponsorship history (NASCAR) but no F1 presence — natural extension into global racing
Banking & Insurance,01,50,53,,State Farm Mutual,statefarm.com,United States,Multiline (mutual),55000+,20k+,legacy,,football: Copa America 2024 (US) official sponsor,"Revenue >$100B; largest US P&C/auto insurer, huge ad budget",Largest US insurer with massive brand-marketing spend and no global motorsport platform today
Banking & Insurance,01,51,51,,Banco Bilbao Vizcaya Argentaria (BBVA),bbva.com,Spain,Banking & Asset Management,121000,,legacy,,football: Official sponsor of the Argentina national football team,,"Major Spanish global bank with large Latin American operations (Mexico, South America) overlapping F1's growth markets; peer Santander already sponsors F1, making BBVA a natural competitive-response prospect."
Banking & Insurance,01,52,51,,BNP Paribas,bnpparibas.com,France,Banking & Asset Management,183000,,legacy,,tennis: Main partner of the French Open (Roland-Garros) since 1973.,,"Eurozone's largest bank with an extensive global sponsorship portfolio (tennis Masters, rugby); F1 remains a white-space opportunity given the sport's growing European audience."
Banking & Insurance,01,53,51,,Chubb Limited,chubb.com,Switzerland,Banking & Asset Management,40000,,legacy,,tennis: Official sponsor of the US Open.,,"World's largest publicly traded P&C insurer, HQ'd in Zurich with major US operations, serving the HNW and corporate clients that populate F1 paddock hospitality; no current motorsport sponsorship."
Banking & Insurance,01,54,51,,Hana Financial Group,hanafn.com,South Korea,Banking & Asset Management,26000,,legacy,,football: Official sponsor of the Korea Football Association and national team,,Major Korean financial group with global card and wealth businesses seeking premium international visibility.
Banking & Insurance,01,55,51,,JPMorgan Chase & Co.,jpmorganchase.com,United States,Banking & Asset Management,309900,,legacy,,tennis: Global Partner of the US Open (J.P. Morgan) and Chase-branded fan experiences.,,"Largest US bank by assets; deep-pocketed global brand competing directly with F1 sponsors Goldman Sachs, UBS and Barclays yet currently absent from the grid — strong white-space prospect for a global hospitality/brand campaign targeting HNW and corporate banking clients."
Banking & Insurance,01,56,51,,Julius Baer Group Ltd.,juliusbaer.com,Switzerland,Banking & Asset Management,7300,,legacy,,"Formula E: Founding global partner of Formula E since 2014, renewed through Season 12",,"Pure-play Swiss private bank serving UHNW clients — precisely F1's paddock club demographic; peer UBS already sponsors F1 (Mercedes), positioning Julius Baer as a wealth-management competitive-response candidate."
Banking & Insurance,01,57,51,,M&T Bank Corporation,mtb.com,United States,Banking & Asset Management,22000,,legacy,,"nfl: Naming-rights holder of M&T Bank Stadium, home of the Baltimore Ravens.",,Northeast US super-regional bank with a large commercial banking franchise; unattached to any current motorsport series.
Banking & Insurance,01,58,51,,Royal Bank of Canada (RBC),rbc.com,Canada,Banking & Asset Management,94000,,legacy,,football: LA Galaxy sleeve sponsor,,"Canada's largest bank by market cap with major existing sports sponsorship (RBC Heritage golf, Team Canada); not currently on the F1 grid despite RBC's high-visibility motorsport-adjacent marketing style."
Banking & Insurance,01,59,51,,Scotiabank (Bank of Nova Scotia),scotiabank.com,Canada,Banking & Asset Management,90000,,legacy,,football: Title sponsor of the Concacaf Champions Cup,,"Canada's most internationally diversified bank with strong Latin American operations, mirroring F1's Americas expansion (Mexico City, Miami, Las Vegas, São Paulo); unattached to F1."
Banking & Insurance,01,60,51,,Sun Life Financial Inc.,sunlife.com,Canada,Banking & Asset Management,22000,,legacy,,nba: Jersey patch sponsor of the Toronto Raptors for 2025-26.,,"Global financial services group spanning insurance and asset management (SLC Management, MFS); no current motorsport tie despite broad international presence."
Banking & Insurance,01,61,51,,The Charles Schwab Corporation,schwab.com,United States,Banking & Asset Management,32000,,legacy,,golf: Title sponsor of the Charles Schwab Cup on PGA Tour Champions.,,"Largest US retail brokerage/custodian; targets a self-directed investor demographic that skews toward F1's growing US fanbase post-Drive to Survive, with no existing motorsport tie-in."
Banking & Insurance,01,62,51,,Truist Financial Corporation,truist.com,United States,Banking & Asset Management,40000,,legacy,,"golf: Title sponsor of the PGA Tour's Truist Championship, a Signature Event.",,"Large Southeastern US super-regional bank actively investing in brand-building post-merger (SunTrust/BB&T); F1's expanding US race calendar (Miami, Austin, Vegas) fits its regional footprint."
Banking & Insurance,01,63,51,,U.S. Bancorp,usbank.com,United States,Banking & Asset Management,70000,,legacy,,nfl: Banking and wealth-management partner of the NFL; sponsors the league's MVP award from Super Bowl LXI.,,"Fifth-largest US bank by assets with national retail and payments franchise; unattached to any F1 team or race, giving it a clean opportunity in a growing US market."
Banking & Insurance,01,64,51,,Wells Fargo & Company,wellsfargo.com,United States,Banking & Asset Management,215000,,legacy,,golf: Longtime title sponsor of the PGA Tour's Wells Fargo Championship.,,"Large US retail/commercial bank rebuilding its brand image; motorsport sponsorship (it already backs NASCAR) suggests appetite for high-visibility racing marketing, and it holds no current F1 deal."
Banking & Insurance,01,65,50,KEY,ERGO Group AG,ergo.com,Germany,Multiline P&C & Life,28000+,20k+,legacy,,,"Revenue >€21B; Munich Re's primary insurance arm, active in 30+ countries",Munich Re's international retail insurance brand with presence across Europe and Asia; F1-clean
Banking & Insurance,01,66,50,KEY,Sompo Holdings,sompo-hd.com,Japan,P&C/Life carrier,30000+,20k+,legacy,,,revenue ~$32B/yr,"Global P&C group with Sompo International specialty arm; strong overseas brand ambitions, no current F1 link"
Banking & Insurance,01,67,49,,Farmers Insurance Group,farmers.com,,"Payments, Banking & Insurance",20k+,20k+,competitor,,golf: Title sponsor of the PGA Tour's Farmers Insurance Open at Torrey Pines.,"revenue substantial (premiums >$20B); funding n/a (private, majority Zurich Insurance owned); valuation unknown",Competes with F1 sponsors: Orion180
Banking & Insurance,01,68,49,,Raymond James Financial,raymondjames.com,,"Payments, Banking & Insurance",20k+,20k+,competitor,,"nfl: Naming-rights holder of Raymond James Stadium, home of the Tampa Bay Buccaneers.",revenue $10B-20B (FY2023); funding n/a (public); valuation ~$25B-28B mkt cap,Competes with F1 sponsors: Stephens
Banking & Insurance,01,69,48,KEY,ANZ Group,anz.com,Australia,Banking & Asset Management,40000,,legacy,,,,Major Australian/NZ bank with Asia-Pacific institutional network and Melbourne GP home-market presence.
Banking & Insurance,01,70,48,KEY,Inter&Co,inter.co,Brazil,"Banking, Insurance & FinServ","~4,200",,legacy,,,"Revenue ~$1.6B (2024), profitable; holds Inter&Co Stadium naming rights (Orlando City SC) — proven sports spend",Brazilian digital bank scaling in the US; Sao Paulo and Miami GPs hit both customer bases at once.
Banking & Insurance,01,71,48,KEY,Man Group,man.com,United Kingdom,"Banking, Insurance & FinServ","~1,800",,legacy,,,Revenue ~$1.6B (2024); AUM ~$175B,Long history of marquee sponsorship (Man Booker Prize); tech/quant story aligns with F1 data narrative.
Banking & Insurance,01,72,48,KEY,Nationwide Building Society,nationwide.co.uk,United Kingdom,Banking & Asset Management,18000,,legacy,,,,"UK's largest building society and a major sports sponsor (England football); pivoting its brand toward younger, digitally-engaged savers — a demographic overlap with F1's post-Drive to Survive fanbase."
Banking & Insurance,01,73,48,KEY,Neuberger Berman,nb.com,United States,"Banking, Insurance & FinServ","~2,900",,legacy,,,"AUM ~$500B (2024); est. revenue >$1.5B, profitable employee-owned firm",Growing private-wealth and international distribution; affluent F1 audience matches target clients.
Banking & Insurance,01,74,48,KEY,Partners Group,partnersgroup.com,Switzerland,"Banking, Insurance & FinServ","~1,900",,legacy,,,Revenue ~CHF 2.2B (2024); AUM ~$150B,Private-wealth distribution push needs consumer-adjacent brand; global race calendar matches office network.
Banking & Insurance,01,75,47,,Alipay (Ant Group),alipay.com,,"Payments, Banking & Insurance",5k-20k,5k-20k,competitor,,football: UEFA global partner sponsoring the Champions League and Euro tournaments,revenue ~$18-20B (est.); funding $22B raised (2018 round); valuation ~$78B (2023 restructuring; peak $315B 2018),Competes with F1 sponsors: Visa; Mastercard; Nu (Nubank)
Banking & Insurance,01,76,46,,Accelerant Holdings,accelerant.io,United States,Specialty risk exchange / MGA network,~860,250-1k,legacy,,,"Public (NYSE:ARX, 2025 IPO); revenue >$700M","Explicitly named tier example; tech-forward specialty risk exchange, newly public"
Banking & Insurance,01,77,46,,Acko,acko.com,India,D2C digital general/health insurer,"1,300-1,500",1k-5k,legacy,,,Raised $458M cumulative; $1.4B valuation; 2025 revenue $283.7M ARR,"India's leading digital-only insurer (auto, health) backed by Amazon/General Atlantic, positioned for a premium motorsport-adjacent brand push."
Banking & Insurance,01,78,46,,ADNIC (Abu Dhabi National Insurance Company),adnic.ae,United Arab Emirates,P&C/Life carrier,600+,250-1k,legacy,,,revenue (GWP) ~$1B/yr; largest listed insurer in Abu Dhabi,Abu Dhabi's flagship listed insurer with government-linked shareholders and deep capital base amid UAE's F1 host status (Abu Dhabi GP)
Banking & Insurance,01,79,46,,Allied World Assurance Company (Fairfax),awac.com,Switzerland,Specialty (re)insurer,"~1,600",1k-5k,legacy,,,Owned by Fairfax Financial; revenue >$4B GWP,"Fairfax-owned global specialty (re)insurer, sister company to Brit"
Banking & Insurance,01,80,46,,Allstate (SquareTrade),squaretrade.com,United States,Device & appliance protection/warranty,"~2,000 (SquareTrade)",1k-5k,legacy,,,"Owned by Allstate Corp (public NYSE:ALL, revenue >$57B)",Explicitly named tier example; Allstate-owned global warranty/protection brand
Banking & Insurance,01,81,46,,Apollo Underwriting (Apollo Syndicate Management),apollosyndicatemanagement.co.uk,United Kingdom,Lloyd's managing agency,~300,250-1k,legacy,,,Backed by Warburg Pincus & Stone Point Capital,PE-backed Lloyd's specialty underwriter comparable in scale to Inigo/IQUW
Banking & Insurance,01,82,46,,Applied Underwriters,auw.com,United States,Specialty workers' comp MGA/carrier,"~1,000",250-1k,legacy,,,Private; GWP >$1B,Large specialty workers' comp program carrier with global (incl. motorsport-adjacent) risk appetite
Banking & Insurance,01,83,46,,Arch Capital Group,archcapgroup.com,Bermuda,Specialty P&C / Reinsurance,5000+,1k-5k,legacy,,,"Revenue >$17B, highly profitable Bermuda-based specialty/reinsurance group",Global specialty underwriter with strong balance sheet and no motorsport sponsorship today
Banking & Insurance,01,84,46,,Ark Insurance Holdings (Group Ark),arkuw.com,United Kingdom,Lloyd's & Bermuda specialty (re)insurer,~500,250-1k,legacy,,,"72% owned by White Mountains Insurance Group (public NYSE:WTM, revenue >$3.5B)",Bermuda-class-of-2020-21 specialty (re)insurer backed by well-capitalized public parent
Banking & Insurance,01,85,46,,Ascot Group,ascotgroup.com,Bermuda,Specialty (re)insurer,~700,250-1k,legacy,,,Backed by Canada Pension Plan Investment Board; >$1B+ capital base,CPPIB-backed Bermuda/Lloyd's specialty (re)insurer at scale comparable to Brit/Fidelis
Banking & Insurance,01,86,46,,Assurance IQ,assurance.com,USA,Digital insurance marketplace (health/life/auto),"900-1,100",1k-5k,legacy,,,Owned by Prudential Financial (acquired 2019 for up to $3.5B); parent revenue >$50B,AI-powered insurance marketplace backed by Prudential's balance sheet and marketing budget.
Banking & Insurance,01,87,46,,Asuransi Astra (Garda Oto),asuransiastra.com,Indonesia,P&C carrier,3000+,1k-5k,legacy,,,"part of Astra International (150000+ group employees, multi-billion revenue)",Astra Group's insurance arm; Astra International sponsors motorsport regionally and has deep automotive ties
Banking & Insurance,01,88,46,,Auto & General Insurance Group (Budget Direct),budgetdirect.com.au,South Africa,D2C digital direct insurer (multi-market),"3,000+",1k-5k,legacy,,,"Large private direct-insurance group across Australia, NZ, Thailand, Singapore and the UK; substantial multi-billion-dollar premium base","Multi-market direct insurer with brands across several F1-hosting countries (Australia, Singapore), giving natural activation reach."
Banking & Insurance,01,89,46,,Aventum Group,aventum.com,United Kingdom,Specialty MGA & broker,~500,250-1k,legacy,,,Backed by Onex Corporation,PE-backed London specialty MGA/broker platform
Banking & Insurance,01,90,46,,Axis Capital Holdings,axiscapital.com,Bermuda,Specialty (re)insurer,"~1,600",1k-5k,legacy,,,Public (NYSE:AXS); revenue >$5B,Global specialty (re)insurer with existing sports/entertainment risk expertise
Banking & Insurance,01,91,46,,Bangkok Life Assurance,bangkoklife.com,Thailand,Life carrier,2000+,1k-5k,legacy,,,"revenue ~$1.5B/yr; listed on SET, Bangkok Bank-affiliated",Bangkok Bank-affiliated life insurer with strong bancassurance distribution
Banking & Insurance,01,92,46,,Bankrate (Red Ventures),bankrate.com,USA,Insurance/financial comparison platform,500-700,250-1k,legacy,,,"Owned by Red Ventures (private, portfolio revenue >$2B)",Major US insurance/finance comparison brand backed by Red Ventures' large media-buying operation.
Banking & Insurance,01,93,46,,Berkshire Hathaway Specialty Insurance,bhspecialty.com,United States,Excess & specialty insurer,"~2,500",1k-5k,legacy,,,Division of Berkshire Hathaway (revenue >$370B),Global E&S/specialty giant backed by Berkshire's balance sheet
Banking & Insurance,01,94,46,,Betterfly,betterfly.com,Chile,Wellness-linked life insurance (LatAm),700-900,250-1k,legacy,,,Raised >$125M cumulative; $1.2B valuation (2022 unicorn round),"Latin America's leading insurtech unicorn, positioned for a regional brand push as F1 expands its LatAm footprint (Mexico City, Brazil GPs)."
