#,brand,domain,employee_band,revenue_est,funding_total,valuation_est,confidence,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
1,Huawei Cloud,huawei.com,20k+,~$100B+ (2024),n/a (private/bootstrapped),unknown (private),medium,13,AWS (Amazon); Hewlett Packard Enterprise; Cisco; Arm (SoftBank Group); Extreme Networks; CommScope; Ruckus Networks (CommScope); Cato Networks; HP; Dell Technologies; Lenovo; AMD; Snapdragon (Qualcomm),"Cloud, Data & AI Software; Cyber, IT & Hardware",networking & telecom equipment
2,TotalEnergies,totalenergies.com,20k+,~$220B (2024),n/a (public),~$140B mkt cap,high,12,Aramco; Shell; Petronas; Mobil 1 (ExxonMobil); Esso (ExxonMobil); bp / Castrol; Eni; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul; INEOS,"Energy, Industrial & Automotive",French oil major
3,VMware (Broadcom),broadcom.com,20k+,~$51.6B (FY2024),n/a (public),~$800B+ mkt cap (2025),high,12,AWS (Amazon); CrowdStrike; Hewlett Packard Enterprise; Microsoft; Cisco; Okta; Bitdefender; Arm (SoftBank Group); AMD; Snapdragon (Qualcomm); SEALSQ; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",custom silicon/networking chips
4,Binance,binance.com,1k-5k,unknown (private),n/a (private/bootstrapped),~$70-90B (est.),low,11,Crypto.com; Coinbase; Kraken (Payward); OKX; Gate.io; Gemini (crypto exchange); Nexo; CoinPayments; BingX; Zoomex; Circle,"Crypto, Trading & Wealth",largest global crypto exchange by volume
5,Repsol,repsol.com,20k+,~$60B (2024),n/a (public),~$16B mkt cap,high,11,Aramco; Shell; Petronas; Mobil 1 (ExxonMobil); Esso (ExxonMobil); bp / Castrol; Eni; Gulf Oil International; Liqui Moly; Valvoline (Aramco); Motul,"Energy, Industrial & Automotive",Fuel retail rival
6,Accenture,accenture.com,20k+,~$64.9B (FY2024),n/a (public),~$190B mkt cap,high,10,IBM; DXC Technology; Cognizant; Globant; Akkodis (Adecco Group); IndraMind (Indra Sistemas); Xerox; NTT DATA; Deloitte; PwC,"Cloud, Data & AI Software; Cyber, IT & Hardware; Health, Betting & Services",global IT services/consulting
7,Chase (JPMorgan Chase),chase.com,20k+,"~$180B (2024, net rev)",n/a (public),~$650B mkt cap,high,10,American Express; Santander; Goldman Sachs; UBS; Barclays; Standard Chartered; Velocity Black (Capital One); Mobilize Financial Services (Renault Group); BNY; Public.com,"Payments, Banking & Insurance; Crypto, Trading & Wealth",Global investment bank rival
8,Nvidia,nvidia.com,20k+,~$130B (FY2025),n/a (public),~$3.3T mkt cap,high,10,G42; Hewlett Packard Enterprise; Cisco; Groq; CoreWeave; Arm (SoftBank Group); Core Scientific; Unity; AMD; Snapdragon (Qualcomm),"Cloud, Data & AI Software; Cyber, IT & Hardware",AI compute/GPU rival
9,OpenAI,openai.com,1k-5k,~$10-13B run-rate (2025 est.),$60B+ raised,~$500B (2025 round),medium,10,G42; Microsoft; Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; IBM; Cognition AI; Airia; Claude (Anthropic); ElevenLabs; TWG Motorsports / TWG AI (TWG Global),"Cloud, Data & AI Software",frontier AI rival
10,Panasonic,panasonic.com,20k+,~$57B (FY2024),n/a (public),~$20B mkt cap,high,10,HP; Dell Technologies; Lenovo; Xerox; Gillette (Procter & Gamble); Wilkinson Sword (Edgewell); Signify; Philips; DeWalt (Stanley Black & Decker); Duracell (Berkshire Hathaway),"Cyber, IT & Hardware; Beverages, Food & CPG; Energy, Industrial & Automotive; Telecom, Media, Electronics & Gaming",Consumer battery maker
