#,company,domain,hq_country,sector,subsector,employees_est,affordability,why_f1
1,4Paradigm,4paradigm.com,China,AI & Data,Enterprise AI platform,"~1,500-1,800",HKEX-listed; revenue ~$730M (2024),Chinese enterprise-AI platform expanding into APAC/MEA; sports tech partnerships used before (FIFA-adjacent analytics)
2,Agility Robotics,agilityrobotics.com,United States,AI & Data,Humanoid robotics,~300-500,Raised ~$400M (2025) at $1.75B valuation; Digit in commercial deployment,Commercial humanoid leader (logistics) seeking mainstream brand; robotics demos activate well trackside
3,Applied Intuition,appliedintuition.com,United States,AI & Data,Vehicle AI / simulation software,"~900-1,200",Raised $600M (Jun 2025) at $15B valuation,Sells vehicle intelligence and simulation to OEMs - direct overlap with F1 teams' simulation culture
4,Astera Labs,asteralabs.com,United States,AI & Data,AI connectivity semiconductors,~500-700,Nasdaq-listed; revenue ~$400M (2024) growing to ~$700M+ (2025); profitable,Newly public AI-semis winner with cash to build brand among cloud/enterprise buyers
5,C3.ai,c3.ai,United States,AI & Data,Enterprise AI applications,"~900-1,000",NYSE-listed; revenue ~$390M FY2025 with ~$700M cash,Enterprise AI pioneer with history of bold marketing; defense/industrial clients overlap F1 audience
6,Cambricon,cambricon.com,China,AI & Data,AI chips,"~1,000-1,500","STAR-listed; revenue surged to ~$400M in H1 2025 alone, newly profitable, ~$50B market cap",China's flagship AI-chip stock with global ambitions; Shanghai GP plus international brand-building
7,Cerebras Systems,cerebras.ai,United States,AI & Data,AI chips / inference,~500-700,Raised $1.1B (Sep 2025) at $8.1B valuation; IPO filed,Fastest-inference positioning is a natural speed story; rival Groq already validated F1 for AI chips
8,ClickHouse,clickhouse.com,United States,AI & Data,Real-time analytics database,~250-400,Raised $350M Series C (May 2025) at $6.35B valuation,Real-time analytics at F1 telemetry speed is a literal product demo; developer-brand building
9,Cloudera,cloudera.com,United States,AI & Data,Hybrid data platform,"~3,000",Revenue >$1B; PE-owned (KKR/CD&R) and cash-generative,Legacy data brand relaunching around private AI; needs visibility reset vs Databricks/Snowflake
10,Cohere,cohere.com,Canada,AI & Data,AI lab / enterprise LLMs,~400-600,Raised $500M (Aug 2025) at $6.8B valuation; >$1.5B total funding,Enterprise AI brand-building against OpenAI/Anthropic; F1 B2B hospitality platform suits its buyer audience
11,Credo Technology,credosemi.com,United States,AI & Data,AI connectivity semiconductors,~600-800,"Nasdaq-listed; revenue $437M FY2025, guiding to ~$800M+ FY2026; profitable",High-speed connectivity ('purple cables' in AI data centers) - speed/bandwidth story maps onto F1
12,Crusoe,crusoe.ai,United States,AI & Data,AI infrastructure / data centers,~700-900,Raised $686M (Dec 2024) and $1.38B (Nov 2025) at ~$10B valuation,Energy-first AI infrastructure brand; sustainability story aligns with F1's net-zero 2030 push
13,Dataiku,dataiku.com,United States,AI & Data,Enterprise AI/ML platform,"~1,000",ARR >$300M (2025); last valued $3.7B; >$1B raised,Franco-American enterprise AI platform; C-suite sales motion suits F1 hospitality and Euro footprint
14,DDN (DataDirect Networks),ddn.com,United States,AI & Data,AI storage / data intelligence,"~1,000-1,200",$300M Blackstone investment (Jan 2025) at $5B; revenue ~$500M and profitable,Profitable AI-storage leader stepping into brand marketing; supplies many AI factories powering F1-style compute
15,Figure AI,figure.ai,United States,AI & Data,Humanoid robotics,~300-500,Raised >$1B Series C (Sep 2025) at $39B valuation,Most-hyped robotics brand; pit-lane robotics activation would be a global media magnet
16,Fivetran,fivetran.com,United States,AI & Data,Data movement / integration,"~1,300 (pre dbt merger)",ARR >$300M (2025); merging with dbt Labs (announced Oct 2025) to ~$600M combined ARR,Post-merger data-platform champion needing a bigger brand vs Databricks; data-pipeline story fits race telemetry
17,Glean,glean.com,United States,AI & Data,Enterprise AI search / agents,"~800-1,000",Raised $150M Series F (Jun 2025) at $7.2B valuation; >$600M total,Enterprise AI brand needing C-suite awareness; F1 Paddock Club is a proven enterprise-software channel
18,Harvey,harvey.ai,United States,AI & Data,Legal AI,~400-600,"Raised $300M Series E (Jun 2025) at $5B, further round at $8B reported late 2025; ARR >$100M",Professional-services AI leader targeting global law firms/enterprises; premium B2B hospitality fit
19,Horizon Robotics,horizon.auto,China,AI & Data,Automotive AI chips / ADAS,"~2,000-2,500","HKEX-listed (raised ~$700M in Oct 2024 IPO); revenue ~$330M (2024), strong cash position",Automotive AI chip leader expanding beyond China; motorsport is the classic automotive-tech proving ground
20,Lambda,lambda.ai,United States,AI & Data,AI cloud / GPU compute,~600-800,Raised $480M Series D (Feb 2025) at ~$2.5B; multibillion Microsoft deal; IPO filed 2025,GPU cloud racing CoreWeave (now an F1 sponsor); pre-IPO brand build with speed/performance narrative
21,Lightmatter,lightmatter.co,United States,AI & Data,Photonic AI interconnect,~250-400,Raised $400M Series D (Oct 2024) at $4.4B valuation,Deep-tech photonics brand emerging into commercialization; speed-of-light narrative fits F1
22,MiniMax,minimax.io,China,AI & Data,AI lab / consumer AI apps,~600-900,Raised $850M+ incl. $600M Alibaba-led round (2024) at $2.5B+; Hong Kong IPO process 2025,"Consumer AI apps (Talkie, Hailuo) with large overseas user base; global entertainment-brand fit"
23,Mistral AI,mistral.ai,France,AI & Data,AI lab / foundation models,~600-800,"Raised EUR 1.7B Series C (ASML-led, Sep 2025) at EUR 11.7B valuation",Europe's AI champion seeking global consumer awareness; strong French/European fit with F1's heartland
24,Mobileye,mobileye.com,Israel,AI & Data,Autonomous driving / ADAS AI,"~4,300","Nasdaq-listed; revenue $1.65B (2024), large cash reserves",Automotive AI leader; F1 is the premier automotive-technology stage and Mobileye has no motorsport presence
25,Moonshot AI,moonshot.cn,China,AI & Data,AI lab / consumer AI (Kimi),"~800-1,200",Raised >$1.3B total incl. $1B+ Alibaba-led round (2024) at $3.3B valuation,Chinese consumer AI (Kimi) with international expansion ambitions; Shanghai GP and global visibility
26,Nebius,nebius.com,Netherlands,AI & Data,AI cloud,"~1,300-1,800",Nasdaq-listed; raised $700M (Dec 2024); $17.4B Microsoft capacity contract (2025),European-headquartered AI cloud scaling globally; needs enterprise brand vs hyperscalers; Dutch GP synergy
27,Nuro,nuro.ai,United States,AI & Data,Autonomous driving,~500-700,Raised Series E (2025) at $6B valuation; >$2.2B total funding,Licensing AV stack to automakers; F1 gives automotive credibility and OEM-partner visibility
28,OpenAI,openai.com,United States,AI & Data,AI lab / foundation models,"~3,000-4,000","Raised $40B (SoftBank-led, Mar 2025) at $300B valuation; revenue run-rate >$10B in 2025",Global consumer brand war with Google; F1's premium global reach fits ChatGPT's mass-market push
29,Perplexity,perplexity.ai,United States,AI & Data,AI search / consumer AI,"~700-1,200","Raised >$1B across 2024-25 rounds, latest at ~$20B valuation (Sep 2025)",Consumer challenger brand to Google with proven sports-marketing appetite; needs global household awareness
30,Quantexa,quantexa.com,United Kingdom,AI & Data,Decision intelligence / data analytics,~800,Raised $175M Series F (Mar 2025) at $2.6B valuation,UK data-AI scale-up selling to banks/governments; British motorsport-tech narrative fits
31,Scale AI,scale.com,United States,AI & Data,AI data engine / labeling,~900,Revenue ~$870M (2024); Meta invested $14.3B for 49% stake (Jun 2025),Deep-pocketed AI data leader rebuilding independent brand post-Meta deal; enterprise + government audience
32,Sierra,sierra.ai,United States,AI & Data,AI customer agents,~300-400,Raised $350M (Sep 2025) at $10B valuation,Bret Taylor-led agent platform building enterprise brand; consumer-brand clients overlap with F1 sponsors
33,Surge AI,surgehq.ai,United States,AI & Data,AI data / RLHF labeling,~200-400,"Bootstrapped and profitable; revenue >$1B (2024), reported raising at ~$25B valuation (2025)",Profitable category leader emerging from stealth; needs fast brand catch-up vs Scale AI
34,SymphonyAI,symphonyai.com,United States,AI & Data,Vertical enterprise AI,"~2,500-3,000","Revenue ~$500M (2024), profitable; IPO preparation underway",Profitable vertical-AI group pre-IPO; needs brand elevation vs better-known AI rivals
35,Synthesia,synthesia.io,United Kingdom,AI & Data,AI video generation,~400-500,Raised $180M Series D (Jan 2025) at $2.1B; ARR >$100M,UK AI champion (F1's home base); video-content product naturally activates around race content
36,Tenstorrent,tenstorrent.com,Canada,AI & Data,AI chips / RISC-V,~700-900,"Raised $693M Series D (Dec 2024, Samsung/Bezos) at $2.6B valuation",Jim Keller-led challenger to Nvidia; automotive-silicon partnerships give motorsport relevance
37,Together AI,together.ai,United States,AI & Data,AI cloud / inference,~250-400,Raised $305M Series B (Feb 2025) at $3.3B valuation,AI-cloud challenger needing developer and enterprise awareness vs hyperscalers
38,UiPath,uipath.com,United States,AI & Data,Agentic automation / RPA,"~4,200","NYSE-listed; revenue $1.43B FY2025, ~$1.6B cash",Repositioning around agentic AI; global enterprise brand refresh suits high-visibility platform
39,Writer,writer.com,United States,AI & Data,Enterprise generative AI,~250-400,Raised $200M Series C (Nov 2024) at $1.9B valuation,Enterprise genAI platform competing for Fortune 500 mindshare against bigger-name labs
40,xAI,x.ai,United States,AI & Data,AI lab / consumer AI (Grok),"~1,200-2,500 (post X merger)",Raised $6B (Dec 2024) plus ~$10B equity+debt in 2025 at ~$200B valuation,Consumer-facing Grok brand; Musk-adjacent appetite for high-visibility marquee properties
41,Zhipu AI (Z.ai),z.ai,China,AI & Data,AI lab / foundation models,"~800-1,000",Raised >$1.4B across multiple 2024-25 strategic/state rounds; IPO process started 2025,China's leading LLM lab going global with GLM models; needs Western brand recognition
42,Balkrishna Industries (BKT Tires),bkt-tires.com,India,Automotive & Aftermarket,Off-highway tires,"~3,200","Revenue ~$1.25B (FY2025), profitable; proven $10M+/yr sports sponsorships (La Liga, Serie B BKT, cricket)",Serial global sports sponsor explicitly using sport for brand awareness; F1 is the logical next property.
43,Holley Performance Brands,holley.com,United States,Automotive & Aftermarket,Performance parts,"~1,500","Revenue ~$600M (2024), NYSE-listed",US performance-aftermarket leader riding F1's American boom; enthusiast credibility play across its 60+ brands.
44,Kumho Tire,kumhotire.com,South Korea,Automotive & Aftermarket,Tire manufacturer,"~4,800","Revenue ~$3.3B (2024), profitable; active sports sponsor (Tottenham Hotspur, NBA)",Motorsport heritage (former F3 supplier) and current big-ticket sports deals; F1 branding without Pirelli's supply role.
45,Nokian Tyres,nokiantyres.com,Finland,Automotive & Aftermarket,Tire manufacturer,"~3,700","Revenue ~EUR 1.3B (2024), listed and profitable",Rebuilding brand and capacity post-Russia exit; F1 visibility differentiates vs bigger rivals without supplying the grid.
46,Thule Group,thulegroup.com,Sweden,Automotive & Aftermarket,Car racks & active-lifestyle carriers,"~2,900","Revenue ~SEK 9.5B (~$900M, 2024), profitable listed company",Premium car-adjacent lifestyle brand; global F1 audience matches its outdoor-affluent buyer and cargo/roof-box category leadership.
47,WeatherTech,weathertech.com,United States,Automotive & Aftermarket,Vehicle accessories / car care,"~1,500","Est. $500M+ revenue, profitable; title sponsor of IMSA WeatherTech SportsCar Championship (multi-$M/yr)",Proven motorsport mega-spender in US racing; F1's US surge offers the international step-up.
48,360 One WAM,360.one,India,"Banking, Insurance & FinServ",Wealth & asset management,"~1,500","Revenue ~₹26B (~$310M) (FY2024), highly profitable; leading Indian HNW wealth manager",India's top UHNW wealth brand; F1 hospitality suits its billionaire client roster and global Indian diaspora.
49,Ares Management,aresmgmt.com,United States,"Banking, Insurance & FinServ",Alternative asset management / private credit,"~3,100",Revenue ~$4.7B (2024); AUM >$480B,Active sports investor building a consumer-facing brand; F1 reaches the institutional and wealth channels it courts.
50,Aspen Insurance Holdings,aspen.co,Bermuda,"Banking, Insurance & FinServ",Specialty insurance & reinsurance,"~1,100",GWP ~$4.6B (2024); returned to NYSE via 2024 IPO,Post-IPO brand rebuild; London/Bermuda market hospitality culture suits race-weekend entertainment.
51,Banca Mediolanum,bancamediolanum.it,Italy,"Banking, Insurance & FinServ",Wealth management & banking,"~3,400",Net income ~€822M (2024) on >€3B revenue,Advisor-led affluent client model; Monza/Imola home-market passion plus European brand-building.
52,Bank J. Safra Sarasin,jsafrasarasin.com,Switzerland,"Banking, Insurance & FinServ",Private banking,"~2,500","Operating income ~CHF 1.6B, net profit >CHF 500M (2024)",Deep-pocketed private bank expanding in Asia and Middle East — both core F1 growth markets for HNW hospitality.
53,Bank of Queensland,boq.com.au,Australia,"Banking, Insurance & FinServ",Regional banking,"~3,000","Total income ~A$1.6B (FY2024), profitable ASX-listed bank",Challenger to Australia's Big Four seeking brand relevance; Melbourne GP delivers a national marquee stage.
54,Banque Saudi Fransi,alfransi.com.sa,Saudi Arabia,"Banking, Insurance & FinServ",Commercial banking,"~3,200","Revenue ~SAR 9.6B (~$2.6B), net income ~SAR 4.6B (2024)",Saudi bank refreshing its brand amid Vision 2030 sports push; Jeddah GP home-market visibility.
55,Beazley,beazley.com,United Kingdom,"Banking, Insurance & FinServ",Specialty insurance (Lloyd's),"~2,500","Insurance written premiums ~$6.2B, net income ~$1.4B (2024)",Cyber/specialty leader with record profits; broker and corporate-client hospitality is central to the Lloyd's model.
56,Blue Owl Capital,blueowl.com,United States,"Banking, Insurance & FinServ",Alternative asset management,"~1,200",Revenue ~$2.3B (2024); AUM >$250B,Aggressively brand-building in private wealth distribution; premium global visibility plus HNW hospitality.
57,Boubyan Bank,bankboubyan.com,Kuwait,"Banking, Insurance & FinServ",Islamic banking,"~1,900","Operating income ~KWD 220M (~$700M), net profit ~KWD 93M (2024)",Digital-forward Islamic bank targeting young affluent Gulf customers who follow the regional F1 races.
58,Commercial Bank of Dubai,cbd.ae,United Arab Emirates,"Banking, Insurance & FinServ",Commercial banking,"~1,600","Revenue ~AED 5.4B, net profit ~AED 3.0B (~$820M) (2024)",Dubai-based bank targeting HNW and corporate clients; F1 hospitality is the Gulf's premier relationship venue.
59,Definity Financial,definityfinancial.com,Canada,"Banking, Insurance & FinServ",P&C insurance,"~4,000","GWP ~C$4.4B (2024); TSX-listed, profitable",Building national consumer brand post-demutualization; auto-insurance link plus Canadian GP visibility.
60,East West Bank,eastwestbank.com,United States,"Banking, Insurance & FinServ",US-Asia commercial banking,"~3,200","Revenue ~$2.6B, net income ~$1.2B (2024); LA28 Olympics founding partner shows major sponsorship appetite",Bridges affluent US and Asian clientele — matches F1's US growth plus APAC race footprint.
61,EFG International,efginternational.com,Switzerland,"Banking, Insurance & FinServ",Private banking,"~3,100","Operating income ~CHF 1.45B (2024), profitable",Global private bank already sponsoring sailing; F1 hospitality is a direct HNW client acquisition tool.
62,EQB / Equitable Bank,eqbank.ca,Canada,"Banking, Insurance & FinServ",Digital challenger bank,"~1,900","Revenue ~C$1.3B, net income ~C$430M (FY2024); TSX-listed",Canada's self-styled challenger bank; Montreal GP home race and a young affluent digital customer base.
63,EQT AB,eqtgroup.com,Sweden,"Banking, Insurance & FinServ",Private equity,"~1,900",Revenue ~€2.4B (2024); AUM ~€270B,Listed PE house building a global brand across Europe/Asia/US; F1 hospitality for LPs and portfolio CEOs.
64,Evercore,evercore.com,United States,"Banking, Insurance & FinServ",Investment banking advisory,"~2,300",Revenue ~$3.0B (2024),Elite advisory brand; paddock-club hospitality for CEO/board-level dealmakers is a natural fit.
65,FinecoBank,finecobank.com,Italy,"Banking, Insurance & FinServ",Digital bank & brokerage,"~1,400","Revenue ~€1.3B, net income ~€680M (2024)",Italy's leading digital bank in the tifosi heartland; affluent self-directed investors mirror F1 viewership.
66,Gjensidige,gjensidige.no,Norway,"Banking, Insurance & FinServ",P&C insurance,"~4,400","Premium revenue ~NOK 40B (~$3.7B) (2024), consistently profitable",Nordic insurer with pan-Baltic expansion; auto-insurance heritage and brand differentiation via global sport.
67,Guggenheim Partners,guggenheimpartners.com,United States,"Banking, Insurance & FinServ",Asset management & investment banking,"~2,400","AUM ~$345B; est. revenue >$2B (2024), profitable private partnership",Already active in US sports (baseball ownership ties); F1 gives global institutional visibility.
68,Hiscox,hiscoxgroup.com,United Kingdom,"Banking, Insurance & FinServ",Specialty insurance,"~3,300",GWP ~$4.8B (2024); long-running art/sailing sponsorships >$1M/yr,Premium consumer-facing insurance brand for HNW households — F1 upgrades its established sponsorship playbook.
69,Investcorp,investcorp.com,Bahrain,"Banking, Insurance & FinServ",Alternative asset management,~500,"AUM ~$55B; est. revenue ~$500M, profitable (FY2024)","Gulf-HNW investor base and luxury-brand heritage (Gucci, Tiffany); Bahrain GP is literally its home race."
70,Janus Henderson,janushenderson.com,United Kingdom,"Banking, Insurance & FinServ",Asset management,"~2,100",Revenue ~$2.5B (2024); AUM ~$380B,Global retail-and-institutional brand relaunch underway; F1 delivers trans-Atlantic affluent reach.
71,KakaoBank,kakaobank.com,South Korea,"Banking, Insurance & FinServ",Digital challenger bank,"~1,600","Operating revenue ~KRW 2.7T (~$2B), net profit ~KRW 440B (2024)",Korea's dominant digital bank eyeing SEA expansion; F1's APAC rounds reach its next markets.
72,Kinsale Capital Group,kinsalecapitalgroup.com,United States,"Banking, Insurance & FinServ",Specialty (E&S) insurance,~650,"Revenue ~$1.6B, net income ~$415M (2024); best-in-class margins",Highly profitable specialty insurer with zero brand spend today — F1 would leapfrog broker/wholesaler awareness.
73,Lancashire Holdings,lancashiregroup.com,United Kingdom,"Banking, Insurance & FinServ",Specialty insurance & reinsurance,~400,"GWP ~$2.1B, net income ~$320M (2024)",Exceptional profit per employee; London-market relationship hospitality at flagship races.
74,Lazard,lazard.com,United States,"Banking, Insurance & FinServ",Investment banking & asset management,"~3,000",Revenue ~$3.1B (2024); NYSE-listed,Global advisory franchise pursuing brand renewal; F1's international corporate audience mirrors its client base.
75,Lombard Odier,lombardodier.com,Switzerland,"Banking, Insurance & FinServ",Private banking,"~2,900",Operating income ~CHF 1.3B (2024); 225-year-old profitable partnership,Global HNW client entertainment and sustainability-tech narrative align with F1's net-zero 2030 push.
76,Man Group,man.com,United Kingdom,"Banking, Insurance & FinServ",Asset management (alternatives),"~1,800",Revenue ~$1.6B (2024); AUM ~$175B,Long history of marquee sponsorship (Man Booker Prize); tech/quant story aligns with F1 data narrative.
77,Mutua Madrilena,grupomutua.es,Spain,"Banking, Insurance & FinServ",Insurance & asset management,"~2,500",Group revenue ~€7B (2024); title sponsor of Mutua Madrid Open tennis (multi-million annual sports spend),Madrid hosts a new Grand Prix from 2026 — home-market halo moment for Spain's leading mutual insurer.
78,Neuberger Berman,nb.com,United States,"Banking, Insurance & FinServ",Asset management,"~2,900","AUM ~$500B (2024); est. revenue >$1.5B, profitable employee-owned firm",Growing private-wealth and international distribution; affluent F1 audience matches target clients.
79,nib Group,nib.com.au,Australia,"Banking, Insurance & FinServ",Health insurance,"~2,300",Revenue ~A$3.4B (FY2024); NRL Newcastle Knights naming sponsor (>$1M/yr sports spend),Proven sports sponsor expanding into NZ/travel segments; Melbourne GP reaches young premium members.
80,Partners Group,partnersgroup.com,Switzerland,"Banking, Insurance & FinServ",Private markets asset management,"~1,900",Revenue ~CHF 2.2B (2024); AUM ~$150B,Private-wealth distribution push needs consumer-adjacent brand; global race calendar matches office network.
81,RAKBank,rakbank.ae,United Arab Emirates,"Banking, Insurance & FinServ",Regional banking,"~3,000","Total income ~AED 4.9B (~$1.3B), net profit ~AED 2.1B (2024)",UAE bank courting affluent expats and SMEs; Abu Dhabi GP home audience without an F1 bank incumbent its size.
82,RenaissanceRe,renre.com,Bermuda,"Banking, Insurance & FinServ",Reinsurance,~800,"Revenue ~$11.7B, net income ~$3.6B (2024)","Huge revenue per head; global client hospitality (brokers, cedents) at premium events is core to reinsurance relationships."
83,Root Inc,joinroot.com,United States,"Banking, Insurance & FinServ",Auto insurtech,"~1,000","Revenue ~$1.2B (2024), first full-year net profit",Car-insurance brand with a telematics/driving story — motorsport is a native fit for the booming US F1 fanbase.
84,Tawuniya,tawuniya.com.sa,Saudi Arabia,"Banking, Insurance & FinServ",Insurance,"~2,000",GWP ~SAR 17B (~$4.7B) (2024); active Saudi sports sponsor,Saudi insurance leader already spending on sport; F1 elevates it to a regional consumer mega-brand.
85,The Commercial Bank (Qatar),cbq.qa,Qatar,"Banking, Insurance & FinServ",Commercial banking,"~1,500","Revenue ~QAR 5.4B (~$1.5B), net profit ~QAR 3.0B (2024)",Qatar GP home market; positions against larger Gulf rivals via premium sport and HNW hospitality.
86,TPG,tpg.com,United States,"Banking, Insurance & FinServ",Private equity,"~1,900",Revenue ~$3B (2024); AUM ~$250B; NASDAQ-listed,Public PE firm expanding retail/wealth channels; F1 offers global stage and LP/client hospitality.
87,Vontobel,vontobel.com,Switzerland,"Banking, Insurance & FinServ",Private banking & asset management,"~2,300",Operating income ~CHF 1.3B (2024),Swiss wealth brand seeking international growth; F1's UHNW paddock audience is its exact client profile.
88,Western Alliance Bank,westernalliancebank.com,United States,"Banking, Insurance & FinServ",Regional/commercial banking,"~3,400","Revenue ~$3.2B, net income ~$790M (2024); NYSE-listed",Fast-growing national commercial bank needing brand lift beyond regional roots; C-suite and HNW client hospitality at US races.
89,ATG (AB Trav och Galopp),atg.se,Sweden,Betting & iGaming,Horse racing & sports betting operator,~450,"Net gaming revenue ~SEK 5.5B (~USD 520M, 2023), profitable; major Swedish racing sponsorship spend",Racing-native betting brand expanding into sports betting; motorsport adjacency and Nordic F1 viewership growth make a team-level entry logical
90,Betclic Group,betclicgroup.com,France,Betting & iGaming,"Online sportsbook operator (France, Portugal, Poland, Italy)","~1,300","Revenue ~EUR 1.3-1.4B, strongly profitable (FY2024, reported within FL Entertainment/Banijay Group)","France's #1 sports betting app, heavy sports-sponsorship spender (football, basketball); team-level F1 deal reaches its young male demo across all four of its licensed markets"
91,Betsson AB,betssonab.com,Sweden,Betting & iGaming,Online sportsbook & casino operator,"~2,500-3,000","Revenue ~EUR 1.1B with record EBIT (FY2024, listed Nasdaq Stockholm); pays Inter Milan-scale football sponsorships",Pan-European/LatAm growth brand already buying top-tier football inventory; team-level deal (betting category open at most teams) fits its multi-market Betsson/Betsafe brand strategy
92,BoyleSports,boylesports.com,Ireland,Betting & iGaming,Retail & online bookmaker,"~2,300","Profitable family-owned bookmaker (~350 shops); funds Premier League-level shirt sponsorships (Aston Villa, Birmingham City) >USD 1M/yr (2020s)",UK/Ireland challenger investing in brand to compete with giants; team-level F1 branding gives national-scale awareness beyond football inventory it already buys
93,Casinos Austria / Austrian Lotteries,casinos.at,Austria,Betting & iGaming,Casino & lottery operator (win2day online),"~3,700","Group revenue (GGR) ~EUR 1.4B incl. Austrian Lotteries and win2day online monopoly (2023), profitable",Home of the Red Bull Ring with a legal online monopoly (win2day) to promote; team-level or driver-level motorsport sponsorship is a high-affinity domestic play
94,Danske Spil,danskespil.dk,Denmark,Betting & iGaming,State betting & lottery operator,~500,"Revenue ~DKK 5B (~USD 720M, 2023), profitable; established Danish sports sponsorship portfolio >USD 1M/yr","Danish sports-betting incumbent; team-level F1 (Danish driver interest post-Magnussen era, strong viewership) offers differentiation vs bet365/Betano in the open Danish market"
95,Games Global,gamesglobal.com,Isle of Man,Betting & iGaming,iGaming content & platform supplier (ex-Microgaming),"~1,200","Revenue ~USD 355M, profitable (FY2023, disclosed in withdrawn NYSE F-1)",B2B slots leader selling to hundreds of casino operators; team-level F1 hospitality/branding is classic B2B tech positioning (as other suppliers do in football)
96,Genius Sports,geniussports.com,United Kingdom,Betting & iGaming,Sports betting data & technology provider,"~1,800","Revenue ~USD 511M (FY2024, NYSE: GENI), first positive net income quarters",Official data partner of NFL/EPL selling to sportsbooks worldwide; F1 team-level partnership showcases its tracking/fan-engagement tech to rights holders and operator clients
97,Groupe Partouche,partouche.com,France,Betting & iGaming,Casino operator (France/Belgium/Switzerland),"~3,900","Net revenue ~EUR 430M on GGR ~EUR 680M (FY2023, Euronext-listed), profitable","Casino group targeting affluent leisure audiences in F1-adjacent geographies (Cannes, Monaco region); team-level hospitality-led sponsorship matches its VIP model"
98,Holland Casino,hollandcasino.nl,Netherlands,Betting & iGaming,Casino operator (land-based + online),"~3,700","Revenue ~EUR 770M (2023), state-owned market leader in Dutch casino and licensed online gaming",Massive Dutch F1 fanbase (Verstappen effect) and a licensed online product to defend; team-level deal sustains relevance as the Dutch GP leaves the calendar after 2026
99,Inspired Entertainment,inspiredentertainment.com,United States,Betting & iGaming,"Virtual sports, iGaming & gaming technology supplier","~1,100","Revenue ~USD 300M with positive EBITDA (FY2024, NASDAQ: INSE)",Global leader in virtual motorsport betting products; an F1 team-level license/partnership directly feeds its virtuals content and B2B sales narrative
100,Intralot,intralot.com,Greece,Betting & iGaming,Lottery & betting technology operator,"~1,800 (pre-merger; ~2,700 post)",Revenue ~EUR 364M (FY2024); EUR 2.7B acquisition of Bally's International Interactive (2025) creates ~EUR 1.1B-revenue group,Newly enlarged global lottery/iGaming group needs a repositioning statement to government clients and B2C players; team-level F1 is a proven vehicle for that
101,Kalshi,kalshi.com,United States,Betting & iGaming,CFTC-regulated prediction market (incl. sports event contracts),~500,"Raised USD 1B Series F at USD 22B valuation (2026); USD 2.8B total funding, spending aggressively on sports marketing","Best-funded challenger in US sports event trading, buying mainstream sports visibility nationwide (works in all 50 states); a team-level F1 deal is a statement buy it can afford"
102,Kindred Group (Unibet),kindredgroup.com,Malta,Betting & iGaming,Online sportsbook & casino operator,"~2,000-2,500","Revenue ~GBP 1.2B (FY2023); acquired by FDJ for EUR 2.6B (2024), now cash-rich FDJ United division",Unibet has long bought premier-league-level sports sponsorships across Europe/Australia; a team partnership gives pan-market reach where betting ads are restricted on race broadcasts
103,Lottoland,lottoland.com,Gibraltar,Betting & iGaming,Online lottery betting operator,~450,"Revenue ~EUR 300-350M (reported early 2020s), profitable across UK, Ireland, Australia and Nordic licenses",Needs mainstream trust-building vs state lotteries in every market; a team-level F1 badge delivers credibility and reach across its UK/EU/Australian footprint
104,Lottomatica Group,lottomaticagroup.com,Italy,Betting & iGaming,"Sports betting, online gaming & gaming machines (Italy leader)","~4,000","Revenue ~EUR 2.0B, EBITDA ~EUR 700M (FY2024, listed Borsa Italiana)",Dominant Italian operator (Goldbet/Better) with Ferrari-mad home audience; Italian ad restrictions push it toward team-level international sponsorship rather than domestic media
105,Nationale Loterij / Loterie Nationale,loterie-nationale.be,Belgium,Betting & iGaming,National lottery & betting (Scooore),~750,"GGR ~EUR 750M+ (2023), profitable; funds the Lotto pro cycling team at well over USD 1M/yr for decades","Proven title-team sponsor in cycling; with Spa on the calendar and its Scooore sportsbook fighting private operators, an F1 team-level deal is a natural extension"
