#,category,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1
1,Automation & Robotics,Covariant AI,covariant.ai,United States,AI-powered robotic picking & warehouse automation,~250,250-1k,funded-150m,Medium,Raised well over $150M cumulative venture funding for AI robotics; a growth-stage AI narrative that fits F1's data-driven performance story.
2,Commercial Vehicles,"Douglas Dynamics, Inc.",douglasdynamics.com,United States,Snow & ice-control truck equipment,1600,1k-5k,sentiment,core,Publicly traded (NYSE: PLOW) market leader in snow/ice control attachments; revenue clears the $200M threshold and its 'performance in extreme conditions' brand story parallels F1 engineering marketing.
3,Commercial Vehicles,Gillig LLC,gillig.com,United States,Transit bus manufacturing,3000,1k-5k,sentiment,sentiment,"Largest independent U.S. transit-bus builder (reported ~30-40% U.S. market share, acquired by American Industrial Partners in 2021); no public financials, but scale of output implies multi-hundred-million-dollar revenue, and its electrification push mirrors F1's sustainability narrative."
4,Commercial Vehicles,Toyota Industries Corporation,toyota-industries.com,Japan,Forklifts & material handling equipment,74000,10k+,sentiment,core,"World's largest forklift/material-handling manufacturer with deep precision-engineering credentials and Toyota Group manufacturing prestige, giving a natural entry point despite Toyota Motor itself sitting outside F1."
5,Edge & CDN,"Baishan Cloud Technology Co., Ltd.",baishan.com,China,Edge computing and CDN,500,250-1k,sentiment,"Sentiment: one of China's top-3 CDN/edge cloud providers; raised over $200M in a Series D round (2018) from IDG Capital and others, continuing to serve major domestic internet and streaming clients",China remains a priority growth market for F1; a leading domestic edge/CDN provider offers activation reach independent of the Western hyperscalers already engaged.
6,Gulf Sovereign & Tourism,Kuwait Investment Authority (KIA),kia.gov.kw,Kuwait,Sovereign wealth fund,500-800,250-1k,core,core,World's oldest sovereign wealth fund (~$800B+ AUM) with no current F1 presence; fits the special sovereign-entity allowance and represents a Gulf state not yet visible on the grid via its investment arm.
7,Gulf Sovereign & Tourism,Public Investment Fund (PIF),pif.gov.sa,Saudi Arabia,Sovereign wealth fund / giga-project owner,"2,500+",1k-5k,core,core,"Saudi Arabia's ~$925B sovereign wealth fund and owner/backer of NEOM, Qiddiya, ROSHN, Riyadh Air and SURJ Sports Investment; sovereign backing alone clears the core gate and it is not itself a current F1 sponsor."
8,Gulf Sovereign & Tourism,Qatar Investment Authority (QIA),qia.qa,Qatar,Sovereign wealth fund,500-700,250-1k,core,core,"Qatar's sovereign wealth fund (~$500B AUM); state-linked capital pool distinct from Qatar Airways/stc which are already excluded as current sponsors, giving Qatar a second sovereign-vehicle entry point into F1."
9,Gulf Sovereign & Tourism,Abu Dhabi Investment Authority (ADIA),adia.ae,United Arab Emirates,Sovereign wealth fund,"1,500-2,000",1k-5k,core,core,"One of the world's largest sovereign wealth funds (est. $900B+ AUM); Abu Dhabi already hosts a race weekend, and ADIA is a distinct entity from Mubadala (excluded), offering an untapped state-capital sponsor angle."
10,Gulf Sovereign & Tourism,Investment Corporation of Dubai (ICD),icd.gov.ae,United Arab Emirates,"Sovereign investment holding (owns Emirates, Emirates NBD, DEWA stakes)",150-300,250-1k,core,core,"Dubai's principal sovereign investment arm holding stakes across Emirates, Emirates NBD and DEWA; distinct legal entity from Emirates (excluded) and not currently an F1 sponsor itself."
11,Gulf Sovereign & Tourism,Riyadh Air,riyadhair.com,Saudi Arabia,PIF-backed national airline (launch phase),"1,000+ (scaling to 12,000+ by 2030)",10k+,core,core,"New PIF-owned Saudi national carrier launching commercial flights in 2025/26; sovereign-backed with a global brand-building mandate, and separate from Saudia/Qatar Airways-type exclusions."
12,Gulf Sovereign & Tourism,Sela Company,sela.sa,Saudi Arabia,State-linked entertainment & live-events producer,"~2,000",1k-5k,sentiment,sentiment,"Saudi entertainment/events group behind Riyadh Season, WWE Arabia and other giga-events tied to the state's Vision 2030 sports push; publicly reported revenue not disclosed, so flagged as sentiment pending confirmed financials rather than assumed core."
13,HPC & Supercomputing,"Phytium Technology Co., Ltd.",phytium.com.cn,China,High-performance CPU design for servers and supercomputing,1000,250-1k,sentiment,"Sentiment: processors deployed in China's Tianhe-series supercomputers; placed on the US Entity List in 2021, reflecting its strategic role in China's domestic HPC ecosystem",A strategic domestic HPC brand seeking China-market prestige; the Shanghai GP offers a high-visibility local platform for building consumer and enterprise trust.
14,Home & Living,Miele & Cie. KG,miele.com,Germany,Premium home appliances,23000,10k+,core,High $2M-6M,"Family-owned premium appliance maker (~EUR5.4B revenue, 23k+ staff) with a 'Immer Besser' precision-engineering positioning that fits well alongside other premium-lifestyle F1 partners."
15,Home & Living,Arcelik A.S.,arcelikglobal.com,Turkiye,"Home appliances (Beko, Grundig)",40000,10k+,core,Mid $1M-3M,BIST-listed appliance maker (~EUR6B revenue) with pan-European distribution and prior sports-sponsorship experience (football); global media reach of F1 suits its brand-building ambitions in new markets.
16,Industrial Gases,"SK Materials Co., Ltd.",skmaterials.com,South Korea,"Specialty semiconductor gases (NF3, WF6)",700,250-1k,core,Core – ~$550M revenue clears $200M threshold,SK Group specialty-gas arm supplying global chipmakers; Korea regional champion niche-gas play overlooked on the current list.
17,Industrial Gases,"Hyundai Welding Co., Ltd.",hyundaiwelding.com,South Korea,Welding consumables and gas-shielded welding equipment,1500,1k-5k,core,Core – est. $300-400M revenue clears $200M threshold,Major Korean welding-consumables/equipment maker (shielding-gas welding); fabrication/engineering-partner fit for F1 chassis manufacturing sponsorship.
18,Industrial Gases,Chiyoda Corporation,chiyodacorp.com,Japan,LNG and hydrogen plant engineering,2500,1k-5k,core,Core – ~$2.7-3B revenue,Longtime top-tier LNG liquefaction technology/EPC provider; hydrogen-carrier (MCH) technology pioneer aligning with F1 sustainable-fuel messaging.
