#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_earlier_list,source_batch
1,ADLINK Technology,adlinktech.com,Taiwan,Embedded Edge Compute Hardware,"~1,500",1k-5k,core,"Public (TWSE: 6166); FY revenue ~$300M, industrial edge computing and IoT hardware provider",Industrial edge/IoT hardware could power trackside sensor networks and pit-wall data acquisition.,,P16b
2,Aligned Data Centers,aligneddc.com,USA,Edge Data Centers,"~1,100",1k-5k,core,"Backed by Macquarie Asset Management; multi-billion-dollar capital commitments for hyperscale/edge buildout, revenue >$200M/yr",Sustainability-engineered cooling technology (patented Delta³) supports F1's efficiency and sustainability messaging.,yes,P16b
3,Ambarella,ambarella.com,USA,Edge AI Chips & Software,~700,250-1k,core,"Public (NASDAQ: AMBA); FY revenue ~$240M, edge AI vision chip maker",Computer-vision edge chips fit trackside camera and safety-system technology storylines.,yes,P16b
4,Amdocs,amdocs.com,United States,Telecom OSS/BSS & network software for global carriers,"~30,000",10k+,core,"Public (NASDAQ: DOX); FY revenue >$4.9B, serves most of the world's largest telecom operators",Software behind billing and network operations for global carriers offers scale and reliability fit for F1 sponsorship.,yes,V16
5,Arelion,arelion.com,Sweden,Global IP backbone / Tier 1 network operator,~900,250-1k,core,Owned by Polhem Infra; global backbone (ex-Telia Carrier) with revenue est. >$400M/yr,One of the internet's largest backbone networks offers a global-connectivity story matching F1's 24-race calendar.,yes,V16
6,Ascenty,ascenty.com,Brazil,Regional Colocation & Edge Data Centers,~600,250-1k,core,Wholly owned by Digital Realty since 2018 (~$1.8B acquisition); Latin America's largest data center operator,Brazil's leading data center platform aligns with the São Paulo Grand Prix and F1's strong Brazilian fanbase.,,T16
7,ASUS (AAEON),aaeon.com,Taiwan,Embedded Edge Compute Hardware,"12,000+ (ASUS Group)",10k+,core,AAEON is a subsidiary of ASUSTeK Computer (TWSE: 2357); parent FY revenue >$14B,ASUS's consumer tech brand plus AAEON's embedded edge hardware gives both fan-facing and B2B sponsorship angles.,,P16b
8,Baidu AI Cloud,cloud.baidu.com,China,Public Cloud Edge Services,"40,000+ (Baidu Group)",10k+,core,"Division of Baidu, Inc. (NASDAQ/HKEX: BIDU); group FY revenue >$18B, China intelligent-edge/AI cloud leader",Baidu's AI-edge platform ('Intelligent Edge') supports F1's data-driven fan and broadcast experiences in China.,yes,P16b
9,Boingo Wireless,boingo.com,United States,"DAS, Wi-Fi & private wireless network operator for venues/airports",~600,250-1k,core,"Private, owned by DigitalBridge; revenue est. >$200M/yr operating venue and airport wireless networks",Operator of venue and airport wireless/DAS networks is a natural fit for F1's stadium-scale trackside connectivity needs.,yes,V16
10,Bright Data,brightdata.com,Israel,Residential proxy network & public web/edge data collection,900,250-1k,core,Private; reported 2025 revenue run-rate of ~$300M ARR (up from $127.7M in 2024) — clears revenue gate.,Bright Data's global residential-IP edge network mirrors the worldwide fan footprint F1 sells to sponsors — data infrastructure as fan-engagement proof point.,,P16a
