#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,Agilysys,agilysys.com,United States,Hospitality property management & POS software,"1,300-1,500",1k-5k,core,high,"Public (NASDAQ: AGYS), revenue >$200M FY24; serves resorts/casinos/stadiums, aligning with F1's premium venue and hospitality ecosystem.",,X10a
2,Amadeus IT Group,amadeus.com,Spain,Travel & hospitality technology platform,"16,000-19,000",10k+,core,high,"Public (BME: AMS), revenue >€5B; not a current F1 sponsor; Europe-headquartered with strong presence in F1 host countries (Spain, Monaco, Italy).",yes,X10a
3,Anthology,anthology.com,United States,"Higher education SaaS (SIS, LMS, CRM) formed via Blackboard/Anthology merger","3,000-4,000",1k-5k,core,PE-owned (Veritas Capital/Leeds Equity); large combined revenue base (~$600M+ estimated),Large-scale higher-ed software platform from major PE-backed merger; combined revenue scale supports core-tier evaluation.,yes,X10b
4,AppFolio,appfolio.com,United States,Property management SaaS for residential and community associations,"2,000+",1k-5k,core,"Public company (NASDAQ: APPF), revenue ~$770M",Public property-management SaaS leader with strong revenue growth; clears core gate comfortably.,yes,X10b
5,Aspire Software,youraspire.com,United States,Business management/ERP SaaS for landscape and snow-removal companies,300-500,250-1k,core,"Wholly owned by ServiceTitan (public, NASDAQ: TTAN) since 2021",Owned by newly public field-service giant ServiceTitan; parent's public-market scale supports core-tier sponsorship evaluation via this unit.,,X10b
6,athenahealth,athenahealth.com,United States,Cloud EHR & practice management software,"8,000-9,000",5k-10k,core,high,"Taken private by Bain Capital/Hellman & Friedman (2019, ~$17B deal incl. debt); reported revenue near $2B, well above the core threshold.",,X10a
7,Auto Trader Group,autotrader.co.uk,United Kingdom,Automotive marketplace & dealer software,"1,000-1,200",1k-5k,core,high,"Public (LSE: AUTO), revenue >£450M FY24; UK's dominant auto marketplace, based in F1's home market with strong brand overlap to British motorsport fandom.",,X10a
8,Blue Yonder,blueyonder.com,United States,Supply chain and retail planning/fulfillment software,"6,000+",5k-10k,core,"Wholly owned by Panasonic (public, ~$1B+ Blue Yonder revenue)",Panasonic-backed retail/supply-chain leader; Panasonic's own history of motorsport sponsorship makes this unit a plausible F1 partner via parent relationship.,yes,X10b
9,CarGurus,cargurus.com,United States,Automotive marketplace & dealer software,"1,300-1,600",1k-5k,core,high,"Public (NASDAQ: CARG), revenue >$900M FY23; large consumer automotive audience overlaps meaningfully with F1's motorsport fan base.",yes,X10a
10,Cars Commerce,cars.com,United States,Automotive marketplace & dealer software platform,"1,600-1,900",1k-5k,core,high,"Public (NYSE: CARS), revenue ~$680M FY23; leading US auto marketplace with dealer-facing SaaS tools, natural adjacency to F1's automotive sponsor category.",yes,X10a
