#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_earlier_list,source_batch
1,Abrigo,abrigo.com,US,"BSA/AML, credit & compliance software for banks",700+,250-1k,core,"Majority owned by Carlyle Group (2022 investment); serves 2,400+ financial institutions for compliance/risk management","Community/regional bank compliance-software leader; Carlyle's scale supports premium sponsorship targeting bank risk officers, a growing F1 category.",,T14
2,ACI Worldwide,aciworldwide.com,US,Fraud & compliance for payments,"4,000+",1k-5k,core,Public company (Nasdaq: ACIW); FY2023 revenue >$1.4B,"Real-time payments-fraud-prevention story maps to F1's split-second decision culture, reaching bank/fintech compliance leaders.",,P14a
3,Acrisure,acrisure.com,US,"Insurance brokerage, fintech & risk services","17,000+",10k+,core,PE-backed fintech/insurance conglomerate; FY2023 revenue >$4B,One of the fastest-growing insurance brokers globally with an existing motorsport sponsorship appetite (NASCAR); natural F1 prospect.,yes,W16
4,AlixPartners,alixpartners.com,US,"Financial crime, forensic & regulatory-risk consulting","4,000+",1k-5k,core,PE-backed (CVC Capital Partners majority investment since 2021); est. annual revenue >$2B,Global turnaround-and-forensic-risk consultancy with deep Fortune 500 relationships; PE-backed scale supports premium international sponsorship.,yes,V14
5,Alliant Insurance Services,alliant.com,US,Specialty insurance brokerage,"10,000+",5k-10k,core,PE-backed (Stone Point Capital); est. annual revenue >$3B,Large specialty broker with major corporate and sports-industry clients; scale supports a premium global sponsorship.,yes,W16
6,Allianz Trade,allianz-trade.com,France,Credit Risk Data (Trade Credit),5700,5k-10k,core,Wholly owned by Allianz SE (Public XTRA:ALV; FY2023 group revenue EUR152B).,World's #1 trade-credit insurer and risk-data provider; parent's scale easily clears the affordability bar.,,P14b
7,Alter Domus,alterdomus.com,Luxembourg,Fund & corporate administration services,"5,500+",5k-10k,core,PE-backed (Cinven); leading global fund administration and compliance group,Leading fund and corporate administration group serving private capital managers on regulatory compliance globally.,yes,W16
8,Alvarez & Marsal,alvarezandmarsal.com,US,"Risk, restructuring & regulatory compliance advisory","10,000+",5k-10k,core,Private partnership; est. annual revenue >$3B across 40+ countries,Global turnaround-and-risk advisory brand seeking premium international visibility to match its Fortune 500 client base.,yes,T14
9,Amwins Group,amwins.com,US,Wholesale insurance distribution,"8,000+",5k-10k,core,"PE-backed (Dragoneer/Farallon); one of the largest wholesale distributors, revenue >$2B",Largest independent wholesale insurance distributor in the US; scale and growth trajectory support premium sponsorship spend.,yes,W16
10,Apex Group,apexgroup.com,Bermuda,"Fund, corporate & compliance administration","13,000+",10k+,core,"Private, growth-equity backed (Genstar Capital); one of the largest global fund-services groups","One of the largest global financial-services administration groups, spanning fund, corporate and ESG-compliance services.",yes,W16
11,Applied Systems,appliedsystems.com,US,Insurance agency management & compliance,"2,800+",1k-5k,core,PE-backed by Hg & GTCR; est. annual revenue >$400M,Insurance-distribution compliance leader; overlaps with F1's insurance and financial-services sponsor category.,yes,P14a
12,Archer (RSA Archer),archerirm.com,US,Enterprise GRC platform,600-800,250-1k,core,Owned by Symphony Technology Group since 2020 Dell/RSA carve-out; part of a GRC/security portfolio generating est. >$250M combined revenue,Legacy GRC market leader; F1's precision-engineering brand reinforces Archer's always-on risk-visibility pitch to enterprise risk officers.,,P14a
13,Ardonagh Group,ardonagh.com,UK,Insurance distribution & broking,"11,000+",10k+,core,PE-backed (HPS/Carlyle/Madison Dearborn investors); group revenue >£1.5B,"UK's largest independent broker, built through aggressive M&A; scale supports a flagship European F1 sponsorship.",yes,W16
14,AssuredPartners,assuredpartners.com,US,Insurance brokerage,"10,000+",5k-10k,core,PE-backed (GTCR/Apax Partners); est. annual revenue >$1.5B,Top-15 US broker built through rapid PE-backed M&A; scale supports a flagship sponsorship push.,yes,W16
15,Atradius,atradius.com,Netherlands,Credit Risk Data (Trade Credit),3800,1k-5k,core,Owned by Grupo Catalana Occidente (public BME:GCO); group revenue >EUR5B.,Global trade-credit insurer and risk-data provider; well-capitalized parent supports premium sponsorship.,yes,P14b
16,AuditBoard,auditboard.com,US,SOX & internal audit platform,"800-1,000",250-1k,core,"Crossed $200M ARR in early 2024; acquired by Hg Capital for $3B+ (May 2024), the largest VC-backed US tech M&A exit of the year",Precision-and-zero-error narrative resonates with CAOs who prize F1's pit-stop-grade controls; hospitality targets audit-committee chairs and Fortune 500 controllers.,,P14a
17,Baker Tilly,bakertilly.com,US,"Audit, risk & regulatory compliance advisory","10,000+ (US)",5k-10k,core,"Private partnership (member of Baker Tilly International); est. US annual revenue >$2B, growing via 2024 PE capital infusion (Hellman & Friedman/Valeas)","Fast-growing top-10 US audit-and-advisory firm, newly PE-capitalized, seeking premium brand elevation to compete with the Big 4 and other mid-tier networks.",yes,V14
18,Baldwin Insurance Group,baldwin.com,US,Insurance distribution & risk advisory,"4,500+",1k-5k,core,Public company (NASDAQ: BWIN); FY2023 revenue >$1B,Fast-growing public insurance distribution platform with an active brand-building agenda.,yes,W16
19,BDO USA,bdo.com,US,"Audit, risk & regulatory compliance advisory","12,000+",10k+,core,Private partnership; est. US annual revenue >$3B,Global mid-tier audit-and-risk advisory brand seeking premium international visibility outside the Big 4's sponsor lock.,,T14
20,BlackRock (eFront),blackrock.com,United States,Enterprise Risk Analytics,20000,10k+,core,Public NYSE:BLK; FY2023 revenue $17.9B.,"eFront alternative-investment risk software sits inside the world's largest asset manager, with ample brand-marketing budget.",yes,P14b
21,Bloomberg (Risk & Compliance Solutions),bloomberg.com,United States,Enterprise Risk Analytics,25000,10k+,core,Private (Bloomberg L.P.); reported annual revenue >$12B group-wide.,Deep-pocketed data/analytics leader whose terminal-user audience overlaps heavily with F1's paddock sponsor base.,yes,P14b
22,Broadridge Financial Solutions,broadridge.com,US,Governance & regulatory communications/compliance,"14,000+",10k+,core,Public company (NYSE: BR); FY2023 revenue >$6B,"Financial-services trust-infrastructure provider; F1's growing US audience (Las Vegas, Miami GPs) overlaps with Broadridge's client base.",yes,P14a
23,"Brown & Brown, Inc.",brownandbrown.com,US,Retail & wholesale insurance brokerage,"17,000+",10k+,core,Public company (NYSE: BRO); FY2023 revenue ~$4.2B,Top-5 global insurance broker with deep enterprise risk-management client base; public scale easily supports premium F1 sponsorship.,,W16
24,Caseware International,caseware.com,Canada,Audit workflow & data analytics software,700-900,250-1k,core,"Global audit-workflow leader backed by growth private equity (New Mountain Capital); est. revenue >$200M, 500,000+ users across 130 countries",Every Big 4 and mid-market audit firm runs on Caseware — a natural fit for hospitality aimed at the accounting-firm audit-partner network.,,P14a
25,CCC Intelligent Solutions,cccis.com,US,Claims & risk software for auto insurance,"2,500+",1k-5k,core,Public company (Nasdaq: CCCS); FY2023 revenue >$900M,"Leading claims and risk-workflow platform for the auto-insurance/collision-repair ecosystem; public scale and profitability support premium sponsorship, with natural crossover to F1's own vehicle-damage and safety narrative.",yes,V14
26,Charles River Associates,crai.com,US,"Economic, risk & regulatory consulting","1,000+",250-1k,core,Public company (Nasdaq: CRAI); FY2023 revenue >$580M,Expert-witness and regulatory-risk consultancy seeking brand differentiation via premium global sport marketing.,yes,T14
27,Charles Taylor,charlestaylor.com,UK,"Insurance claims, risk & compliance services","3,000+",1k-5k,core,PE-backed (Lovell Minnick Partners); est. annual revenue >$250M across global claims and insurance-management services,Global insurance-services and claims-management group with PE backing supporting premium international sponsorship among insurer clients.,yes,V14
28,Coface,coface.com,France,Credit Risk Data (Trade Credit),4700,1k-5k,core,Public EPA:COFA; FY2023 revenue EUR1.72B.,Global trade-credit risk and data leader; public brand seeking premium international exposure.,yes,P14b
29,Control Risks,controlrisks.com,UK,"Risk, compliance & investigations consultancy","4,500+",1k-5k,core,"Private, employee-owned; est. annual revenue >$500M across 36 offices worldwide",Global risk-and-integrity advisory brand whose crisis-management pedigree parallels F1's own risk-management-under-pressure story.,yes,T14
30,CoreLogic,corelogic.com,US,Property & catastrophe risk data (insurance-adjacent),"5,000+",1k-5k,core,PE-backed by Stone Point Capital and Insight Partners since 2021 take-private (~$6B deal); est. annual revenue >$1.5B,Precision risk-data pitch for insurers and lenders; F1's own risk-quantification culture is a natural brand parallel.,yes,P14a
31,Corporation Service Company,cscglobal.com,US,"Entity management, legal & compliance services/software","5,000+",1k-5k,core,"Private, founder/family-owned; est. annual revenue >$1B serving 90% of the Fortune 500 for entity/compliance management",Global entity-management and compliance-services leader trusted by nearly all Fortune 500 GCs; deep-pocketed for premium sponsorship.,,T14
32,CorVel Corporation,corvel.com,US,Workers' comp claims & risk management tech,"4,000+",1k-5k,core,Public company (NASDAQ: CRVL); FY2023 revenue >$700M,Public claims-management technology leader in workers' comp and risk management with strong balance sheet.,,W16
33,Cotality (CoreLogic),cotality.com,United States,Insurance Risk Software (Property/Catastrophe Risk Data),5000,1k-5k,core,Taken private by Stone Point Capital/Insight Partners (2021) for ~$6B.,Dominant property-risk and catastrophe-data provider for insurers and lenders; PE-backed at multi-billion scale.,,P14b
34,Crawford & Company,crawco.com,United States,Insurance Risk Software (Claims/Risk Management),9000,5k-10k,core,Public NYSE:CRD.A/CRD.B; FY2023 revenue $1.13B.,Global claims and risk-management technology provider; public brand seeking international visibility.,yes,P14b
35,CRIF,crif.com,Italy,Credit Risk Data,10000,5k-10k,core,Private (family-owned); group revenue est. >EUR800M.,Global credit-bureau and risk-data group across 50+ countries; European scale-up brand seeking F1's global reach.,,P14b
36,Crowe LLP,crowe.com,US,"Audit, risk & regulatory compliance advisory","5,000+",1k-5k,core,Private partnership (member of Crowe Global); est. US annual revenue >$1.6B,Mid-tier audit-and-risk firm seeking premium brand differentiation outside the Big 4's existing F1 sponsorships.,yes,T14
37,Datasite,datasite.com,US,Virtual data rooms & M&A due-diligence software,"2,000+",1k-5k,core,"PE-backed (CapVest Partners since 2021); est. annual revenue >$300M serving 15,000+ deals annually",Category-leading M&A due-diligence data-room platform serving investment banks and GCs globally; PE-backed scale supports premium sponsorship.,,V14
38,Davies Group,davies-group.com,UK,Claims management & insurance BPO/tech,"8,000+",5k-10k,core,PE-backed (BC Partners/HGGC); global claims and insurance services group,"Global claims-management and insurtech services group spanning motorsport-relevant markets (UK, US, specialty insurance).",,W16
39,Diligent Corporation,diligent.com,US,Board & governance/GRC platform,"2,300-2,600",1k-5k,core,"Insight Partners-backed since 2016 take-private; est. annual revenue >$700M serving 1M+ users across 25,000+ organizations",Board-level governance rigor mirrors F1's FIA regulatory scrutiny; hospitality opens access to board directors and GCs who influence enterprise sponsorship budgets.,yes,P14a
40,Donnelley Financial Solutions (DFIN),dfinsolutions.com,US,"Regulatory filing, disclosure & compliance software","2,300+",1k-5k,core,Public company (NYSE: DFIN); FY2023 revenue >$460M,"SEC-filing and regulatory-disclosure technology leader serving thousands of public companies; public scale supports premium sponsorship targeting CFOs, GCs and IR leaders.",,V14
41,Dow Jones Risk & Compliance (News Corp),dowjones.com,United States,Sanctions & Trade Compliance,20000,10k+,core,Public NASDAQ:NWSA; News Corp FY2023 revenue $9.85B.,Sanctions/PEP/adverse-media screening used by global banks; News Corp brand extension into premium global sport.,,P14b
42,Duck Creek Technologies,duckcreek.com,US,Insurance underwriting & compliance software,"1,800+",1k-5k,core,Taken private by Vista Equity Partners in 2023 for $2.6B,Underwriting-precision brand story for P&C insurers complements F1's risk-managed motorsport positioning.,yes,P14a
43,Enablon (Wolters Kluwer),enablon.com,France,"ESG, EHS & operational GRC software","20,000+ (Wolters Kluwer parent)",10k+,core,Wholly owned by Wolters Kluwer; parent FY2023 group revenue >€5.6B,EHS/ESG operational-risk narrative appeals to industrial sustainability leaders inside F1's energy and manufacturing sponsor categories.,,P14a
44,EPIC Insurance Brokers & Consultants,epicbrokers.com,US,Insurance brokerage & consulting,"4,000+",1k-5k,core,PE-backed (Oak Hill Capital/Carlyle); est. annual revenue >$1B,Fast-scaling national broker with enterprise risk-consulting arm; strong candidate for a growth-stage sponsorship.,yes,W16
45,Epiq,epiqglobal.com,US,E-discovery & legal/compliance managed services,"5,000+",1k-5k,core,Owned by OMERS Private Equity; est. annual revenue >$500M,Global legal-and-compliance operations leader serving Fortune 500 GCs; institutional PE ownership supports premium sponsorship.,,T14
