#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,"Amada Co., Ltd.",amada.co.jp,Japan,"Sheet metal fabrication (press brakes, laser cutting, punching)","~9,700 (group)",5k-10k,core,"Publicly listed (TSE: 6113); consolidated revenue has historically run $2.7-3B with ~9,700 employees — clears the core threshold comfortably.",Sheet metal fabrication and laser cutting systems used in chassis/bodywork fabrication for race vehicles and support equipment.,yes,X03a
2,Aubert & Duval (Eramet Group),aubertduval.com,France,Superalloy & titanium powders/products for additive manufacturing,4000,1k-5k,core,High ($1M+),"Subsidiary of Euronext-listed Eramet Group with revenue above €4B and 13,000+ staff, meeting core threshold; no F1 sponsorship identified.",,X03b
3,Autodesk Inc.,autodesk.com,United States,"AM design & build-preparation software (Netfabb, Fusion)",14000,10k+,core,High ($1M+),"Nasdaq-listed (ADSK) with revenue above $5.5B and 14,000+ staff, meeting core threshold; no F1 sponsorship identified.",yes,X03b
4,"Brother Industries, Ltd. (Machinery Division)",brother.com,Japan,Compact high-speed CNC tapping/machining centers,"35,000+ (parent Brother Industries)",10k+,core,Publicly listed (TSE: 6448); group revenue exceeds $5B — clears the core threshold by a wide margin at parent level.,Compact high-speed CNC machining/tapping centers used for precision small-part production lines.,yes,X03a
5,Burloak Technologies,burloaktech.com,Canada,"Metal AM production services (aerospace, automotive)",200,100-250,core,High ($1M+),"Subsidiary of Samuel, Son & Co., a privately held Canadian industrial conglomerate with 6,000+ employees and multi-billion-dollar revenue, meeting core threshold via parent; no F1 sponsorship found for either entity.",,X03b
6,Bystronic Group,bystronic.com,Switzerland,Laser cutting and bending machines,"~3,000",1k-5k,core,Publicly listed (SIX: BYS); group revenue has historically run around CHF 900M-1B — clears the $200M core threshold.,Laser cutting and bending systems used in precision sheet-metal fabrication for automotive/motorsport parts.,yes,X03a
7,Carpenter Additive (Carpenter Technology Corp.),carpentertechnology.com,United States,Metal powders & additive manufacturing production services,5000,1k-5k,core,High ($1M+),"Division of NYSE-listed Carpenter Technology with revenue above $2.6B, meeting core threshold; no F1 sponsorship identified.",,X03b
8,"Citizen Machinery Co., Ltd.",citizen-machinery.co.jp,Japan,Swiss-type CNC lathes,"subsidiary; Citizen Watch Group ~8,000+",5k-10k,core,"Subsidiary of Citizen Watch Co. (publicly listed, TSE: 7762); parent group revenue exceeds $2B with 8,000+ employees group-wide — clears the core threshold at parent level.",Citizen Swiss-type lathes are widely used for precision small-part turning in motorsport fuel and hydraulic components.,,X03a
9,Colibrium Additive,colibriumadditive.com,United States,Industrial metal additive manufacturing systems (formerly GE Additive),1500,1k-5k,core,High ($1M+),"Rebranded GE Additive under GE Vernova, a Fortune 500 parent with 70,000+ staff and tens of billions in revenue; no F1 sponsorship identified for GE Vernova or Colibrium.",,X03b
10,Creaform Inc.,creaform3d.com,Canada,Portable 3D scanning & metrology for AM quality control,700,250-1k,core,High ($1M+),"Division of NYSE-listed AMETEK Inc. with revenue above $6B and 21,000+ staff, meeting core threshold; no F1 sponsorship identified.",yes,X03b
11,Creality,creality.com,China,Consumer FDM & resin 3D printers,3000,1k-5k,core,High ($1M+),"Leading Chinese consumer-3D-printer maker with reported annual revenue above $300M and 3,000+ staff, meeting core threshold; no F1 sponsorship found.",,X03b
12,DN Solutions (formerly Doosan Machine Tools),dn-solutions.com,South Korea,CNC lathes and machining centers,"~3,000+",1k-5k,core,Private-equity owned (MBK Partners/DN Group); trade press reports annual revenue around $1B — clears the $200M core threshold.,Major global CNC turning/milling supplier to automotive and motorsport machine shops; precision machining maps directly onto F1 component fabrication.,yes,X03a
13,EOS GmbH,eos.info,Germany,Industrial metal & polymer powder-bed fusion 3D printing systems,1700,1k-5k,core,High ($1M+),"Private German AM pioneer with group revenue estimated above $500M and 1,700+ staff worldwide, satisfying the core revenue threshold; no F1 team lists EOS as a sponsor or technical partner.",,X03b
14,FANUC Corporation,fanuc.com,Japan,"CNC controls, Robodrill/Robocut machining centers and robotics","~9,000+",5k-10k,core,Publicly listed (TSE: 6954); consolidated revenue has historically run around $5-6B — clears the core threshold by a wide margin.,"World's leading CNC control and Robodrill/Robocut machine builder; not an existing F1 sponsor, offering a clean precision-manufacturing narrative fit.",yes,X03a
15,FARO Technologies Inc.,faro.com,United States,"3D measurement, imaging & metrology for AM/QA",1500,1k-5k,core,High ($1M+),"Nasdaq-listed (FARO) with revenue near $370M and 1,500+ staff, meeting core threshold; no F1 sponsorship identified.",yes,X03b
16,GF Machining Solutions (Georg Fischer AG),gfms.com,Switzerland,"EDM (AgieCharmilles), milling, laser texturing and workholding automation (incl. System 3R)","~3,000 (division); Georg Fischer Group much larger",1k-5k,core,"Georg Fischer AG is publicly listed (SIX: GF); group revenue exceeds CHF 4B, with the Machining Solutions division alone estimated near CHF 900M-1B — clears the $200M core threshold.",AgieCharmilles EDM/milling systems and System 3R clamping/automation are widely used in mold and tool rooms supplying motorsport and aerospace parts.,yes,X03a
17,GROB-WERKE GmbH & Co. KG,grobgroup.com,Germany,5-axis universal machining centers and EV production systems,"~7,000+ (group)",5k-10k,core,"Privately held (Grob family); company-reported global headcount exceeds 7,000, clearing the 6,000-staff core threshold.",Grob 5-axis universal machining centers are a benchmark for the complex aerospace/motorsport component geometries F1 parts require.,yes,X03a
18,"Hurco Companies, Inc.",hurco.com,United States,CNC machining centers and control systems,~700,250-1k,core,Publicly listed (NASDAQ: HURC); FY2023 revenue was approximately $228M — clears the $200M core threshold.,US-based CNC machining center builder serving precision motorsport and aerospace machine shops.,,X03a
