#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,source_batch
1,A-Gas International,agas.com,United Kingdom,Refrigerant reclamation & lifecycle management,"~1,200",1k-5k,core,"Private equity-backed (Ontario Teachers'); revenue est. ~USD700M-1B, world's largest refrigerant reclaimer",Global leader in refrigerant-gas reclamation and lifecycle management; UK home-of-F1 tie-in unactivated.,W03
2,Air Liquide,airliquide.com,France,"Global major - industrial, medical, specialty gases; hydrogen; large-scale ASU",68900,10k+,core,"revenue ~$29.3B (EUR27.1B FY2024, verified)","No evidence of F1 sponsorship; Airgas (US retail brand) is a subsidiary, not listed separately.",S3a_v2
3,"Air Products and Chemicals, Inc.",airproducts.com,USA,"Global major - industrial gases, hydrogen for mobility/energy, gasification",23000,10k+,core,revenue $12.1B FY2024 10-K (verified),No evidence of F1 sponsorship found.,S3a_v2
4,Air Water Inc.,awi.co.jp,Japan,"Diversified industrial gas conglomerate (gases, chemicals, agri, medical)",26000,10k+,core,"revenue ~$5.9B (JPY ~900B, verified group figure)",No evidence of F1 sponsorship found.,S3a_v2
5,Ansaldo Energia S.p.A.,ansaldoenergia.com,Italy,Gas turbines & power generation equipment,"~4,500",1k-5k,core,Majority state/private owned; FY2025 revenue ~EUR1.2B (verified),Major Italian gas-turbine manufacturer serving power and industrial-gas cogeneration plants; Italian GP home-market fit.,W03
6,Ariel Corporation,arielcorp.com,United States,Air-Separation Plants & Gas Compression,"~1,500+",1k-5k,core,"Private, family-owned; estimated revenue >USD 700M, world's largest reciprocating gas-compressor maker",Category-leading gas-compressor brand for industrial-gas and natural-gas markets; US GP triple-market presence,S3b
7,Arkema SA,arkema.com,France,Specialty chemicals incl. industrial & fluorogases,"~21,000",10k+,core,"Euronext Paris-listed; revenue ~EUR9.5B, profitable",Large French chemicals major with fluorogas production; French GP hospitality fit.,U03
8,Atlas Copco,atlascopco.com,Sweden,Air-Separation Plants & Gas Compression,"~50,000+",10k+,core,"Nasdaq Stockholm-listed (ATCO); FY2024 revenue >SEK 170B (~USD 16B), highly profitable; Gas and Process division supplies industrial-gas compressors and ASU turbines","Global compressor and gas/process-equipment leader; Swedish engineering brand with deep pockets, no F1 activation",S3b
9,Baker Hughes Company,bakerhughes.com,United States,LNG Small/Mid-Scale Infrastructure,"~55,000",10k+,core,"Nasdaq: BKR; FY2024 revenue >USD 27B, profitable global energy-technology leader with LNG liquefaction and CCUS equipment lines",Major LNG turbomachinery and carbon-capture technology supplier; huge global energy client base for hospitality,S3b
10,Beijing Tianhai Industry Co,tianhai.cn,China,High-pressure & hydrogen storage cylinders,"~2,000",1k-5k,core,SZSE-listed; revenue est. ~$300-500M,Leading Chinese hydrogen/CNG cylinder manufacturer; Shanghai GP market tie-in.,U03
11,Burckhardt Compression Holding,burckhardtcompression.com,Switzerland,Air-Separation Plants & Gas Compression,"~2,700",1k-5k,core,"SIX-listed (BCHN); FY2023/24 revenue >CHF 900M (~USD 1B), profitable global leader in gas and hydrogen compressors",The reference brand in hydrogen-refueling and industrial-gas compression; Swiss precision-engineering story fits F1 halo,S3b
12,Busch Vacuum Solutions,buschvacuum.com,Germany,Vacuum pumps & compressors for industrial-gas processes,"~3,600",1k-5k,core,"Private, family-owned; group revenue est. >EUR1B (acquired Pfeiffer Vacuum 2020)",World-leading vacuum-technology group used across gas separation and semiconductor-gas processes; no F1 activation found.,W03
13,BW LNG (BW Group),bw-group.com,Singapore,LNG carrier shipping & FSRU,"~1,500 (est., BW Group)",1k-5k,core,Private family-owned; Group revenue est. >USD5B,Major Singapore-based LNG shipping and floating-storage group; Asia GP calendar market fit.,W03
14,Cameron (SLB),slb.com,United States,Air-Separation Plants & Gas Compression,"~100,000+ (SLB Group)",10k+,core,"NYSE: SLB; Group FY2024 revenue >USD 36B, highly profitable; Cameron is SLB's valve/compression-equipment brand",Global gas-valve and compression-equipment brand inside the world's largest oilfield-services company,S3b
15,Carbon Engineering (1PointFive / Occidental),carbonengineering.com,Canada,CO2 Capture Equipment,~200+,100-250,core,Wholly owned by Occidental Petroleum (NYSE: OXY); parent FY2024 revenue >USD 26B,Direct-air-capture technology pioneer now backed by a major listed energy company's balance sheet,S3b
16,Cavagna Group,cavagnagroup.com,Italy,LPG/gas valves & regulators manufacturer,"~2,000",1k-5k,core,Private; revenue est. ~EUR400M+,Global leader in gas-control valves and regulators across LPG and industrial-gas markets.,U03
17,CECO Environmental,cecoenviro.com,United States,Air-Separation Plants & Gas Compression,"~1,600",1k-5k,core,"Nasdaq: CECO; FY2024 revenue >USD 550M, profitable; PMFG subsidiary builds ASU/gas-processing equipment",Industrial-gas processing and emissions-control equipment brand with a growing acquisitive platform,S3b
18,Central Glass Co,cgco.co.jp,Japan,Fluorine specialty gases for semiconductors,"~4,000",1k-5k,core,TSE-listed; revenue est. ~$1.5B,Key fluorine-gas supplier to global chipmakers; Japanese listed-company balance sheet.,U03
19,Chart Industries,chartindustries.com,United States,Cryogenic Equipment & Gas Cylinders/Tanks,"32,000+ (post-Howden merger, 2024)",10k+,core,"NYSE: GTLS; FY2024 revenue >USD 4.2B post-Howden combination, profitable global cryogenic leader","World's largest independent cryogenic/gas-processing equipment maker (tanks, ASU cold boxes, LNG, hydrogen liquefaction); no current F1 sponsorship",S3b
20,Cheniere Energy Inc,cheniere.com,United States,LNG liquefaction & export infrastructure,"~2,000",1k-5k,core,"NYSE: LNG; FY2024 revenue >USD20B, profitable, largest US LNG exporter",Largest US LNG exporter with massive liquefaction infrastructure; no F1 activation found.,W03
21,China Bluestar (Sinochem),bluestar.com.cn,China,Fluorochemicals & specialty/refrigerant gases,"~30,000+ (Group, est.)",10k+,core,"State-owned, part of Sinochem Holdings; Group revenue >USD10B est. - subsidiary financials not separately disclosed, FLAGGED",One of China's largest fluorochemical and silicone producers; Shanghai GP tie-in.,W03
22,China Steel Chemical Corp,chinasteel.com.tw,Taiwan,Byproduct-gas recovery & specialty chemicals,"~1,000+",250-1k,core,Subsidiary of listed China Steel Corp (parent not separately captured); revenue est. ~$500M,Specialty-gas/chemicals arm of Taiwan's dominant steelmaker; unactivated APAC industrial brand.,U03
23,CIMC Enric Holdings,cimc-enric.com,China,Cryogenic Equipment & Gas Cylinders/Tanks,"~9,000",5k-10k,core,"HKEX-listed (3899.HK); FY revenue >RMB 15B (~USD 2B), profitable; leading China cryogenic/composite-cylinder and hydrogen-storage equipment group",China's largest cryogenic-equipment and gas-cylinder manufacturer; Shanghai GP direct market tie-in,S3b
24,CIRCOR International,circor.com,United States,"Gas-Handling, Regulators & Fluid Control","~3,000",1k-5k,core,"Taken private by KKR (2023); pre-take-private revenue >USD 780M, flow-control valve/instrumentation maker",Industrial and aerospace flow-control valve brand now backed by KKR's balance sheet,S3b
25,Climeworks AG,climeworks.com,Switzerland,CO2 Capture Equipment,~400+,250-1k,core,"Private, Series F; raised >USD 1B cumulative (incl. USD 650M Series F, May 2024); valuation ~USD 2B",World's largest direct-air-capture (DAC) company; clears the growth-projected gate cleanly,S3b
26,Curtiss-Wright Corporation,curtisswright.com,United States,"Gas-Handling, Regulators & Fluid Control","~9,000",5k-10k,core,"NYSE: CW; FY2024 revenue >USD 2.9B, profitable; Flow Control segment serves industrial-gas and energy markets",Precision flow-control brand with aerospace-grade engineering pedigree; US GP triple-market presence,S3b
27,"Deokyang Co., Ltd.",deokyang.co.kr,South Korea,Korean industrial/specialty gas producer (KOSDAQ-listed),1000,250-1k,core,"revenue est. ~$300-400M (listed, estimated)",No evidence of F1 sponsorship found. Added by agent (not in prior verified list) - Korean regional champion.,S3a_v2
28,Dongfang Electric Corporation,dongfang.com,China,Gas turbines & power generation equipment,"~30,000+",10k+,core,SSE/HKEX-listed; FY revenue >USD8B,Major Chinese listed power-equipment group manufacturing gas turbines; Shanghai GP tie-in.,W03
29,Dover Corporation,dovercorp.com,United States,Air-Separation Plants & Gas Compression,"~24,000",10k+,core,"NYSE: DOV; FY2024 revenue >USD 7.7B, profitable diversified industrial group incl. gas/fluid-transfer businesses","Owns multiple gas-compression and fluid-transfer brands (e.g., Compressor Products International); deep-pocketed conglomerate",S3b
30,Drägerwerk AG (Dräger),draeger.com,Germany,Gas Detection & Safety Equipment,"~16,000",10k+,core,"Frankfurt-listed (DRW3); FY2024 revenue >EUR 3.5B, profitable global safety/medical technology leader",Leading industrial gas-detection and respiratory-protection brand; German engineering heritage story,S3b
31,Electric Hydrogen Co.,eh2.com,United States,Hydrogen Electrolyzers & Infrastructure,~300+,250-1k,core,"Private, Series C; raised >USD 600M cumulative (incl. USD 380M Series C); valuation ~USD 1B (first green-hydrogen unicorn, Oct 2023)",Fastest-scaling US green-hydrogen electrolyzer maker; clears the growth-projected gate,S3b
32,ELGi Equipments Limited,elgi.com,India,Air compressors,"~6,500",5k-10k,core,NSE/BSE-listed; revenue est. ~USD500M,India's leading listed air-compressor manufacturer serving industrial-gas and manufacturing plants; India GP growth-market fit.,W03
33,Elliott Group (Ebara Corporation),ebara.com,Japan,Air-Separation Plants & Gas Compression,"~19,000 (Ebara Group)",10k+,core,TSE-listed parent (6361.T); Group revenue >JPY 800B (~USD 5.5B); Elliott Group is Ebara's turbo-compressor brand serving industrial-gas/LNG customers,"High-speed turbo-compressor technology central to ASU and LNG plants; large listed parent, no F1 presence",S3b
34,Enagás S.A.,enagas.es,Spain,Gas transmission & hydrogen infrastructure,"~1,200",1k-5k,core,Madrid-listed; revenue ~EUR1B,Spain's gas-grid operator investing heavily in hydrogen infrastructure; Spanish GP home-market fit.,U03
35,Endress+Hauser Group,endress.com,Switzerland,"Gas-Handling, Regulators & Fluid Control","~17,000",10k+,core,"Private family-owned; FY2024 revenue >CHF 3.9B (~USD 4.4B), highly profitable global process-instrumentation leader",Gas/flow measurement instrumentation used across industrial-gas plants; Swiss precision-engineering brand story,S3b
