#,company,domain,hq_country,sector,subsector,employees_est,affordability,why_f1
1,Anaplan,anaplan.com,United States,B2B Spend & Corporate Cards,Financial planning & analysis (office of the CFO),2400,Revenue ~$700M; Thoma Bravo-owned ($10.7B take-private),"Sells scenario-planning to the same CFO buyer; deep sports-analytics sponsorship heritage (sailing, NFL) suggests appetite for a global performance-data property."
2,Atradius,atradius.com,Netherlands,B2B Spend & Corporate Cards,Trade credit insurance & B2B trade credit,3700,"Revenue ~€2.5B, consistently profitable (Grupo Catalana Occidente)","Global trade-credit leader insuring B2B receivables in 50+ countries; F1 reaches the exporters and CFOs who buy credit cover, in a category with no F1 presence."
3,Avalara,avalara.com,United States,B2B Spend & Corporate Cards,Tax compliance automation (invoice-adjacent),4500,Revenue >$1B; Vista Equity-owned ($8.4B take-private),"History of quirky big-stage brand marketing (orange brand, stadium deals); global e-invoicing mandate wave gives it reason to build awareness in Europe/LatAm/India."
4,Basware,basware.com,Finland,B2B Spend & Corporate Cards,E-invoicing & AP automation,1680,"Revenue ~€180M, profitable; Accel-KKR-owned; $10T+ spend handled","Invoice-lifecycle AI leader with 6,500+ enterprise customers; a global sponsorship would cement category leadership vs SAP/Coupa in its European heartland. (Affordability at lower bound — flag for qualification.)"
5,BlackLine,blackline.com,United States,B2B Spend & Corporate Cards,Financial close & invoice-to-cash automation,1900,"Public (NASDAQ: BL); revenue ~$650M+, profitable",Global office-of-the-CFO brand seeking differentiation vs SAP/Oracle; precision/control messaging fits F1; strong EMEA/APAC customer base.
6,Bottomline Technologies,bottomline.com,United States,B2B Spend & Corporate Cards,B2B payments & AP automation,2700,Revenue ~$500M+; Thoma Bravo-owned ($2.6B take-private),Established but low-profile B2B payments network (Paymode-X) needing brand refresh; strong US/UK presence matches F1's growth markets.
7,Convera,convera.com,United States,B2B Spend & Corporate Cards,B2B cross-border payments & FX,2000,Revenue ~$600M; $170B+ annual payment volume,Ex-Western Union Business Solutions rebuilding a standalone brand from scratch — exactly the profile that buys a global platform like F1.
8,dLocal,dlocal.com,Uruguay,B2B Spend & Corporate Cards,Cross-border payments for emerging markets,1000,"Public (NASDAQ: DLO); revenue ~$750M, profitable","Emerging-markets payments champion (LatAm/Africa/Asia) as F1 grows exactly there; profitable with net cash, and rival Nubank just joined F1 — competitive trigger."
9,EBANX,ebanx.com,Brazil,B2B Spend & Corporate Cards,Cross-border payments infrastructure (LatAm),1100,Revenue ~$360M; long-standing profitability; pre-IPO,Brazilian fintech connecting global merchants to LatAm; São Paulo GP home race and F1's LatAm fanbase align with its brand-awareness needs among global enterprises.
10,Ebury,ebury.com,United Kingdom,B2B Spend & Corporate Cards,"SMB cross-border payments, FX & trade finance",2030,Revenue £220M FY24; Santander majority-owned; IPO candidate,Pre-IPO visibility push across 25+ markets; trade/FX-for-business message suits F1's international commerce audience (Ebury itself holds no F1 deal; parent Santander's Ferrari deal has ended).
11,Flywire,flywire.com,United States,B2B Spend & Corporate Cards,Cross-border B2B & institutional payments,1300,Public (NASDAQ: FLYW); revenue ~$490M+,Cross-border payments across 140+ currencies is an inherently global story; travel vertical growth aligns with F1 host-market audiences.
12,Fortnox,fortnox.se,Sweden,B2B Spend & Corporate Cards,"SMB accounting, invoicing & payments",600,Revenue ~SEK 2.5B with ~50% EBITDA margin; EQT/First Kraft take-private at $5.5B (2025),Extraordinarily profitable Nordic platform whose new owners want growth beyond Sweden; a statement sponsorship would announce international ambitions.
13,G-P (Globalization Partners),globalization-partners.com,United States,B2B Spend & Corporate Cards,Employer of record & global payroll,1500,"Revenue ~$384M (2024), record 2025; ~$4B+ valuation",EOR category leader in a brand war with Deel/Remote; 'hire anywhere' message is a natural fit for a 24-country championship.
14,Gusto,gusto.com,United States,B2B Spend & Corporate Cards,SMB payroll & benefits with wallet/money products,3700,"Revenue ~$1B (2025), cash-flow positive; $9.3B valuation, pre-IPO",Pre-IPO awareness build; F1's fast-growing US audience of business owners matches its SMB payroll buyer.
15,HighRadius,highradius.com,United States,B2B Spend & Corporate Cards,Autonomous AR / order-to-cash & treasury,4450,"~$300M ARR, profitable; $3.1B valuation, pre-IPO",Pre-IPO brand-building window; 'autonomous finance' AI positioning pairs naturally with F1 data/speed storytelling; already active in sports-adjacent marketing.
16,IRIS Software Group,irisglobal.com,United Kingdom,B2B Spend & Corporate Cards,Accountancy & payroll software,2600,"Revenue £310M+ (90% subscription), highly profitable; Hg/Leonard Green-backed at £3.2B",Cash-generative UK champion expanding hard into US payroll/accounting; British-based F1 platform is a natural transatlantic brand vehicle.
17,Ivalua,ivalua.com,France,B2B Spend & Corporate Cards,Source-to-pay procurement software,1070,Profitable with zero debt; unicorn; +24% subscription growth 2025 with strong cash flow,Enterprise procurement unicorn expanding in APAC/US; profitable self-funded growth and a performance-engineering brand story that fits F1.
