#,company,domain,hq_country,sector,sport,current_deal,deal_scale_est,employees_est,affordability,why_f1,already_in_lists,source
1,New Balance,newbalance.com,United States,Athletic apparel,America's Cup,Official partner of NYYC American Magic in the America's Cup,"n/a (private, $6B+ revenue)","8,000+",Major global athletic apparel maker,"Backs an America's Cup sailing syndicate with no F1 apparel deal, unlike Puma and Tommy Hilfiger on the grid.",yes,PS3
2,Prada,prada.com,Italy,Luxury fashion,America's Cup,Co-title sponsor of the Luna Rossa America's Cup sailing team since 1997,n/a (Prada Group €5B+ revenue),"14,000+",Global luxury fashion house listed in Hong Kong,"Decades of marquee sailing sponsorship spend with no equivalent F1 fashion partnership, unlike LVMH's F1 deal.",yes,PS3
3,AG2R La Mondiale,ag2r-lamondiale.fr,France,Insurance/pension,Cycling (UCI WorldTour),Co-title sponsor of the Decathlon AG2R La Mondiale Team since 1992,n/a,"12,000+",Major French insurance/pension group,Three-decade elite cycling sponsor with no F1 presence.,,PS3
4,Alpecin,alpecin.com,Germany,Haircare/cosmetics,Cycling (UCI WorldTour),Co-title sponsor of the Alpecin-Deceuninck WorldTour team,n/a (private),n/a,"Funds a full WorldTour team budget, typically $15-20M+/year",Consumer brand already funding elite cycling at motorsport-adjacent budget levels with no F1 exposure.,,PS3
5,Arkea (Credit Mutuel Arkea),arkea.com,France,Banking,Cycling (UCI WorldTour),Co-title sponsor of the Arkea-B&B Hotels WorldTour team,"n/a (mutual banking group, EUR 4B+ revenue)","11,000+",Major French banking group,Full WorldTour team title sponsorship with no F1 banking presence.,,PS3
6,B&B Hotels,hotel-bb.com,France,Budget hospitality,Cycling (UCI WorldTour),Co-title sponsor of the Arkea-B&B Hotels WorldTour team,n/a (private),n/a,Fast-growing European budget hotel chain with hundreds of properties,Hospitality brand funding elite cycling-team sponsorship with no F1 hotel deal.,,PS3
7,Cofidis,cofidis.com,France,Consumer credit/lending,Cycling (UCI WorldTour),Title sponsor of its own eponymous WorldTour team since 1997,"n/a (private, Credit Mutuel-backed)","2,500+",Major French consumer lender and nearly three-decade motorsport-adjacent sponsor,Nearly 30 years of continuous elite cycling-team funding with no F1 presence.,,PS3
8,Decathlon,decathlon.com,France,Sporting goods retail,Cycling (UCI WorldTour),Co-title sponsor of the Decathlon AG2R La Mondiale Team,"n/a (private, EUR 16B+ revenue)","100,000+",World's largest sporting-goods retailer,Massive retail brand funding elite cycling with no F1 presence.,yes,PS3
9,Deceuninck,deceuninck.com,Belgium,Building materials (PVC/window profiles),Cycling (UCI WorldTour),Co-title sponsor of the Alpecin-Deceuninck WorldTour team,"n/a (public, EUR 800M+ revenue)","3,000+",Global building-materials manufacturer,B2B industrial brand funding elite team-sport sponsorship with zero F1 presence.,,PS3
10,EasyPost,easypost.com,United States,Shipping/logistics software (API),Cycling (UCI WorldTour),Co-title sponsor of the EF Education-EasyPost WorldTour team,"n/a (private, VC-backed)",~300,Fast-growing shipping-API company funding a top-tier cycling team,B2B SaaS logistics brand funding elite team sport with no F1 presence — a strong parallel to F1's own tech-sponsor category.,,PS3
11,EF Education First,ef.com,Switzerland / United States,Education/language travel,Cycling (UCI WorldTour),Title sponsor of the EF Education-EasyPost WorldTour team,"n/a (private, $2B+ revenue)","52,000+",World's largest private education company,Global consumer education brand funding elite cycling with no F1 presence.,yes,PS3
12,FDJ (Francaise des Jeux),groupefdj.com,France,Lottery/gaming,Cycling (UCI WorldTour),Co-title sponsor of the Groupama-FDJ WorldTour team since 1997,"n/a (public, EUR 2.6B+ revenue)","6,000+",France's national lottery operator,Nearly 30-year continuous elite cycling-title sponsor with no F1 gaming/lottery deal.,yes,PS3
13,Groupama,groupama.com,France,Insurance,Cycling (UCI WorldTour),Co-title sponsor of the Groupama-FDJ WorldTour team since 2018,"n/a (mutual insurer, EUR 16B+ revenue)","30,000+",Major French insurance mutual,Long-running elite cycling-team sponsorship with no F1 presence.,yes,PS3
14,Intermarche,intermarche.com,France,Supermarket retail,Cycling (UCI WorldTour),Co-title sponsor of the Intermarche-Wanty WorldTour team,"n/a (private cooperative, EUR 50B+ revenue)","130,000+",Major French supermarket cooperative,Grocery-retail giant funding elite cycling with no F1 presence.,,PS3
15,Lidl,lidl.com,Germany,Discount supermarket retail,Cycling (UCI WorldTour),Co-title sponsor of the Lidl-Trek WorldTour team since 2023,"n/a (Schwarz Group, EUR 150B+ revenue)","340,000+",One of the world's largest grocery retailers,Massive European retailer funding an elite cycling team with no F1 presence.,,PS3
16,Movistar (Telefonica),movistar.es,Spain,Telecommunications,Cycling (UCI WorldTour),"Title sponsor of Movistar Team, one of cycling's longest-running team sponsorships (since 2001 as Movistar)",n/a (Telefonica EUR 40B+ group revenue),n/a,Major Spanish telecom brand under Telefonica,Multi-decade elite cycling-title sponsor with no F1 telecom deal.,,PS3
17,Quick-Step (Mohawk Industries),quick-step.com,Belgium,Flooring products,Cycling (UCI WorldTour),Co-title sponsor of the Soudal Quick-Step WorldTour team since 2003,n/a (Mohawk Industries subsidiary),n/a,Global flooring brand under Mohawk Industries,Two-decade elite cycling-title sponsorship with no F1 presence.,,PS3
18,Soudal,soudal.com,Belgium,Sealants/adhesives manufacturing,Cycling (UCI WorldTour),Co-title sponsor of the Soudal Quick-Step WorldTour team,"n/a (private, EUR 1B+ revenue)","5,000+",Global industrial sealants manufacturer,Pure B2B industrial brand funding an elite cycling team at multi-million-euro scale with no F1 presence.,,PS3
19,Uno-X,uno-x.com,Norway,Fuel retail/convenience,Cycling (UCI WorldTour),Title sponsor of the Uno-X Mobility WorldTour team,n/a (private),n/a,Norwegian fuel and convenience-retail chain,Regional fuel brand funding a top-tier international cycling team with no F1 presence.,,PS3
20,Visma,visma.com,Norway,Business software (SaaS/cloud),Cycling (UCI WorldTour),"Title co-sponsor of the Visma-Lease a Bike WorldTour team (formerly Jumbo-Visma), backing multiple Tour de France wins","n/a (private, EUR 2.5B+ revenue)","15,000+",Major Nordic B2B cloud-software company,"SaaS company funding cycling's most dominant team with no F1 presence, unlike Workday and Salesforce among F1's tech sponsors.",yes,PS3
21,Wanty,wanty.be,Belgium,Freight/logistics,Cycling (UCI WorldTour),Co-title sponsor of the Intermarche-Wanty WorldTour team,n/a (private),n/a,Belgian logistics company funding a WorldTour team budget,B2B logistics brand at elite-cycling sponsorship scale with no F1 presence.,,PS3
22,XRG (ADNOC),xrg.com,United Arab Emirates,Energy/international investment,Cycling (UCI WorldTour),New title co-sponsor of UAE Team Emirates-XRG from 2025,n/a (ADNOC-backed),n/a,International energy-investment arm of Abu Dhabi's ADNOC,Brand-new marquee cycling sponsorship signals fresh sports-sponsorship budget with no F1 presence.,,PS3
23,Repsol,repsol.com,Spain,Oil & gas,Dakar Rally,"Key, strengthened sponsor of Toyota Gazoo Racing at the 2025 Dakar Rally","n/a (public, €55B+ revenue)","24,000+",Major Spanish integrated energy company,"Backs a factory Dakar effort with no current F1 deal, unlike Shell, Aramco and Petronas on the grid.",yes,PS3
