#,company,domain,hq_country,sector,subsector,employees_est,affordability,why_f1
1,Fractal Analytics,fractal.ai,India,AI & Data,AI & analytics services,"~4,500",Revenue ~$300M; IPO filed 2025 (~$580M raise); TPG-backed,Indian AI champion going public; F1's fast-growing Indian fanbase and Fortune 500 client hospitality
2,Tempus AI,tempus.com,United States,AI & Data,Health AI / data,"~2,600",Nasdaq-listed; revenue ~$700M (2024) growing ~30%,Consumer-facing precision-health brand ambitions; human-performance/health angle activates with drivers
3,Wayve,wayve.ai,United Kingdom,AI & Data,Autonomous driving AI,~600-800,"Raised $1.05B Series C (May 2024, SoftBank/Nvidia/Microsoft); Nissan partnership and further strategic backing 2025",UK embodied-AI champion based in F1's motorsport valley; end-to-end driving AI narrative fits racing
4,Banregio (Regional S.A.B.),banregio.com,Mexico,"Banking, Insurance & FinServ",Regional banking,"~4,300","Total revenue ~MXN 18B (~$1B) (2024), consistently profitable",Mexico City GP is a national event; northern-Mexico bank courting SME owners and affluent professionals.
5,Dah Sing Financial Group,dahsing.com,Hong Kong,"Banking, Insurance & FinServ",Banking & insurance,"~3,000","Operating income ~HK$6B (~$770M) (2024), profitable listed group",Family-controlled HK bank differentiating against mega-rivals; affluent Greater Bay Area audience at APAC races.
6,Grupo Supervielle,supervielle.com.ar,Argentina,"Banking, Insurance & FinServ",Banking & wealth,"~3,800",Revenue ~$700M (2024); NYSE-listed and profitable,Argentine F1 fever around Franco Colapinto — first-mover local bank sponsor would own that audience.
7,Inter&Co,inter.co,Brazil,"Banking, Insurance & FinServ",Digital challenger bank,"~4,200","Revenue ~$1.6B (2024), profitable; holds Inter&Co Stadium naming rights (Orlando City SC) — proven sports spend",Brazilian digital bank scaling in the US; Sao Paulo and Miami GPs hit both customer bases at once.
8,1st Phorm,1stphorm.com,United States,"Beverages, Food & CPG",Fitness nutrition / energy,~500-700,"Private; est. revenue $300M+ (2024), profitable; active motorsport/athlete sponsorship spend >$1M/yr",Already sponsors motorsport (NASCAR entries) and energy RTDs; F1 elevates to global fitness audience
9,AG1 (Athletic Greens),drinkag1.com,United States,"Beverages, Food & CPG",Supplements / greens powder,~500,Est. revenue ~$600M (2023); $1.2B valuation (2022); Hamilton is an investor but no F1 sponsorship,"Already spends on premium endurance sport (Ironman, SailGP); F1 driver-health narrative and podcast-audience overlap"
10,"Aujan Group Holding (Rani, Barbican)",aujan.com,United Arab Emirates,"Beverages, Food & CPG",Soft drinks / malt beverages,"~2,500-3,500","Private; est. revenue >$1B with Coca-Cola JV (49% stake sold for $980M, 2012), profitable","Gulf F1 races (Bahrain, Jeddah, Abu Dhabi, Qatar) are home turf; Rani/Barbican youth brands for regional rights"
