#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_earlier_list,source_batch
1,AAK AB,aak.com,Sweden,Specialty vegetable oils & fats for food manufacturing,"~4,300",1k-5k,core,Public (Nasdaq Stockholm: AAK); FY2023 revenue ~SEK47B (~$4.4B). Meets gate (a) revenue.,AAK's specialty fats feed the confectionery and bakery brands adjacent to F1's CPG sponsor base — Nordic engineering pride.,,W27
2,ACG Group,acg-world.com,India,"Pharma capsules, films & packaging machinery","~7,500",5k-10k,core,"Private, family-owned; estimated group revenue ~$700M+ across capsules, films and machinery divisions. Meets gate (a) and (b).",ACG's capsule and packaging-machinery lines serve global pharma majors — Indian engineering scale seeking Western brand visibility via F1.,,V18
3,AGRANA Beteiligungs-AG,agrana.com,Austria,"Sugar, starch & fruit ingredients for food manufacturing","~9,000",5k-10k,core,Public (Vienna: AGR); FY2023/24 revenue ~EUR3.3B. Meets gate (a) and (b).,AGRANA's ingredients feed the beverage and bakery brands adjacent to F1's CPG sponsor roster — Austrian engineering-pride pitch.,,W27
4,Alfa Laval,alfalaval.com,Sweden,Process Technology Groups,"~20,700",10k+,core,Nasdaq Stockholm-listed (ALFA); FY2023 net sales ~SEK55.3B. Meets gate (a) and (b).,Heat-exchange and separation tech firm with an efficiency/sustainability pitch that suits F1's energy-transition narrative.,yes,P18b
5,Ali Group,aligroup.com,Italy,Commercial Kitchen & Foodservice Equipment,"~13,500",10k+,core,Private Italian family group (incl. Welbilt); estimated group revenue ~EUR4.3B. Meets gate (a) and (b).,Italian engineering heritage and hospitality-equipment brand fits F1's Italian Grand Prix and Ferrari-market affinity.,,P18b
6,Alpek Polyester,alpek.com,Mexico,"PET resin, PTA & rPET packaging materials","5,000-10,000 (Alpek overall)",5k-10k,core,Public (BMV: ALPEKA); parent Alpek S.A.B. de C.V. FY2024 revenue ~$7.5B. Meets gate (a) and (b) via parent.,Alpek's PET resins form the bottles used by beverage brands on the F1 grid — LatAm industrial scale seeking global visibility.,,W27
7,ALPLA Group,alpla.com,Austria,Rigid plastic packaging manufacturing (PET/HDPE),"~23,000",10k+,core,"Private, family-owned; estimated group revenue ~EUR6.5B. Meets gate (a) and (b).",ALPLA molds bottles and packaging for global beverage/personal-care brands courted by F1 hospitality — Austrian engineering scale.,yes,W27
8,AMF Bakery Systems,amfbakery.com,USA,Bakery & Confectionery Equipment,~900,250-1k,core,"Owned by Markel Corporation (NYSE: MKL), FY2023 group revenue ~$14B. Meets gate (a)/(b) via parent.",Markel's investment-holding model rewards brand-building bets — F1 sponsorship fits its long-horizon capital allocation style.,,P18b
9,ANDRITZ Separation,andritz.com,Austria,Ingredient Systems,"~29,700 (ANDRITZ overall)",10k+,core,Vienna Stock Exchange-listed (ANDR); FY2023 revenue ~EUR7.6B. Meets gate (a) and (b).,Diversified industrial group's separation-technology division could pilot F1 sponsorship as a showcase for its food/feed segment.,,P18b
10,Angel Yeast Co,angelyeast.com,China,Yeast & fermentation ingredients manufacturing,"~15,000",10k+,core,Public (Shenzhen: 600298); estimated FY2023 revenue ~RMB15B (~$2.1B). Meets gate (a) and (b).,Angel Yeast's ingredients feed Chinese bakery/food brands amid F1's growing China audience and export ambitions.,,W27
