#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,ACWA Power,acwapower.com,Saudi Arabia,PIF-backed power generation & desalination champion,2500,1k-5k,core,PIF-anchor-owned utility developer with tens of billions in project financing,Energy-transition and sustainability story matches F1's net-zero-2030 sponsorship positioning.,yes,X08a
2,AD Ports Group,adports.ae,United Arab Emirates,"Ports, logistics & maritime national champion",4000,1k-5k,core,Abu Dhabi government majority-owned; listed with multi-billion-dollar market cap,Global ports-and-logistics network mirrors F1's freight operation across 24 race weekends.,yes,X08a
3,ADNEC Group (Abu Dhabi National Exhibitions Company),adnec.ae,United Arab Emirates,National events & exhibitions champion,1000,250-1k,core,ADQ-owned; operator of Abu Dhabi's flagship exhibition and events venues,"Direct event-hosting synergy with the live, large-scale production of an F1 race weekend.",,X08a
4,ADQ,adq.ae,United Arab Emirates,Abu Dhabi sovereign holding company,500,250-1k,core,"One of the UAE's three sovereign wealth funds, with a diversified multi-sector portfolio","As Abu Dhabi's newest sovereign vehicle, ADQ could sponsor F1 to project its own portfolio brands.",,X08a
5,Agility Global,agility.com,Kuwait,Global logistics multinational champion,14000,10k+,core,Kuwaiti state-linked founding shareholders; one of the world's largest logistics groups by revenue,Core logistics competency mirrors F1's own complex global freight operation.,yes,X08a
6,Air Arabia,airarabia.com,United Arab Emirates,Sharjah government-linked low-cost carrier,3000,1k-5k,core,Sharjah government is a founding shareholder; largest listed low-cost carrier in the MENA region,Budget-travel network growth aligns with F1's fan-travel demand across Gulf race weekends.,yes,X08a
7,Al Ghurair Group,alghurair.com,UAE,"Diversified conglomerate (retail, manufacturing, real estate)","10,000+",5k-10k,core,High — major private Dubai conglomerate,One of the UAE's oldest and largest private conglomerates; no current F1 tie despite deep pockets.,,X08b
8,Al Habtoor Group,alhabtoorgroup.com,UAE,"Diversified conglomerate (hospitality, automotive, real estate, education)","5,000+",1k-5k,core,High — long-established Dubai private conglomerate,Long-established Dubai conglomerate with automotive dealerships and hospitality assets; no existing F1 sponsorship.,,X08b
9,Al Hokair Group,alhokair.com,Saudi Arabia,"Saudi entertainment, leisure and hospitality conglomerate (theme parks, hotels)","5,000+",1k-5k,core,Medium-high — publicly listed on Tadawul,Publicly listed Saudi leisure conglomerate riding the domestic entertainment boom; no existing F1 relationship.,,X08b
10,Al Naboodah Group,alnaboodah.com,UAE,"Diversified conglomerate (construction, automotive, travel)","10,000+",5k-10k,core,High — established Dubai private conglomerate,Diversified Dubai conglomerate spanning automotive and travel (parent of Musafir); no existing F1 sponsorship.,,X08b
11,Al Rostamani Group,alrostamani.com,UAE,"Diversified conglomerate (Nissan/Renault UAE distributor, finance, travel)","5,000+",1k-5k,core,High — established Dubai conglomerate with direct automotive distribution ties,"UAE distributor for Nissan and Renault, giving it a natural automotive-sector rationale for motorsport sponsorship; no current F1 tie.",,X08b
12,Al Tayer Group,altayer.com,UAE,"Luxury retail and automotive conglomerate (Bloomingdale's, Harvey Nichols ME)","5,000+",1k-5k,core,High — established private luxury conglomerate,Luxury retail and automotive distribution group with no current F1 tie.,,X08b
13,Al-Futtaim Group,alfuttaim.com,UAE,"Diversified conglomerate (automotive, retail, real estate)","10,000+",5k-10k,core,Very high — one of the UAE's largest private conglomerates,"Distributes Toyota and other global auto brands in the UAE, giving it deep automotive-sector affinity; no current F1 sponsorship.",,X08b
14,ALBA (Aluminium Bahrain),albasmelter.com,Bahrain,State aluminium-smelting champion,3000,1k-5k,core,Bahrain government-majority owned; one of the world's largest aluminium smelters,Advanced-materials/lightweighting story resonates with F1's engineering-focused audience.,,X08a
15,Aldar Properties,aldar.com,United Arab Emirates,Abu Dhabi real-estate national champion,2500,1k-5k,core,Abu Dhabi government-linked majority ownership; largest listed developer in the capital,Capital-city developer could anchor hospitality/paddock sponsorship around the Abu Dhabi GP.,yes,X08a
16,Alshaya Group,alshaya.com,Kuwait,"Franchise retail giant (Starbucks, H&M, M.A.C across MENA)","50,000+",10k+,core,Very high — one of the world's largest franchise retail operators,Massive franchise retail scale with strong consumer-brand affinity to F1's audience; no existing F1 sponsorship.,yes,X08b
17,Apparel Group,apparelgroup.com,UAE,"Fashion and lifestyle brand franchisee (Tommy Hilfiger, Aldo, etc.)","10,000+",5k-10k,core,High — large private franchise retail group,Large multi-brand fashion franchisee with global brand licenses; no current F1 sponsorship.,,X08b
