#,company,domain,hq_country,sector,event_type,event,event_date,amount,employees_est,why_f1
1,9fin,9fin.com,United Kingdom,Fintech / Credit & Debt Capital Markets Data,funding_round,"Series C led by HarbourVest Partners, achieved unicorn status",2026-04,$170M (valuation $1.3B),250,"UK fixed-income/credit data analytics platform newly crossing $1B valuation, part of a wave of UK fintech unicorns with fresh capital for global expansion."
2,Allica Bank,allica.bank,United Kingdom,Banking / Digital SME Bank,funding_round,"Series D funding round, achieved unicorn status",2026-02,$155M (valuation ~$1.2B),1000,"UK digital business bank hitting unicorn status with fresh capital, fitting F1's UK/European banking sponsor category and growth-stage marketing budgets."
3,Bachan's,bachans.com,United States,Food & Beverage,acquisition,Acquired by Marzetti (Lancaster Colony) to expand its better-for-you sauces portfolio,2026-02-10,$400M,~100,Fast-growing D2C-turned-national sauce brand acquired with clear growth mandate; capital-flush F&B brands are prime new-sponsor prospects.
4,Bedrock Robotics,bedrockrobotics.com,USA,Construction technology / autonomous heavy equipment,funding_round,$270M Series B,2026-02,$270M ($1.75B valuation),200,"Newly minted construction-tech unicorn automating heavy equipment; engineering-precision and autonomy narrative aligns well with F1's performance-engineering brand positioning, unclaimed category (no current F1 construction/robotics sponsor)."
5,Bishop Street Underwriters,bishopstreetunderwriters.com,United States,Insurance / Specialty P&C Underwriting,capital_investment,Development capital investment from White Mountains Insurance Group,2026-Q1 (Jan-Mar),$150M,100,"Large capital backing from a major insurance holding group to scale a specialty P&C underwriting platform, one of the few nine-figure insurtech capital events in a quiet quarter for the sector."
6,Bob's Discount Furniture,mybobs.com,United States,Retail,ipo,"Filed for and completed its IPO on the NYSE, pricing at $17/share",2026-01-09,IPO (priced $17/share),"~5,000",Newly public national furniture retailer with fresh capital markets access and investor pressure to build brand awareness at scale.
7,Cloaked,cloaked.com,USA,Cybersecurity (privacy/identity protection),Funding round,Raised $375M Series B led by General Catalyst and Liberty City Ventures as it expands into enterprise,2026-03-19,$375M,90,Consumer privacy brand pushing into enterprise with sports-sponsorship appetite already shown (NFLPA investor/partner); a natural comp for testing F1 fan-facing sponsorship.
8,eMed,emed.com,United States,Health,funding_round,"Growth round for its employer-focused GLP-1/population-health telehealth platform, valuing the company above $2B",2026-03-26,$200M,~250,GLP-1/weight-management telehealth is one of the hottest-funded health verticals; fresh $200M and a >$2B valuation signal budget for a marquee consumer-marketing platform like F1.
9,Enter,enter.com.br,Brazil,Legaltech / vertical AI,valuation_crossing_$1B,Reached unicorn status via a $100M round,2026-H1,$100M ($1.2B valuation),200,"Brazil's newest AI-native unicorn and a rare LatAm vertical-AI success story, positioned for a regional partnership around F1's Sao Paulo Grand Prix."
10,Farther,farther.com,United States,Fintech / Digital Wealth Management,funding_round,"Series D led by General Atlantic, elevated to unicorn status",2026-05,$150M (valuation crossed $1B),400,"Digital wealth manager reaching unicorn status on a $150M round led by a top growth-equity firm, targeting the HNW client base that overlaps with F1's fan demographics."
