#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,source_batch
1,ACM Research,acmrcorp.com,United States,Clean / Wet Processing,2100,1k-5k,core,Public (NASDAQ:ACMR); FY2024 revenue >RMB7.5B (~$1B),US/China dual-listed wet cleaning and electroplating equipment leader for advanced packaging/logic; unsponsored in F1,S5a
2,Advanced Energy Industries,advancedenergy.com,United States,"Subsystems / Components (vacuum, RF, gas/fluid delivery)",4700,1k-5k,core,Public (NASDAQ:AEIS); FY2024 revenue >$1.5B,"Leading RF/plasma power delivery subsystems for etch/deposition tools; F1-clean, strong power-electronics engineering story",S5a
3,Advanced Micro-Fabrication Equipment (AMEC),amec-inc.com,China,Etch,3200,1k-5k,core,Public (SSE:688012); FY2024 revenue >RMB7B (~$1B),Leading Chinese etch and MOCVD equipment maker with growing global footprint; F1-clean,S5a
4,Aixtron SE,aixtron.com,Germany,Deposition (CVD/ALD/PVD/Epi),950,250-1k,core,Public (FRA:AIXA); FY2024 revenue >EUR500M,"World leader in MOCVD deposition tools for power/RF/compound semiconductors (SiC, GaN); F1-relevant power-electronics supply chain, unsponsored",S5a
5,AMETEK Inc. (Zygo precision metrology),ametek.com,United States,,21000,10k+,core,,Zygo division supplies optical/interferometric metrology tools used in semiconductor & photonics manufacturing; huge parent balance sheet; unclaimed sponsor category.,S5b
6,Anritsu Corporation,anritsu.com,Japan,,4000,1k-5k,core,,Test & measurement maker with RF/component test solutions relevant to semiconductor device validation; unclaimed F1 category.,S5b
7,Applied Materials,appliedmaterials.com,United States,Deposition (CVD/ALD/PVD/Epi),34000,10k+,core,Public (NASDAQ:AMAT); FY2024 revenue >$27B; largest global semiconductor equipment supplier,"Largest diversified process-equipment maker (deposition, etch, CMP, ion implant); no F1 sponsorship despite AMD/other chip-brand F1 activity",S5a
8,ASM International,asm.com,Netherlands,Deposition (CVD/ALD/PVD/Epi),4200,1k-5k,core,Public (AMS:ASM); FY2024 revenue >EUR2.5B; global leader in ALD deposition,Pure-play ALD/epitaxy leader riding the leading-edge logic/DRAM capex cycle; unsponsored in F1,S5a
9,ASMPT Limited,asmpt.com,Hong Kong / Singapore,,13000,10k+,core,,"Leading semiconductor packaging + SMT equipment maker (die bonders, wire bonders); unclaimed F1 category.",S5b
10,Axcelis Technologies,axcelis.com,United States,Ion Implant,1900,1k-5k,core,Public (NASDAQ:ACLS); FY2024 revenue >$1B; global leader in ion implant systems,Dominant pure-play ion implant supplier riding power-semiconductor and mature-node capex boom; unsponsored in F1,S5a
11,BE Semiconductor Industries N.V. (Besi),besi.com,Netherlands,,1900,1k-5k,core,,"Leading die-attach and hybrid-bonding equipment maker for advanced packaging (HBM/AI chips); unclaimed F1 category, Dutch GP tie-in.",S5b
12,Brooks Automation (Semiconductor Solutions),brooks.com,United States,,2000,1k-5k,core,,Vacuum/atmospheric wafer-handling robotics leader across the full fab (incl. metrology/test/packaging cells); PE-backed by Thomas H. Lee Partners since 2022; unclaimed F1 category.,S5b
13,Camtek Ltd,camtek.com,Israel,,709,250-1k,core,,Leading advanced-packaging/HPC inspection & metrology tool maker riding AI packaging boom; verified revenue/headcount via web search; not F1-affiliated.,S5b
14,Canon Inc. (Semiconductor Equipment Division),canon.com,Japan,,180000,10k+,core,,"Semiconductor lithography (steppers, nanoimprint) equipment maker via its Semiconductor Equipment Business Unit; massive parent scale; unclaimed F1 category, Japan GP tie-in.",S5b
15,Chang Chun Group,ccp.com.tw,Taiwan,Wet Process Chemicals (Materials),10000,5k-10k,core,Privately held; group estimated annual revenue >NT$150B (~$4.7B) across petrochemicals and electronic materials,"Major supplier of high-purity wet-process chemicals (hydrogen peroxide, PVA, specialty resins) to global fabs; F1-clean",S5a
16,"Changchuan Technology Co., Ltd.",gts-changchuan.com,China,,2500,1k-5k,core,,"China's leading domestic semiconductor test-equipment maker (testers, sorters, probers), riding China's fab self-sufficiency drive; unclaimed F1 category.",S5b
17,Chroma ATE Inc.,chromaate.com,Taiwan,,2600,1k-5k,core,,"Precision test & measurement/ATE maker spanning semiconductors, EV and photonics; verified size via enrichment; unclaimed F1 category.",S5b
18,CKD Corporation,ckd.co.jp,Japan,"Subsystems / Components (vacuum, RF, gas/fluid delivery)",4200,1k-5k,core,Public (TSE:6407); FY2024 revenue >JPY180B (~$1.2B),Pneumatic/flow-control component maker with dedicated semiconductor fab automation lines; F1-clean,S5a
19,Cognex Corporation,cognex.com,United States,,2300,1k-5k,core,,Machine-vision inspection systems widely deployed in semiconductor packaging and test lines; unclaimed F1 category.,S5b
20,Coherent Corp,coherent.com,United States,Photonics / Lasers (EUV Supply Chain),24000,10k+,core,Public (NYSE:COHR); FY2024 revenue >$5.5B,Major laser/optics supplier feeding EUV light-source and process-laser supply chains; unsponsored in F1,S5a
21,Cohu Inc.,cohu.com,United States,,1700,1k-5k,core,,Test handler & contactor leader (Xcerra/Multitest/Delta Design brands) serving automotive and AI chip test; unclaimed F1 category.,S5b
22,Comet Group,comet-group.com,Switzerland,RF Power Systems / Etch (incl. Plasma-Therm),2200,1k-5k,core,Public (SIX:COTN); FY2024 revenue >CHF480M; owns Plasma-Therm etch/deposition tool maker,RF/X-ray technology group whose Plasma-Therm subsidiary makes etch and deposition systems; F1-clean,S5a
23,CoorsTek Inc,coorstek.com,United States,Advanced Ceramics (Chamber Components),5000,1k-5k,core,"Privately held; large-scale global ceramics manufacturer, est. revenue >$1B",Leading engineered-ceramics maker supplying etch/deposition chamber components; unsponsored in F1,U05
24,Daifuku Co,daifuku.com,Japan,Fab Automation / Material Handling,10500,10k+,core,Public (TSE:6383); FY2024 revenue >JPY660B (~$4.4B); semiconductor AMHS a strategic growth segment,World's largest material-handling systems maker with a leading semiconductor fab AMHS business; F1-clean,S5a
25,Danaher Corporation (Leica Microsystems),danaher.com,United States,,62000,10k+,core,,"Owns Leica Microsystems, supplying semiconductor/materials-science microscopy and metrology instruments; massive parent scale; unclaimed F1 category.",S5b
26,Disco Corporation,disco.co.jp,Japan,CMP / Dicing / Grinding / Polish,7500,5k-10k,core,Public (TSE:6146); FY2024 revenue >JPY400B (~$2.7B); global leader in dicing/grinding/polishing equipment,Dominant precision dicing and wafer-thinning equipment maker critical to advanced packaging (AI chip) boom; F1-clean,S5a
27,DMS Co Ltd,dmstech.com,South Korea,Wet/Dry Etch & Cleaning Equipment,1000,250-1k,core,Public (KOSDAQ:068790); estimated annual revenue $150-250M across display and semiconductor etch/clean tools,Korean wet/dry etch and cleaning equipment maker expanding from display into semiconductor process tools; F1-clean,S5a
28,Dongjin Semichem,dongjin.com,South Korea,"Process Materials (resist, slurry, targets, chemicals)",1500,1k-5k,core,Public (KOSDAQ:005290); estimated annual revenue >$500M on photoresist and CMP slurry materials,Major Korean photoresist and CMP slurry materials maker; unsponsored in F1,S5a
29,DuPont Electronics & Industrial,dupont.com,United States,Photoresist / CMP Pads (Materials),22000,10k+,core,Public parent (NYSE:DD); group FY2024 revenue >$12B; Electronics & Industrial the fastest-growing segment,"Parent of DuPont's photoresist, CMP pad and electronic-materials business core to fab process steps; unsponsored in F1",S5a
30,Ebara Corporation,ebara.co.jp,Japan,CMP / Dicing / Grinding / Polish,19000,10k+,core,Public (TSE:6361); FY2024 revenue >JPY700B (~$4.6B); Precision Machinery (CMP) segment core to semiconductors,Leading CMP equipment and vacuum pump maker for wafer fabs; F1-clean,S5a
31,Edwards Vacuum,edwardsvacuum.com,United Kingdom,"Subsystems / Components (vacuum, RF, gas/fluid delivery)",4200,1k-5k,core,"Division of Atlas Copco Vacuum Solutions; segment revenue >$1.7B/yr, standalone brand with own P&L reporting","Verified per brief note (Atlas Copco sub, still tracked standalone); global #1/2 vacuum pump/abatement supplier to fabs, unsponsored in F1",S5a
32,Element Solutions Inc,elementsolutionsinc.com,United States,Process Chemistry / Advanced Packaging Materials,4200,1k-5k,core,Public (NYSE:ESI); FY2024 revenue >$2.2B,Electronic/plating chemistry supplier for advanced packaging and semiconductor process steps; unsponsored in F1,S5a
33,Enplas Corporation,enplas.co.jp,Japan,,4500,1k-5k,core,,Major IC test-socket and precision optical-lens maker for semiconductor test flows; unclaimed F1 category.,S5b
34,Entegris Inc,entegris.com,United States,Filtration / Materials / Gas Delivery,7300,5k-10k,core,Public (NASDAQ:ENTG); FY2024 revenue >$3.2B,"Critical materials-handling, filtration and gas/chemical delivery infrastructure supplier across the fab process flow; F1-clean",S5a
35,Eugene Technology,eugenetech.co.kr,South Korea,Deposition (CVD/ALD/PVD/Epi),500,250-1k,core,Public (KOSDAQ:084370); trailing revenue >$250M,Single-wafer LPCVD/ALD deposition equipment specialist for Korean memory fabs; unsponsored in F1,S5a
36,EV Group (EVG),evgroup.com,Austria,Wafer Bonding / Nanoimprint Lithography,1100,1k-5k,core,"Privately held; company states >$300M annual revenue, profitable, family-owned since 1980",World leader in wafer bonding and nanoimprint lithography for advanced packaging/AI chips; unsponsored in F1,S5a
37,Exyte AG,exyte.com,Germany,Fab Construction & Cleanrooms,9000,5k-10k,core,"Privately held; estimated annual revenue >EUR5B, world's leading fab EPC contractor",World's leading semiconductor fab design/engineering/construction firm behind hundreds of global fab builds; unsponsored in F1,U05
38,Ferrotec Holdings,ferrotec.com,Japan,"Fab Components (quartz, ceramics, Si parts)",10500,10k+,core,Public (TSE:6890); FY2024 revenue >JPY180B (~$1.2B),Major supplier of quartz/ceramic/silicon consumable components used inside deposition and etch chambers; F1-clean,S5a
39,FormFactor Inc.,formfactor.com,United States,,1805,1k-5k,core,,"Leading probe card, probe station and thermal/cryogenic test subsystem maker across the IC lifecycle; verified size; unclaimed F1 category.",S5b
40,Fujifilm Electronic Materials (Fujifilm Corp),fujifilm.com,Japan,"Process Materials (resist, slurry, targets, chemicals)",73000,10k+,core,Public parent (TSE:4901); group FY2024 revenue >JPY3T (~$20B); Electronic Materials a strategic growth segment,"Parent of Fujifilm's semiconductor materials business (photoresist, CMP slurry, cleaning chemicals); huge imaging/health brand, no F1 tie",S5a
41,Fujimi Incorporated,fujimiinc.co.jp,Japan,CMP Slurry Materials,1050,1k-5k,core,Public (TSE:5384); FY2024 revenue >JPY60B (~$400M),Global leader in CMP polishing slurry/abrasives for semiconductor and precision-glass polishing; F1-clean,S5a
