#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,A. Raymond Group,araymond.com,France,Fasteners,7500,5k-10k,core,high,"Private, discloses revenue ~€1.4B; global fastening and plastic-clip systems for automotive OEMs.",yes,X04b
2,Albemarle Corporation,albemarle.com,USA,Specialty chemicals (lithium and bromine),"~9,200",5k-10k,core,"High – large-cap, ~$5.4B revenue (NYSE:ALB), established budget for sponsorship/technical partnerships",Albemarle's lithium chemistry underpins battery/ERS technology increasingly central to F1 power units.,,X04a
3,Alcoa Corporation,alcoa.com,USA,Aluminum and specialty materials,"~13,300",10k+,core,"High – large-cap, ~$10.6B revenue (NYSE:AA), established budget for sponsorship/technical partnerships",Alcoa's specialty aluminum alloys underpin lightweight structural applications comparable to F1 engineering.,,X04a
4,Alfa Laval AB,alfalaval.com,Sweden,Flow Control,19000,10k+,core,high,"Stockholm-listed, revenue ~SEK 55B; heat transfer, separation and fluid-handling leader.",yes,X04b
5,Alleima AB,alleima.com,Sweden,Advanced stainless and specialty alloys (ex-Sandvik Materials Technology),"~5,700",5k-10k,core,"High – large-cap, ~SEK18.3B revenue (STO:ALLEI), established budget for sponsorship/technical partnerships","Alleima's specialty stainless and advanced alloys serve high-stress, high-temperature parts similar to F1 components.",,X04a
6,American Axle & Manufacturing,aam.com,United States,Castings & Forgings,19000,10k+,core,high,"NYSE-listed, revenue ~$5.9B; driveline systems and forged/cast components for global automakers.",yes,X04b
7,Ampco-Pittsburgh Corp,ampcopgh.com,USA,Specialty steel and forged products,~950,250-1k,core,"High – large-cap, ~$350M revenue (NYSE American:AP), established budget for sponsorship/technical partnerships",Ampco-Pittsburgh's forged specialty steel products reflect the precision-metallurgy story relevant to F1 components.,,X04a
8,Aperam SA,aperam.com,Luxembourg,Stainless and specialty steel,"~8,600",5k-10k,core,"High – large-cap, ~€6.6B revenue (AMS:APAM), established budget for sponsorship/technical partnerships",Aperam's specialty stainless steels serve high-performance structural and exhaust applications relevant to F1.,,X04a
9,Arconic Corporation,arconic.com,USA,Aluminum sheet and specialty products (Apollo-owned),"~11,700",10k+,core,"High – large-cap, ~$5.4B revenue, established budget for sponsorship/technical partnerships",Arconic's specialty aluminum products serve lightweighting applications directly relevant to F1 chassis engineering.,,X04a
10,Arkema SA,arkema.com,France,Specialty chemicals and advanced materials,"~21,500",10k+,core,"High – large-cap, ~€9.5B revenue (EPA:AKE), established budget for sponsorship/technical partnerships","Arkema's high-performance polymers and adhesives support lightweight, high-heat automotive component design.",yes,X04a
11,Arxada AG,arxada.com,Switzerland,"Specialty chemicals (private, Bain Capital/Cinven)","~4,000",1k-5k,core,"High – large private/PE-owned group, ~$2B revenue, PE-owned est, credible sponsorship capacity",Arxada's specialty chemical formulations reflect the performance-materials depth F1 sponsors typically showcase.,,X04a
12,Asahi Kasei,asahi-kasei.com,Japan,Performance materials and specialty polymers,"~48,000",10k+,core,"High – large-cap, ~$18B revenue (TYO:3407), established budget for sponsorship/technical partnerships",Asahi Kasei's performance polymers and battery materials fit the innovation-showcase angle of F1 sponsorship.,yes,X04a
13,Ashland Inc,ashland.com,USA,Specialty additives and materials,"~3,300",1k-5k,core,"High – large-cap, ~$1.9B revenue (NYSE:ASH), established budget for sponsorship/technical partnerships",Ashland's specialty additives support performance-material formulations comparable to those used in motorsport.,yes,X04a
14,ATI Inc (Allegheny Technologies),atimaterials.com,USA,Specialty metals and titanium alloys,"~8,000",5k-10k,core,"High – large-cap, ~$4.3B revenue (NYSE:ATI), established budget for sponsorship/technical partnerships","ATI's titanium and specialty alloys are used in lightweight, high-strength structural components similar to F1 parts.",,X04a
15,Avient Corporation,avient.com,USA,Specialized polymer formulations and composites,"~9,000",5k-10k,core,"High – large-cap, ~$3.2B revenue (NYSE:AVNT), established budget for sponsorship/technical partnerships",Avient's engineered polymer formulations target lightweighting use-cases directly comparable to F1 materials needs.,,X04a
