tab_priority,sector_tab,rank,priority_score,tier,company,domain,hq_country,subsector,sells (what & to whom),employees_est,valuation (date),crossed $1B,latest round,revenue evidence,f1_risk,why_f1 / angle,verify flags
1,AI,1,59,small-cap public,Appier,appier.com,Japan / Taiwan,AI Agents & Apps,AI-powered marketing/advertising SaaS platform,~1000 (est),"~$0.7-1.2B market cap (est), Sep 2026 (TSE: 4180)",,public (Tokyo Stock Exchange),"~$180M revenue, FY2025 (reported)",none,Marketing-AI SaaS; no ties,(est) figures; market cap borderline vs $1B floor - verify current mark
1,AI,2,59,small-cap public,BigBear.ai,bigbear.ai,USA,AI Agents & Apps,"AI decision-intelligence, analytics and vision platforms for defense/government and supply chain",~500 (est),"~$1.5-2B market cap (est), Sep 2026",,public (NYSE: BBAI),"~$165M revenue, FY2025 (reported)",none,Government/defense analytics contractor; no sponsorship history,(est) figures; market cap volatile - verify current mark
1,AI,3,59,small-cap public,PKSHA Technology,pkshatech.com,Japan,AI Agents & Apps,"AI/NLP software (chatbots, algorithm solutions) for Japanese enterprises",~700 (est),"~$0.7-1B market cap (est), Sep 2026 (TSE: 3993)",,public (Tokyo Stock Exchange),"~$150M revenue, FY2025 (reported)",none,Enterprise NLP software; no ties,(est) figures; market cap borderline vs $1B floor - verify current mark
1,AI,4,59,crossed 2025-26,Source Foundry,sourcefoundry.ai (est),USA,AI Infrastructure,Tooling for semiconductor manufacturing aimed at AI-chip production bottlenecks,"~40 (est) - sub-51, flagged (valuation $5B clears the $2B bar)","$5B, Aug 2026, round led by Situational Awareness (hedge fund)",August 2026,"Aug 2026, $400M, lead: Situational Awareness fund",revenue unproven (pre-commercial tooling),none known,Chip-manufacturing-tooling story is a step removed from consumer visibility; best framed as a deep-tech credibility partner rather than fan-facing,revenue unproven
1,AI,5,58,crossed 2025-26,Prometheus,"prometheus.com (est, unconfirmed)",USA,AI Agents & Apps,"Jeff Bezos-backed 'artificial general engineer' AI that automates physical-product engineering (aerospace, autos, chips, drug discovery)","150 (confirmed, Jun 2026)","$41B, Apr 2026, Series B led by JPMorgan Chase & BlackRock",April 2026 (crossed far above $1B directly),"Apr 2026, $12B Series B, lead: JPMorgan Chase & BlackRock (Goldman Sachs, DST Global, Arch Venture Partners also in)","revenue unproven (pre-commercial, R&D stage)",none known,"Bezos-level capital and an engineering-precision brand story make it a marquee, high-budget prospect for an F1 team's tech/performance-engineering partnership tier",revenue unproven
1,AI,6,56,small-cap public,Lunit,lunit.io,South Korea,AI Agents & Apps,"AI medical imaging diagnostics (cancer detection, radiology)",~450 (est),"~$1-1.5B market cap (est), Sep 2026 (KOSDAQ: 328130)",,public (KOSDAQ),"~$50M revenue, FY2025 (reported, growing)",none,Medical-imaging AI; no ties,(est) figures; market cap volatile - verify current mark
1,AI,7,52,crossed 2025-26,Hark,hark.com (est),USA,AI Agents & Apps,Consumer hardware device built around 'personal intelligence' AI assistant,"~45 (est) - sub-51, flagged (valuation $6B clears the $2B bar)","$6B, Mar 2026, Series A led by Parkway Venture Capital",March 2026 (crossed far above $1B directly),"Mar 2026, $700M Series A, lead: Parkway Venture Capital",revenue unproven (pre-launch consumer hardware),none known,Consumer hardware + huge round = mainstream-brand ambitions; a natural fit for a fan-facing activation deal,revenue unproven
1,AI,8,52,crossed 2025-26,Runpod,runpod.io,USA,AI Infrastructure,GPU cloud / developer platform for renting compute to build and run AI models,"110 (confirmed, Jul 2026)","$1B, Jun 2026, round led by Summit Partners",June 2026,"Jun 2026, $100M, lead: Summit Partners (Intel Capital, Dell Technologies Capital also investors - minority stakes, OK)","$120M ARR as of Jan 2026 (confirmed via company press release), 1M+ developers on platform",none known; Intel Capital + Dell Technologies Capital are minority investors only,Real revenue traction ($120M ARR) plus a compute/GPU-cloud story that maps directly onto F1's simulation and real-time-compute narrative - one of the stronger substantiated picks on this list,
1,AI,9,52,crossed 2025-26,Zankore,zankore.com (est),Indonesia,AI Infrastructure,Full-stack AI infrastructure / neocloud platform targeting 1 gigawatt of data-center capacity,~90 (est),"$1.6B, Aug 2026, corporate funding round led by Ooredoo",August 2026,"Aug 2026, $800M corporate funding, lead: Ooredoo",revenue unproven (infra still being built out),none known,Southeast-Asia AI-infra buildout backed by a telecom major; interesting for a team wanting SE-Asia market presence,revenue unproven
1,AI,10,51,crossed 2025-26,Nextop AI,nextop.ai (est),USA,AI Infrastructure,Ethernet networking hardware purpose-built for AI data centers,~150 (est),"$4.2B, Mar 2026, Series B led by Andreessen Horowitz & Lightspeed Venture Partners",March 2026,"Mar 2026, $500M Series B, lead: a16z, Lightspeed Venture Partners",revenue unproven (hardware still ramping),none known,Networking/low-latency infrastructure story mirrors F1's real-time telemetry and trackside data-transport needs,revenue unproven
