#,company,domain,hq_country,sector,signal_type,signal,signal_date,employees_est,affordability,why_f1_now,already_in_lists,source
1,Alfa Romeo,alfaromeo.com,Italy,Automotive,lapsed-f1,"Alfa Romeo's title sponsorship of the Sauber F1 team ended after the 2023 season, with the team rebranding to Stake F1 Team Kick Sauber for 2024.",January 2024,"10,000+ (Stellantis subsidiary)","Backed by Stellantis (2024 revenue ~€150B); previously funded a full title sponsorship, so budget capacity is proven.",A former title sponsor with an F1-sized budget now sits on the sidelines while Alfa Romeo's parent Stellantis brand Jeep also just exited a major sports deal (see separate entry) — appetite for a fresh F1 return is plausible.,yes,TS3
2,Bybit,bybit.com,United Arab Emirates,Crypto Exchange,lapsed-f1,Bybit's sponsorship contract with Oracle Red Bull Racing expired at the end of 2024 and was not renewed.,December 2024,"1,000+","Top-5 global crypto exchange by volume; previously funded a Red Bull Racing partnership, evidencing multi-million dollar F1 spend capacity.",Recently lapsed Red Bull relationship means Bybit already has F1 activation assets and sales-team familiarity to reactivate quickly.,yes,TS3
3,Kick (Kick Streaming),kick.com,Australia,Live Streaming Platform,lapsed-f1,Kick's co-title sponsorship of the Sauber F1 team alongside Stake is ending after the 2025 season when Audi assumes full works-team branding for 2026.,December 2025,100-500,"Backed by the same ownership group as Stake, which funded a nine-figure multi-year F1 title deal.","Same team exit as Stake gives Kick a lapsed, recently-live F1 presence and audience-growth rationale to seek a new team partnership.",,TS3
4,Stake.com,stake.com,Curaçao / Australia (Easygo),Online Gambling,lapsed-f1,Stake's title sponsorship of the Sauber F1 team (as Stake F1 Team Kick Sauber) is set to end after the 2025 season as Audi takes over the team as a full works entry for 2026.,December 2025,500+,"Reportedly paid a multi-year title sponsorship deal worth well over $400M across the term, proving very large F1 spend capacity.","Losing its title spot at Sauber/Audi leaves a large, recently-active F1 marketing budget with nowhere to go — a natural win-back or alternate-team conversation.",yes,TS3
5,Accenture,accenture.com,Ireland,IT Services/Consulting,rival-went-f1,"Rival IBM became Scuderia Ferrari's Premium Partner in a multiyear agreement effective January 1, 2025.",January 2025,"770,000+",Public company (NYSE:ACN) with ~$65B annual revenue; deep history of major sports sponsorships.,"IBM, its closest global consulting/IT-services rival, is now embedded at Ferrari — F1's most valuable single-team media platform — creating direct competitive pressure to respond.",yes,TS3
6,Aptiv,aptiv.com,Ireland/United States,Automotive Technology,rival-went-f1,Rival Tenneco became a Cadillac Formula 1 Team partner ahead of the team's 2026 debut.,2025,"150,000+",Public company (NYSE:APTV) with ~$20B annual revenue.,Tenneco's presence on F1's newest team is a direct precedent in the automotive-technology supplier category Aptiv also competes in.,yes,TS3
7,Arthur J. Gallagher & Co.,ajg.com,United States,Insurance Brokerage,rival-went-f1,Rival Marsh became Formula 1's Official Risk and Insurance Brokering Partner in a multi-year deal.,2024,"55,000+",Public company (NYSE:AJG) with ~$11B annual revenue.,"With Marsh now embedded across every F1 race weekend, Gallagher's B2B insurance brand is comparatively invisible in one of the fastest-growing global sports properties.",yes,TS3
8,Binance,binance.com,Cayman Islands/Global,Crypto Exchange,rival-went-f1,Rival Crypto.com renewed its Formula 1 Official Partner status through 2030 in a deal announced December 2024.,December 2024,"5,000+",World's largest crypto exchange by trading volume; multi-billion dollar annual revenue.,"With Crypto.com now locked into F1 through 2030 at the series level, team-level crypto sponsorship slots are the remaining window Binance would need to act on soon.",yes,TS3
9,BorgWarner,borgwarner.com,United States,Automotive Parts/Powertrain,rival-went-f1,Rival Tenneco secured a major partnership with the Cadillac Formula 1 Team for its 2026 season debut.,2025,"25,000+",Public company (NYSE:BWA) with ~$14B annual revenue.,"A direct automotive-supplier competitor just entered F1 via Cadillac's debut-season partner roster, a rare first-mover window for the category.",yes,TS3
10,Capgemini,capgemini.com,France,IT Services/Consulting,rival-went-f1,Rival IBM signed on as Scuderia Ferrari's Premium Partner from January 2025.,January 2025,"340,000+",Public company (Euronext:CAP) with ~€22B annual revenue.,IBM's move into F1's most storied team leaves Capgemini's consulting/IT-services peer group visibly behind in a sport increasingly used as an enterprise-tech showcase.,yes,TS3
