#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,Alfred Kaercher SE & Co. KG,kaercher.com,Germany,High-pressure cleaning and professional cleaning equipment,"~14,000",10k+,core,Private/family-owned; revenue >EUR3B,Professional cleaning equipment is used throughout F1 garages and hospitality operations — a direct operational fit.,yes,X05a
2,Andreas Stihl AG & Co. KG,stihl.com,Germany,"Chainsaws, outdoor power equipment, professional forestry tools","~20,000",10k+,core,Private; disclosed group revenue ~EUR5.3B,Category-leading global brand with deep marketing budget and no current motorsport tie.,,X05a
3,Ansell,ansell.com,Australia,Safety equipment & PPE,"~13,000",10k+,core,high,ASX-listed global PPE/safety glove manufacturer (~$1.7B revenue) selling B2B into industrial and manufacturing accounts worldwide.,yes,X05b
4,"Apex Tool Group, LLC (Weller)",apextoolgroup.com,United States,"Hand and power tools, soldering equipment (Weller brand)","~7,000",5k-10k,core,Private (Bain Capital); revenue >$1.5B,"Weller soldering tools are used in electronics/telemetry work on an F1 car, a direct product-relevance angle.",yes,X05a
5,"Applied Industrial Technologies, Inc.",applied.com,United States,Industrial parts and MRO distribution,"~6,300",5k-10k,core,NYSE listed; revenue >$4B,"Bearings, fluid power and industrial parts distribution underpins the reliability story F1 teams value.",,X05a
6,Arco,arco.co.uk,United Kingdom,Safety equipment & PPE,"~1,700",1k-5k,core,medium,"The UK's largest safety-equipment distributor, family-owned, with a national industrial-customer relationship base.",,X05b
7,Atlas Copco AB,atlascopco.com,Sweden,"Industrial power tools, assembly systems, compressors","~58,000",10k+,core,Nasdaq Stockholm listed; revenue >SEK150B,Precision torque/assembly tools are exactly what pit crews use to tighten wheel nuts — a literal product fit.,yes,X05a
8,Berry Global,berryglobal.com,United States,Packaging & shipping supplies,"~34,000",10k+,core,high,NYSE-listed global plastic packaging manufacturer with tens of billions in revenue and broad B2B customer base.,yes,X05b
9,Blackwoods,blackwoods.com.au,Australia,Broadline MRO distribution,"~2,000",1k-5k,core,medium,"Wesfarmers-owned industrial and safety supplies distributor, Australia's largest, with deep trade-customer relationships.",,X05b
10,BlueScope,bluescope.com,Australia,Metals service centers,"~15,000",10k+,core,high,ASX-listed global steel manufacturing and distribution giant with deep construction and industrial B2B relationships.,,X05b
11,Border States Industries,borderstates.com,United States,Electrical & industrial distribution,"~3,300",1k-5k,core,medium,Employee-owned electrical/industrial distributor (~$3B revenue) with a strong contractor-relationship sales culture.,yes,X05b
12,Bosch Power Tools,bosch-professional.com,Germany,Power tools & hand tools manufacturing,"~20,000",10k+,core,high,"Robert Bosch GmbH's power-tools division, backed by a global engineering conglomerate with deep motorsport (WEC/rallying) heritage.",yes,X05b
13,Bunzl plc,bunzl.com,United Kingdom,Distribution of industrial and safety supplies,"~22,000",10k+,core,London Stock Exchange (FTSE100) listed; revenue >GBP11B,Global distribution scale and safety/PPE supply lines are relevant to trackside operational needs.,,X05a
14,"Carborundum Universal Limited (CUMI, Murugappa Group)",cumi-murugappa.com,India,"Abrasives, ceramics and industrial tools","~4,600",1k-5k,core,NSE/BSE listed; revenue >$300M,"India's leading abrasives maker growing its global export footprint, for which F1's Indian fan base offers reach.",,X05a
15,Carhartt,carhartt.com,United States,Workwear & protective clothing,"~5,000",1k-5k,core,high,Iconic private American workwear brand with major mainstream cultural and streetwear crossover — real brand power for F1's newer fanbase.,yes,X05b
16,Cembre S.p.A.,cembre.com,Italy,Electrical connectors and crimping/cutting tools,~700,250-1k,core,Borsa Italiana (STAR segment) listed; revenue ~EUR200M,Publicly listed Italian electro-mechanical tool maker with export ambitions suited to F1's European fan base.,,X05a
