#,company,domain,hq_country,sector,subsector,employees_est,revenue_est,why_f1
1,ABN AMRO Bank N.V.,abnamro.com,Netherlands,Banking & Asset Management,Universal Banking,22000,€10.2B revenue (FY2024),"Major Dutch bank with an established elite sports sponsorship platform (ABN AMRO Open tennis); Netherlands has one of F1's largest per-capita fanbases (Verstappen effect), yet ABN AMRO has no F1 deal."
2,Absa Group,absa.africa,South Africa,Banking & Asset Management,Pan-African Universal Banking,40000,~US$6.5B revenue (FY2023),Major pan-African bank (12 countries) actively rebuilding global brand since its Barclays Africa spin-off.
3,Al Rajhi Bank,alrajhibank.com.sa,Saudi Arabia,Banking & Asset Management,Islamic Banking,17000,~US$8.5B revenue (FY2023),"World's largest Islamic bank, headquartered in Saudi Arabia which hosts an F1 GP and has surging motorsport investment."
4,American International Group (AIG),aig.com,United States,Banking & Asset Management,Insurance,18000,$27.4B revenue (FY2024),Global commercial insurer with a history of high-profile sports sponsorship (Manchester United shirt sponsor); no current F1 or motorsport partnership.
5,Ameriprise Financial,ameriprise.com,United States,Banking & Asset Management,Wealth Management & Insurance,11700,$16.9B revenue (FY2024),Large US wealth management and insurance group with a growing affluent-advisor client base; no existing motorsport tie.
6,ANZ Group,anz.com,Australia,Banking & Asset Management,Universal Banking,40000,~US$15B revenue (FY2023),Major Australian/NZ bank with Asia-Pacific institutional network and Melbourne GP home-market presence.
7,Arab Bank,arabbank.com,Jordan,Banking & Asset Management,Universal Banking,9800,~US$2.4B revenue (FY2023),"Largest Arab banking network spanning 600+ branches across MENA, Europe and Asia, no current F1 tie-up."
8,Assicurazioni Generali S.p.A.,generali.com,Italy,Banking & Asset Management,Insurance & Asset Management,82000,€89.8B revenue (FY2024),"One of Europe's largest insurers with a pan-European and Latin American footprint; no current F1 sponsorship despite Italy's deep motorsport culture (Ferrari, Monza)."
9,Attijariwafa Bank,attijariwafabank.com,Morocco,Banking & Asset Management,Pan-African Universal Banking,24000,~US$4.2B revenue (FY2023),"Morocco's largest bank with 25+ country pan-African/European network, a growth market for F1's African expansion."
10,Aviva plc,aviva.com,United Kingdom,Banking & Asset Management,Insurance & Asset Management,23000,£11.7B revenue (FY2024),UK's largest general insurer with a growing wealth/asset management arm (Aviva Investors); active rugby sponsor (Aviva Premiership legacy) but no current F1 tie.
11,AXA SA,axa.com,France,Banking & Asset Management,Insurance & Asset Management,145000,€112.5B revenue (FY2024),"World's largest insurance brand by brand value with global P&C and life operations; confirmed no current F1 sponsorship, leaving room for a global insurance-category deal."
12,Axis Bank,axisbank.com,India,Banking & Asset Management,Universal Banking,100000,~US$14B revenue (FY2024),Large Indian private bank with premium/priority banking segment and history of marquee sports sponsorships (cricket).
13,Banco Bilbao Vizcaya Argentaria (BBVA),bbva.com,Spain,Banking & Asset Management,Universal Banking,121000,€28.8B revenue (FY2024),"Major Spanish global bank with large Latin American operations (Mexico, South America) overlapping F1's growth markets; peer Santander already sponsors F1, making BBVA a natural competitive-response prospect."
14,Banco Bradesco S.A.,banco.bradesco,Brazil,Banking & Asset Management,Universal Banking,80000,~$35B revenue est. (FY2024),One of Brazil's largest private banks with a huge retail and insurance footprint; strong prospect for activating around the São Paulo Grand Prix.
15,Banco BTG Pactual S.A.,btgpactual.com,Brazil,Banking & Asset Management,Investment Banking & Asset Management,9000,~$5.5B revenue est. (FY2024),"Latin America's largest standalone investment bank, targeting HNW and institutional clients that overlap with F1's paddock hospitality audience; no current sponsorship."
16,"Banco de Sabadell, S.A.",bancsabadell.com,Spain,Banking & Asset Management,Retail & Commercial Banking,19000,€6.4B revenue (FY2024),Major Spanish bank with a growing UK subsidiary (TSB) and international corporate banking business; unattached to F1.
17,Bancolombia S.A.,bancolombia.com,Colombia,Banking & Asset Management,Universal Banking,34000,~$6.5B revenue est. (FY2024),Largest bank in Colombia with regional operations across Central America; unattached to F1 despite the sport's growing Latin American fanbase.
18,Bangkok Bank,bangkokbank.com,Thailand,Banking & Asset Management,Commercial & Corporate Banking,23000,~US$4.5B revenue (FY2023),"Thailand's largest bank with extensive SE Asia corporate network, positioned for brand growth as Thailand eyes an F1 race bid."
19,Bank Central Asia (BCA),bca.co.id,Indonesia,Banking & Asset Management,Retail & Commercial Banking,25000,~US$6.8B revenue (FY2023),"Indonesia's largest private bank by market cap, affluent-customer focus aligns with F1's premium fan demographic."
20,Bank Mandiri,bankmandiri.co.id,Indonesia,Banking & Asset Management,Universal Banking,39000,~US$9.5B revenue (FY2023),"Indonesia's largest bank by assets, state-owned but commercially aggressive with sports/entertainment sponsorship history."
21,Bank of America Corporation,bankofamerica.com,United States,Banking & Asset Management,Retail & Commercial Banking,213000,$101.9B revenue (FY2024),"Second-largest US bank with major sports sponsorship budget (already in golf, college sports); not on the F1 grid, giving it room to build a marquee global platform rivalling Santander's F1 presence."
22,Bank of Baroda,bankofbaroda.in,India,Banking & Asset Management,State-Owned Retail Banking,85000,~US$13B revenue (FY2024),"Large Indian public-sector bank with significant international branch network across the F1 footprint (UAE, Africa, Asia)."
23,Bank of Montreal (BMO),bmo.com,Canada,Banking & Asset Management,Universal Banking,55000,C$32.7B revenue (FY2024),Canada's oldest bank with growing US operations (BMO Harris) and no F1 or top-tier motorsport partnership.
24,Bank Rakyat Indonesia (BRI),bri.co.id,Indonesia,Banking & Asset Management,Retail & Microfinance Banking,120000,~US$12.0B revenue (FY2023),Massive Indonesian retail franchise seeking premium brand halo to complement its mass-market microfinance image.
25,"BlackRock, Inc.",blackrock.com,United States,Banking & Asset Management,Asset Management,21000,$20.4B revenue (FY2024),"World's largest asset manager with a global institutional and retail (iShares) brand; not on the F1 grid despite peers in banking/insurance sponsoring teams, making it a top-tier prospect for a global partnership."
