#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,Addison Group,addisongroup.com,USA,"Finance, IT & Administrative Staffing",1500,1k-5k,core,Medium-High,Fast-growing national staffing platform building a premium multi-vertical employer brand.,,X07a
2,ADP,adp.com,USA,"Global payroll, HR & PEO (TotalSource)",65000,10k+,core,High,"ADP is a global payroll and HR giant (NASDAQ: ADP, $18B+ revenue) whose TotalSource PEO division serves hundreds of thousands of worksite employees, exactly the enterprise scale F1's blue-chip sponsors bring.",yes,X07b
3,Airswift,airswift.com,UK,Energy & Technical Staffing,900,250-1k,core,Medium-High,Global energy-sector staffing firm with revenue scale to match category peers already in motorsport.,,X07a
4,Alexander Mann Solutions (AMS),weareams.com,UK,RPO & Talent Solutions,5000,1k-5k,core,High,Global RPO leader with scale and enterprise clients that would value F1's B2B hospitality platform.,,X07a
5,Allegis Group,allegisgroup.com,USA,IT & Industrial Staffing (Aerotek/TEKsystems),12000,10k+,core,High,Largest private US staffing firm; F1 gives Allegis the global stage its scale already commands.,yes,X07a
6,Amadeus FiRe AG,amadeus-fire.de,Germany,Professional Staffing,2000,1k-5k,core,Medium-High,Listed German staffing specialist could leverage F1's German-speaking fanbase for domestic visibility.,,X07a
7,AMN Healthcare,amnhealthcare.com,USA,Healthcare Staffing,4000,1k-5k,core,High,Largest US healthcare staffing company with revenue scale to fund a major sports sponsorship.,,X07a
8,Artech LLC,artech.com,USA,IT Staffing,7000,5k-10k,core,High,"One of the largest US minority-owned IT staffing firms, with scale to support major sponsorship.",,X07a
9,ASGN Incorporated,asgn.com,USA,IT Staffing & Consulting,9000,5k-10k,core,High,Public IT staffing leader with consulting scale comparable to F1 tech partners like Akkodis.,yes,X07a
10,Aya Healthcare,ayahealthcare.com,USA,Healthcare Staffing,4500,1k-5k,core,High,Largest privately-held healthcare staffing firm; revenue scale rivals category peers already in sport.,,X07a
11,Beacon Hill Staffing Group,beaconhillstaffing.com,USA,Professional Staffing,1200,1k-5k,core,Medium,Large privately-held US staffing platform positioned to compete for employer-brand visibility.,,X07a
12,Brunel International,brunel.net,Netherlands,Technical & Engineering Staffing,12000,10k+,core,High,Publicly listed technical staffing multinational with an engineering-heavy brand story suited to F1.,,X07a
13,Bullhorn,bullhorn.com,USA,Staffing industry CRM & ATS,1600,1k-5k,core,High,"Bullhorn is the leading CRM/ATS for the staffing industry itself, serving 10,000+ staffing firms globally, placing it directly in front of the recruiting-industry audience F1's Staffing & Talent sponsors want to reach.",yes,X07b
14,CHG Healthcare Services,chghealthcare.com,USA,Locum Tenens & Healthcare Staffing,4000,1k-5k,core,High,Employee-owned healthcare staffing giant with the scale to match motorsport sponsorship spend.,,X07a
15,Collabera,collabera.com,USA,IT Staffing,13000,10k+,core,High,Large global IT staffing and digital solutions firm with workforce scale to match F1-partner peers.,yes,X07a
16,Cross Country Healthcare,crosscountry.com,USA,Healthcare Staffing,2000,1k-5k,core,High,Publicly listed healthcare staffing leader competing for nurse and clinician mindshare nationally.,,X07a
17,CTG (Computer Task Group),ctg.com,USA,IT Staffing & Services,1400,1k-5k,core,Medium-High,Long-standing IT staffing and services firm (now part of Cegeka) with global delivery scale.,,X07a
18,Deel,deel.com,USA,EOR / global payroll,5000,1k-5k,core,High,"Deel has scaled past 5,000 employees and a reported $800M+ ARR, becoming the category-leading global payroll/EOR platform; its worldwide, high-income customer base mirrors F1's global fan footprint.",yes,X07b
19,Dexian,dexian.com,USA,IT Staffing,9000,5k-10k,core,High,New Mountain Capital-backed IT staffing powerhouse (Signature Consultants + DISYS) with major scale.,,X07a
20,Egon Zehnder,egonzehnder.com,Switzerland,Executive Search,2000,1k-5k,core,High,Elite global executive search firm whose C-suite clientele overlaps directly with F1's paddock guest list.,,X07a
21,EmployBridge,employbridge.com,USA,Industrial Staffing,4000,1k-5k,core,High,"Largest US industrial staffing firm by placements, with PE-scale (Apollo) capital for major sponsorship.",,X07a
22,Empresaria Group,empresaria.com,UK,Global Staffing Group,700,250-1k,core,Medium,Listed multi-market staffing group looking for a flagship international brand platform.,,X07a
23,First Advantage,fadv.com,USA,Global background screening,4000,1k-5k,core,High,"First Advantage (NASDAQ: FA) is a publicly traded global background-screening leader that merged with Sterling, giving it massive enterprise scale.",yes,X07b
24,Fiverr,fiverr.com,Israel,Freelance marketplace,1300,1k-5k,core,High,"Fiverr is publicly traded (NYSE: FVRR) with $370M+ revenue and a bold, culture-forward marketing style that is a natural stylistic fit for F1's fanbase.",yes,X07b
25,Freelancer.com,freelancer.com,Australia,Freelance marketplace,400,250-1k,core,Medium,"Freelancer.com (ASX: FLN) is a publicly listed global marketplace with tens of millions of registered users, giving it real marketing budget and an Australian home market tied to the Melbourne Grand Prix.",,X07b
26,Gattaca plc,gattacaplc.com,UK,Engineering & Technology Recruitment,400,250-1k,core,Medium,Listed engineering-focused recruiter whose candidate pool is a direct match to F1's technical workforce.,,X07a
27,Genesis10,genesis10.com,USA,IT Staffing & Consulting,1200,1k-5k,core,Medium,Publicly listed IT staffing/consulting firm with revenue scale supporting sponsorship investment.,,X07a
28,Gi Group Holding,gigroup.com,Italy,Global Staffing,7000,5k-10k,core,High,"Europe's largest Italian-founded staffing multinational, well-positioned for a home-market F1 tie via the Italian GP.",yes,X07a
29,Greenhouse Software,greenhouse.io,USA,Recruiting / ATS platform,1000,250-1k,core,High,"Greenhouse is a market-leading ATS used by 7,500+ companies including major global brands, with strong revenue scale and enterprise reach.",yes,X07b
30,Groupe CRIT,groupe-crit.com,France,Industrial & Aviation Staffing,6000,5k-10k,core,High,"Publicly listed, aviation/logistics-adjacent staffing specialist with brand-building ambitions.",,X07a
31,Hays plc,hays.com,UK,Global Professional Recruitment,10000,5k-10k,core,High,Hays operates in nearly every F1 host market; sponsorship would counter Randstad's decade-long grid presence.,yes,X07a
32,Heidrick & Struggles,heidrick.com,USA,Executive Search,2000,1k-5k,core,High,Publicly listed executive search firm competing for the C-suite mindshare F1's audience uniquely delivers.,,X07a
33,HireRight,hireright.com,USA,Global background screening,3500,1k-5k,core,High,"HireRight is a large, publicly-traded-heritage global background-screening provider serving over 40,000 customers across 200+ countries and territories.",yes,X07b
34,iCIMS,icims.com,USA,Talent acquisition software,1500,1k-5k,core,High,"iCIMS is a large, well-established, PE-backed talent-cloud provider serving thousands of enterprise customers, including many Fortune 500 firms.",yes,X07b
35,Impellam Group,impellam.com,UK,Global Staffing Group,2000,1k-5k,core,High,"Multi-brand UK staffing group (Blue Arrow, Lorien) with the scale for a British GP-anchored campaign.",,X07a
36,Insight Global,insightglobal.com,USA,IT & Professional Staffing,5000,1k-5k,core,High,Fast-growing private staffing giant with the scale to match F1 team partnership budgets and win the talent-brand war.,yes,X07a
37,Insperity,insperity.com,USA,PEO / HR outsourcing,4000,1k-5k,core,High,"Insperity (NYSE: NSP) is a publicly traded PEO with over $6B in revenue serving 100,000+ businesses, giving it substantial marketing budget.",yes,X07b
38,JAC Recruitment (JAC Group),jac-recruitment.com,Japan,Professional Recruitment,2000,1k-5k,core,Medium-High,Cross-border APAC recruiter with revenue scale and an Asia-heavy F1 calendar to leverage.,,X07a
39,Justworks,justworks.com,USA,PEO / HR platform,1000,250-1k,core,High,"Justworks (NASDAQ: JW) is a publicly traded PEO serving over 100,000 worksite employees, with strong brand recognition among startups and SMBs.",yes,X07b
40,Kelly Services,kellyservices.com,USA,Global Staffing,7000,5k-10k,core,High,Legacy staffing brand seeking reinvention; F1 sponsorship signals modernization the way Akkodis' rebrand did.,yes,X07a
