#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,adesso,adesso.de,Germany,Custom software & IT consulting,"~10,000",5k-10k,core,Tier 1 – Enterprise ($1M+),"Germany's largest independent IT consultancy, €1.3B+ revenue, ambitious international expansion narrative fits F1's global stage.",yes,X06b
2,Advania,advania.com,Iceland,Nordic IT services & managed services,"~2,700",1k-5k,core,Tier 2 – Mid-Market ($250K-1M),"Nordic-wide (Iceland/Sweden/Norway/Denmark) IT services group, revenue above €500M, no existing motorsport tie-in.",yes,X06b
3,AHEAD,ahead.com,United States,Cloud & digital infrastructure services,"~2,000",1k-5k,core,Tier 2 – Mid-Market ($250K-1M),"General Atlantic-backed, $1B+ revenue, fast-growing US enterprise cloud integrator building national brand awareness.",yes,X06b
4,All for One Group,all-for-one.com,Germany,SAP consulting & managed IT services,"~2,900",1k-5k,core,Tier 2 – Mid-Market ($250K-1M),"Frankfurt-listed SAP/IT consultancy, ~€480M revenue, DACH mid-market enterprise brand.",yes,X06b
5,Bechtle,bechtle.com,Germany,IT reseller & systems integrator,"~15,000",10k+,core,Tier 1 – Enterprise ($1M+),"DAX-adjacent pan-European IT reseller with €8B+ revenue and pan-European channel footprint spanning multiple GP host markets (Germany, Austria, Netherlands); no competing motorsport deal on record.",yes,X06b
6,Beyondsoft,beyondsoft.com,China,IT outsourcing & digital services,"~10,000",5k-10k,core,Tier 2 – Mid-Market ($250K-1M),Shenzhen-listed global IT outsourcer with revenue above $200M; China-headquartered — flag for sponsor optics/geopolitical review before outreach.,,X06b
7,Bouvet,bouvet.no,Norway,IT & digital consulting,"~2,300",1k-5k,core,Tier 2 – Mid-Market ($250K-1M),"Oslo-listed Norwegian IT consultancy, revenue above the $200M threshold, consistent growth track record.",,X06b
8,Bytes Technology Group,bytes.co.uk,United Kingdom,Software & cloud reseller,"~1,600",1k-5k,core,Tier 2 – Mid-Market ($250K-1M),LSE-listed software reseller with strong margins and cash generation; UK B2B brand seeking premium sports association.,yes,X06b
9,Cancom,cancom.de,Germany,IT infrastructure & cloud services,"~4,500",1k-5k,core,Tier 2 – Mid-Market ($250K-1M),"Listed (SDAX) systems integrator, revenue ~€1.2B, uses premium sports sponsorship for enterprise brand-building in DACH region.",yes,X06b
10,CDW,cdw.com,United States,IT solutions & reseller,"~15,000",10k+,core,Tier 1 – Enterprise ($1M+),"Nasdaq-listed, $21B+ revenue IT solutions leader, deep enterprise client base overlapping F1's Americas expansion audience.",yes,X06b
11,Cegeka,cegeka.com,Belgium,IT services & digital transformation,"~10,000",5k-10k,core,Tier 1 – Enterprise ($1M+),"Privately held Belgian IT services group, revenue above €1B, expanding across Benelux, DACH and Romania.",yes,X06b
12,Chinasoft International,chinasofti.com,China,IT outsourcing & Huawei-ecosystem services,"~60,000",10k+,core,Tier 1 – Enterprise ($1M+),"HKEX-listed, ~$2B+ revenue, one of China's largest IT services firms; China HQ and Huawei ties — flag for optics/geopolitical review.",,X06b
13,Claranet,claranet.com,United Kingdom,Managed cloud & hosting services,"~5,000",1k-5k,core,Tier 2 – Mid-Market ($250K-1M),"Pan-European managed services provider, ~€600M revenue, active across multiple F1 host countries (UK, France, Germany, Spain, Portugal).",yes,X06b
