sector_tab_order,cluster,priority_score,company,domain,hq_country,subsector,sells (what & to whom),employees_est,"valuation (date, round)",crossed $1B,latest round,revenue evidence,f1_risk,why_f1 / angle,verify flags
1,AI,59,Source Foundry,sourcefoundry.ai (est),USA,AI Infrastructure,Tooling for semiconductor manufacturing aimed at AI-chip production bottlenecks,"~40 (est) - sub-51, flagged (valuation $5B clears the $2B bar)","$5B, Aug 2026, round led by Situational Awareness (hedge fund)",August 2026,"Aug 2026, $400M, lead: Situational Awareness fund",revenue unproven (pre-commercial tooling),none known,Chip-manufacturing-tooling story is a step removed from consumer visibility; best framed as a deep-tech credibility partner rather than fan-facing,revenue unproven
1,AI,58,Prometheus,"prometheus.com (est, unconfirmed)",USA,AI Agents & Apps,"Jeff Bezos-backed 'artificial general engineer' AI that automates physical-product engineering (aerospace, autos, chips, drug discovery)","150 (confirmed, Jun 2026)","$41B, Apr 2026, Series B led by JPMorgan Chase & BlackRock",April 2026 (crossed far above $1B directly),"Apr 2026, $12B Series B, lead: JPMorgan Chase & BlackRock (Goldman Sachs, DST Global, Arch Venture Partners also in)","revenue unproven (pre-commercial, R&D stage)",none known,"Bezos-level capital and an engineering-precision brand story make it a marquee, high-budget prospect for an F1 team's tech/performance-engineering partnership tier",revenue unproven
1,AI,52,Hark,hark.com (est),USA,AI Agents & Apps,Consumer hardware device built around 'personal intelligence' AI assistant,"~45 (est) - sub-51, flagged (valuation $6B clears the $2B bar)","$6B, Mar 2026, Series A led by Parkway Venture Capital",March 2026 (crossed far above $1B directly),"Mar 2026, $700M Series A, lead: Parkway Venture Capital",revenue unproven (pre-launch consumer hardware),none known,Consumer hardware + huge round = mainstream-brand ambitions; a natural fit for a fan-facing activation deal,revenue unproven
1,AI,52,Runpod,runpod.io,USA,AI Infrastructure,GPU cloud / developer platform for renting compute to build and run AI models,"110 (confirmed, Jul 2026)","$1B, Jun 2026, round led by Summit Partners",June 2026,"Jun 2026, $100M, lead: Summit Partners (Intel Capital, Dell Technologies Capital also investors - minority stakes, OK)","$120M ARR as of Jan 2026 (confirmed via company press release), 1M+ developers on platform",none known; Intel Capital + Dell Technologies Capital are minority investors only,Real revenue traction ($120M ARR) plus a compute/GPU-cloud story that maps directly onto F1's simulation and real-time-compute narrative - one of the stronger substantiated picks on this list,
1,AI,52,Zankore,zankore.com (est),Indonesia,AI Infrastructure,Full-stack AI infrastructure / neocloud platform targeting 1 gigawatt of data-center capacity,~90 (est),"$1.6B, Aug 2026, corporate funding round led by Ooredoo",August 2026,"Aug 2026, $800M corporate funding, lead: Ooredoo",revenue unproven (infra still being built out),none known,Southeast-Asia AI-infra buildout backed by a telecom major; interesting for a team wanting SE-Asia market presence,revenue unproven
1,AI,51,Nextop AI,nextop.ai (est),USA,AI Infrastructure,Ethernet networking hardware purpose-built for AI data centers,~150 (est),"$4.2B, Mar 2026, Series B led by Andreessen Horowitz & Lightspeed Venture Partners",March 2026,"Mar 2026, $500M Series B, lead: a16z, Lightspeed Venture Partners",revenue unproven (hardware still ramping),none known,Networking/low-latency infrastructure story mirrors F1's real-time telemetry and trackside data-transport needs,revenue unproven
1,AI,48,Recursive Superintelligence,recursive.ai (est),UK,Foundation Models & AI Labs,"Stealth foundation-model research lab building self-improving AI that automates model architecture, training and evaluation",~60 (est),"$4.65B, May 2026, stealth round led by GV & Greycroft",May 2026,"May 2026, $650M, lead: GV & Greycroft (Nvidia and AMD Ventures also participated - minority stakes, OK)",revenue unproven (pre-product research lab),none known; Nvidia + AMD Ventures are minority investors only,UK-based frontier lab with marquee founders (ex-OpenAI/DeepMind/Meta AI) gives European visibility angle and R&D-credibility story for an F1 tech partner slot,revenue unproven
1,AI,47,Pragmatik Labs,pragmatiklabs.com (est),China,AI Agents & Apps,Builder of AI agents for both digital and physical environments,"~45 (est) - sub-51, flagged (valuation $2B clears the $2B bar)","$2B, Aug 2026, seed round led by Gaorong Capital & HongShan",August 2026,"Aug 2026, $220M seed, lead: Gaorong Capital, HongShan",revenue unproven (seed stage),"none known found, but China-headquartered - screen for state-fund/sanctions exposure before outreach",Very early stage despite huge valuation; treat as speculative/high-risk pick pending compliance screening,revenue unproven
1,AI,47,Simile,simile.ai (est),USA,AI Agents & Apps,Synthetic-user AI platform for simulating user research and product testing,~55 (est),"$2B, Jul 2026, Series B",July 2026,"Jul 2026, $200M Series B (lead undisclosed), five months after a $100M Series A",revenue unproven,none known,Extremely fast valuation climb ($2B five months after Series A) makes a compelling 'hot new AI money' sponsorship story,revenue unproven
1,AI,45,Rhoda AI,rhoda.ai (est),USA,Foundation Models & AI Labs,Builds foundational AI models for robotic systems,"~55 (est) - sub-51 risk, flagged","$1.7B, Mar 2026, Series A led by Premji Invest, Mayfield, Capricorn, Khosla, Temasek",March 2026,"Mar 2026, $450M Series A, lead: Premji Invest, Mayfield Fund, Capricorn Investment Group, Khosla Ventures, Temasek",revenue unproven,none known,Robotics-foundation-model angle fits pit-crew/automation-adjacent sponsorship narratives,revenue unproven
1,AI,44,DEEPX,deepx.ai (est),South Korea,AI Infrastructure,Edge AI processors (chips) for on-device inference,"~200 (est, 8-year-old company)","$2.2B, Aug 2026, Series D (first tranche)",August 2026,"Aug 2026, $29M Series D (first tranche), lead: existing investors",revenue unproven (chip revenue not disclosed),none known,Korean edge-AI chipmaker; APAC market-entry story for a team looking to expand sponsorship footprint in Korea,revenue unproven
1,AI,43,LibLib,liblib.art (est),China,AI Agents & Apps,AI-generated content creation platform (image/video model marketplace and creation tools),~150 (est),"$2B+, Jun 2026, Series B+ led by Granite Asia & Tencent",June 2026,"Jun 2026, $300M+ Series B+, lead: Granite Asia, Tencent",revenue unproven,none known; China-headquartered - screen for state-fund exposure and any export/sanctions issues before outreach,"China-market creative-AI leader; if cleared, offers an APAC fan-engagement/content angle, though geographic/political sensitivity should be weighed",revenue unproven
