#,company,domain,hq_country,sector,subsector,employees_est,funding_total,why_f1
1,Airbase,airbase.com,USA,B2B Spend & Corporate Cards,Spend Management / Procure-to-Pay,~296,"~$201M total, latest Series C $91M (2021, brought cumulative total to $201M)","US-based procure-to-pay and spend management scale-up targeting mid-market finance teams; F1's expanding US audience (Austin, Miami, Las Vegas GPs) and CFO/finance-leader viewership overlap gives Airbase a data-driven case for a targeted US sponsorship or hospitality activation."
2,Balance,getbalance.com,USA,B2B Spend & Corporate Cards,B2B BNPL / AR Automation for Physical Trade,~147,"$250M+ total (per funding database), backed by Forerunner, Lightspeed, Tiger Global","AI-native financial infrastructure for physical B2B trade (manufacturing, distribution, wholesale) - sectors with deep historical ties to motorsport and F1 team supply chains; sponsorship would let Balance showcase its platform to exactly the kind of industrial/manufacturing buyers and sellers it serves."
3,Capchase,capchase.com,USA,B2B Spend & Corporate Cards,B2B BNPL / Vendor & Revenue Financing,~96,"$250M+ total (equity+debt), backed by QED, Invesco, Thomvest","Vendor-financing platform enabling enterprise tech buyers to spread payments, serving Fortune 500-adjacent customers like CDW and Insight; F1's enterprise B2B sponsorship audience (procurement and finance leaders at large buyers) is squarely Capchase's target decision-maker base."
4,Clara,clara.com,Mexico/Brazil,B2B Spend & Corporate Cards,Corporate Cards & Spend Management (LatAm),~467,"$204M+ equity (some reports cite $700M+ incl. debt facilities), latest $80M round April 2025","LatAm's leading corporate card/spend unicorn, serving 20,000+ businesses across Mexico, Brazil and Colombia; Mexico City GP is one of F1's most-attended races and Clara's brand-building ambitions in the region make an F1 partnership a natural fit for regional awareness."
5,Clearco,clear.co,Canada,B2B Spend & Corporate Cards,Revenue-Based Financing / Working Capital,~136,"$3.5B+ deployed (mostly debt facilities), ~$450M equity raised, major rounds 2021","Toronto-based e-commerce financing pioneer with a history of high-profile brand marketing (celebrity-fronted campaigns); F1's growing North American and e-commerce-brand fan base fits Clearco's core 10,000+ funded-brand customer base."
6,Fundbox,fundbox.com,USA/Israel,B2B Spend & Corporate Cards,B2B BNPL / Embedded Working Capital,~208,"$300M+ equity plus significant debt facilities (unicorn, $1.6B valuation 2021)",SMB embedded-capital infrastructure provider (CNBC Top Fintech 2024/2025) pivoting toward platform partnerships; F1's broadcast reach among small-business owners and platform partners provides Fundbox brand exposure as it repositions as capital infrastructure behind the digital SMB economy.
7,Jeeves,tryjeeves.com,"USA/Mexico (LatAm-focused, YC-backed)",B2B Spend & Corporate Cards,Corporate Cards & Global Spend Management,~150,"$380-594M total (equity+debt), latest $100M venture debt round Dec 2025","Global corporate card/spend platform for scaling companies across LatAm, US and Europe with heavy debt-fueled balance sheet; F1's global calendar (especially Mexico City and Miami GPs) maps directly onto Jeeves' core LatAm/US customer base and could anchor a regional activation strategy."
8,Mondu,mondu.ai,Germany/Netherlands,B2B Spend & Corporate Cards,B2B BNPL / Trade Credit,100-150,$220M in equity and debt financing to date (per company),"German-founded B2B BNPL platform backed by J.P. Morgan Payments and Valar Ventures, expanding across Europe; F1's German (Barcelona/Spa-adjacent EU) and pan-European B2B audience of merchants/marketplaces is exactly who Mondu needs to reach for its embedded-checkout financing product."
9,Novo,novo.co,USA,B2B Spend & Corporate Cards,Business Banking & Corporate Cards,~413,"~$212M total, latest Series C $90M (2022)",Fast-growing US small-business banking and card platform positioned against Mercury/Brex; F1's expanding American footprint and small-business-owner audience offers Novo a marketing lever to build brand recognition beyond digital-only acquisition channels.
10,Payhawk,payhawk.com,Bulgaria/UK,B2B Spend & Corporate Cards,Corporate Cards & Spend Management,400-500,"$240-343M total (varies by source incl. debt), latest $100M raise 2024/2025 talks at ~$2B valuation",European scale-up spend management unicorn (~$1B+ valuation) actively expanding brand into UK/EU enterprise segment; category directly adjacent to Visa/Mastercard/Amex but itself unsponsored; strong marketing budget and prior sports-adjacent sponsorship appetite (football shirt deals in Bulgaria) suggest F1 fits its premium B2B branding push.
