list,company,domain,hq_country,subsector,employees_est,size_band,affordability,why_f1,already_in_master_book,source_batch
Insurance - Carriers & Reinsurers,Chubb Limited,chubb.com,Switzerland,Multiline P&C,40000+,20k+,"Revenue >$50B; global P&C leader with sports sponsorship budgets already at scale (e.g. LPGA, tennis)","Massive global commercial/personal lines brand needing premium international exposure; not an F1 sponsor (Marsh now holds F1's insurance-broking slot, Chubb is a carrier, not a broker)",yes,L01a
Insurance - Carriers & Reinsurers,Travelers Companies,travelers.com,United States,Multiline P&C,30000+,20k+,"Revenue >$45B; Fortune 100, sponsors PGA Tour Championship at multi-million-dollar level",Proven appetite for marquee sports title sponsorship (Travelers Championship); no F1 presence today,yes,L01a
Insurance - Carriers & Reinsurers,Progressive Corporation,progressive.com,United States,Auto P&C,60000+,20k+,Revenue >$75B; among largest US ad spenders,Consumer-brand advertiser with huge marketing budget and motor-insurance relevance to motorsport; no current F1 tie,yes,L01a
Insurance - Carriers & Reinsurers,Allstate Corporation,allstate.com,United States,Multiline P&C,50000+,20k+,Revenue >$55B; major national ad spender,Iconic consumer insurance brand seeking global/youth audience expansion beyond US; F1-clean,yes,L01a
Insurance - Carriers & Reinsurers,Liberty Mutual Insurance,libertymutual.com,United States,Multiline P&C (mutual),45000+,20k+,"Revenue >$45B; sponsors PGA Tour, US Olympic team","Existing marquee sports-sponsorship program (golf, Olympics) shows F1-scale budget appetite; not F1-affiliated",yes,L01a
Insurance - Carriers & Reinsurers,Nationwide Mutual Insurance,nationwide.com,United States,Multiline (mutual),24000+,20k+,Revenue >$25B; long-time NASCAR sponsor (Nationwide Series naming rights),Deep motorsport sponsorship history (NASCAR) but no F1 presence — natural extension into global racing,yes,L01a
Insurance - Carriers & Reinsurers,State Farm Mutual,statefarm.com,United States,Multiline (mutual),55000+,20k+,"Revenue >$100B; largest US P&C/auto insurer, huge ad budget",Largest US insurer with massive brand-marketing spend and no global motorsport platform today,yes,L01a
Insurance - Carriers & Reinsurers,USAA,usaa.com,United States,Multiline (mutual),37000+,20k+,Revenue >$35B; military-affinity brand with national sponsorship programs,"Strong brand affinity marketing (NFL, college sports) but absent from F1/global motorsport",yes,L01a
Insurance - Carriers & Reinsurers,Cincinnati Financial Corporation,cinfin.com,United States,Commercial P&C,6000+,5k-6k,"Revenue >$9B, publicly traded, profitable",Well-capitalized regional-to-national commercial carrier expanding brand beyond independent-agent channel; F1-clean,,L01a
Insurance - Carriers & Reinsurers,Erie Indemnity / Erie Insurance,erieinsurance.com,United States,Multiline P&C,6000+,5k-6k,"Revenue >$10B; profitable, consistently top-ranked customer satisfaction insurer",Growth-focused regional carrier expanding national footprint; no motorsport sponsorship today,,L01a
