f1_sponsor,sponsor_f1_relationship,category,rank,competitor,domain,note,also_comparable_to
Barilla,F1 official partner,"Beverages, Food & CPG",1,De Matteis Agroalimentare (Verrigni/Pasta Armando),pasta.it,Fast-scaling premium Italian pasta group,
Barilla,F1 official partner,"Beverages, Food & CPG",2,Voiello,voiello.it,Barilla-adjacent heritage Naples pasta brand,
Barilla,F1 official partner,"Beverages, Food & CPG",3,Setaro,pastasetaro.it,Boutique Torre Annunziata pasta producer,
Barilla,F1 official partner,"Beverages, Food & CPG",4,Gragnano Pasta (Pastificio dei Campi),pastadeicampi.it,Craft PGI Gragnano pasta scaling exports,
Barilla,F1 official partner,"Beverages, Food & CPG",5,Molisana Group,lamolisana.it,Growing Italian dry-pasta exporter,
Barilla,F1 official partner,"Beverages, Food & CPG",6,Riscossa,riscossa.it,Independent Sicilian durum wheat pasta maker,
Barilla,F1 official partner,"Beverages, Food & CPG",7,Banza,eatbanza.com,Fast-growing US chickpea-pasta challenger brand,
Barilla,F1 official partner,"Beverages, Food & CPG",8,Jovial Foods,jovialfoods.com,US organic/einkorn pasta challenger brand,
Barilla,F1 official partner,"Beverages, Food & CPG",9,Bionaturae,bionaturae.com,US-imported organic Italian pasta brand,
Barilla,F1 official partner,"Beverages, Food & CPG",10,Tolerant Foods,tolerantfoods.com,US legume-pasta health challenger brand,
Barilla,F1 official partner,"Beverages, Food & CPG",11,Explore Cuisine,explorecuisine.com,Fast-growing plant-based pasta challenger,
Barilla,F1 official partner,"Beverages, Food & CPG",12,San Giorgio Pasta,sangiorgio.com,US regional pasta brand,
Barilla,F1 official partner,"Beverages, Food & CPG",13,Pastificio Cocco,pastificiococco.it,Fast-growing Fara San Martino artisanal pasta maker,
Barilla,F1 official partner,"Beverages, Food & CPG",14,Rustichella d'Abruzzo,rustichella.it,Fast-growing independent premium Italian pasta exporter,
Barilla,F1 official partner,"Beverages, Food & CPG",15,Alce Nero,alcenero.com,Fast-growing independent Italian organic food and pasta brand,
Barilla,F1 official partner,"Beverages, Food & CPG",16,Felicetti,pastafelicetti.it,Fast-growing independent Italian organic pasta maker,
Barilla,F1 official partner,"Beverages, Food & CPG",17,Pasta Zara,pastazara.it,Fast-growing independent Italian pasta exporter,
Barilla,F1 official partner,"Beverages, Food & CPG",18,Pastificio Fabianelli,fabianelli.it,Fast-growing independent Tuscan pasta producer,
Barilla,F1 official partner,"Beverages, Food & CPG",19,Antico Pastificio Morelli,pastamorelli.it,Fast-growing heritage Tuscan artisanal pasta brand,
Barilla,F1 official partner,"Beverages, Food & CPG",20,Pasta Marella,pastamarella.it,Independent Neapolitan pasta producer,
Barilla,F1 official partner,"Beverages, Food & CPG",21,Afeltra,pastificioafeltra.it,Fast-growing artisanal Gragnano pasta brand,
Barilla,F1 official partner,"Beverages, Food & CPG",22,Pastificio Faella,pastificiofaella.it,Fast-growing artisanal Gragnano bronze-die pasta maker,
Barilla,F1 official partner,"Beverages, Food & CPG",23,Pastificio Leonessa,pastaleonessa.it,Independent Gragnano pasta producer,
Barilla,F1 official partner,"Beverages, Food & CPG",24,Martelli Pasta,pastamartelli.it,Boutique family-run Tuscan pasta maker,
Barilla,F1 official partner,"Beverages, Food & CPG",25,Latini Fabio,pastalatini.it,Independent Umbrian artisanal pasta producer,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",1,Kicking Horse Coffee,kickinghorsecoffee.com,Fast-growing independent Canadian coffee brand,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",2,Blue Bottle Coffee (Nestlé),bluebottlecoffee.com,Fast-growing premium specialty coffee brand,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",3,Stumptown Coffee Roasters,stumptowncoffee.com,Fast-growing US specialty coffee roaster,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",4,Counter Culture Coffee,counterculturecoffee.com,Fast-growing US specialty coffee roaster,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",5,La Colombe Coffee Roasters,lacolombe.com,Fast-scaling US specialty coffee and RTD brand,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",6,Cometeer,cometeer.com,Fast-growing frozen-pod specialty coffee startup,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",7,Ryze Mushroom Coffee,ryzesuperfoods.com,Fast-scaling US mushroom coffee challenger brand,
Beforeyouspeak Coffee,Alpine partner,"Beverages, Food & CPG",8,MUD\WTR,mudwtr.com,Fast-growing US coffee-alternative functional beverage brand,
