#,company,domain,hq_country,sector,subsector,employees_est,affordability,why_f1
1,Aiper,aiper.com,China,Premium Home & Smart Appliances,Robotic pool cleaners,90,"Revenue $200-500M (Clay est.); $100M strategic investment from Fluidra closed April 2025 as part of $160M total raised, well within last 24 months","World's #1 cordless robotic pool cleaner brand (4M+ users, 57+ countries) mid-globalization with fresh Fluidra capital; F1's outdoor-living, high-net-worth audience is a direct match for premium pool tech."
2,Aiphone,aiphone.com,Japan,Premium Home & Smart Appliances,Video intercoms & access control,400,Publicly traded (TSE); estimated revenue $200-500M range,Not an F1 sponsor; category-defining intercom/access-control brand for homes and buildings globally
3,Airmate Group Corp,airmate.com.cn,China,Premium Home & Smart Appliances,Air Purifiers & Small Appliances,3800,Publicly listed (Shenzhen:002959); est. revenue >$500M/yr,Major Chinese small-appliance/air-treatment maker seeking premium international brand positioning
4,Airweave,airweave.com,Japan,Premium Home & Smart Appliances,Performance/premium sleep tech,600,Privately held Japanese premium sleep-tech brand with an established elite-athlete/Olympic-team sponsorship history (option-3 affordability path: sponsorship spend >$1M/yr documented via multi-national-team partnerships).,"Rare sleep brand with a genuine track record of high-value sports sponsorship (Olympic teams, elite athletes across multiple countries), directly evidencing F1-scale sponsorship capacity; not an F1 partner today."
5,Ajax Systems,ajax.systems,Cyprus / Ukraine,Premium Home & Smart Appliances,Wireless security & alarm systems,5000,"Bootstrapped/profitable at scale: 4 factories, sold in 180+ countries, fast-growing European market leader","Not an F1 sponsor; sits right at the employee ceiling but is a fast-scaling, profitable European security hardware leader - good regional diversification"
6,Alarm.com,alarm.com,United States,Premium Home & Smart Appliances,Smart home security software/platform,2051,"Public (NASDAQ: ALRM); 2025 revenue $1.01B, profitable","Not an F1 sponsor; dominant SaaS platform behind thousands of security dealers, comfortably affordable"
7,Alliance Laundry Systems (Speed Queen),speedqueen.com,United States,Premium Home & Smart Appliances,Premium residential & commercial laundry appliances,"~2,500-3,000 (est.)","Privately/PE-industrial owned; revenue estimated $700M-1B — estimate, needs confirmation","Premium-positioned, made-in-USA laundry brand with a durability/performance story and growing DTC premium consumer line; motorsport-adjacent 'built to last' positioning untapped."
8,Angel Yuemei (Angel Drinking Water Equipment Co Ltd),angel-group.com,China,Premium Home & Smart Appliances,Water Purification,3500,Publicly listed (Shenzhen); est. revenue >$500M/yr,China's leading water purifier brand with global expansion strategy and high brand-visibility ambitions
9,Antolini,antolini.com,Italy,Premium Home & Smart Appliances,Luxury natural stone surfaces,1200,Family-owned global leader in luxury natural stone (marble/granite/quartzite); estimated revenue in the EUR500-600M range.,"The world's most prestigious natural-stone supplier for luxury architecture, yachts and hospitality; scale and margins support a premium sponsorship; no F1 tie."
10,Appotronics / Formovie,formovie.com,China,Premium Home & Smart Appliances,Laser TV & home cinema projectors,2000,"Public company (Shenzhen STAR Market: 688007), revenue $200-500M",No F1 sponsorship found; ALPD laser display pioneer pushing into premium home theater globally
