#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,3M Company (Electrical Markets),3m.com,United States,Connectors & Electrical Interconnect,85000,10k+,core,"Public (NYSE: MMM); group revenue ~$24B, ~85,000 employees",Diversified materials/interconnect leader; motorsport R&D narrative fits innovation positioning,yes,X02a
2,AAC Technologies Holdings,aactechnologies.com,Hong Kong,"Acoustic, MEMS & optics components",40000,10k+,core,Public (HKEX:2018); FY2024 revenue ~US$2B (annual report),Precision acoustic/optics component maker seeking premium brand story to complement OEM supply role,yes,X02b
3,Aihua Group,aihuagroup.com,China,Passive Components (aluminum capacitors),6000,5k-10k,core,"Public (Shenzhen: 603989); revenue est. $300-400M, 6,000+ employees",Aluminum electrolytic capacitor maker seeking global brand recognition for export growth,,X02a
4,Amphenol Corporation,amphenol.com,United States,Connectors,90000,10k+,core,"Public (NYSE: APH); FY revenue ~$13B, ~90,000 employees",High-reliability interconnect brand story fits motorsport's extreme-environment engineering narrative,yes,X02a
5,Aptiv PLC,aptiv.com,Ireland,Connectors & Electrical Architecture,150000,10k+,core,"Public (NYSE: APTV); revenue ~$20B, ~150,000 employees; no current F1 team sponsorship found in search",Vehicle electrical-architecture leader; smart-connectivity story pairs well with F1 data/telemetry narrative,yes,X02a
6,Arcadyan Technology,arcadyan.com,Taiwan,ODM networking & broadband electronics,3000,1k-5k,core,Public (TPEx:3596); FY2024 revenue ~US$1B (annual report),Broadband/networking ODM wanting brand recognition for its connectivity technology,,X02b
7,Askey Computer Corp,askey.com.tw,Taiwan,ODM networking electronics,5000,1k-5k,core,Public (TPEx:3169); FY2024 revenue ~US$1.3B (annual report),Networking-hardware ODM seeking premium brand story tied to connectivity/telemetry technology,,X02b
8,AT&S,ats.net,Austria,PCB & IC Substrates,14000,10k+,core,"Public (Vienna Stock Exchange: ATS); revenue ~€1.7B, ~14,000 employees",Advanced IC-substrate maker for automotive/mobility electronics fits high-tech sponsorship story,yes,X02a
9,AU Optronics (AUO),auo.com,Taiwan,Display panels (LCD/Mini-LED),38000,10k+,core,Public (TWSE:2409); FY2024 revenue ~US$6B (annual report),Diversifying into automotive displays; motorsport sponsorship fits new automotive-tech positioning,,X02b
10,Avnet Inc,avnet.com,United States,Global electronic components distribution,14000,10k+,core,Public (NASDAQ:AVT); FY2024 revenue ~US$20B (10-K),Global components distributor with design-engineering services aligned to F1 supply-chain storytelling,yes,X02b
11,Balluff GmbH,balluff.com,Germany,Industrial sensors & connectivity,4000,1k-5k,core,Private; FY2024 revenue ~€600M (company reports),Precision industrial-sensor family business seeking premium international brand exposure,yes,X02b
12,Baumer Group,baumer.com,Switzerland,Industrial sensors,3000,1k-5k,core,Private; FY2024 revenue ~€500M (company reports),Swiss precision-sensor maker aligned culturally with motorsport engineering excellence,yes,X02b
13,Belden Inc,belden.com,United States,Connectors & Cabling,7500,5k-10k,core,"Public (NYSE: BDC); revenue ~$2.5B, ~7,500 employees",Signal-transmission and connectivity brand fits data/telemetry-focused sponsorship narrative,yes,X02a
