#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
1,Alchip Technologies,alchip.com,Taiwan,Custom ASIC / HBM design services,"~1,000",250-1k,core,Public company (TWSE: 3661); revenue surged past $500M in 2024 on AI-ASIC design demand from hyperscalers.,Custom AI-silicon design partner riding the same hyperscaler AI buildout as F1's data-center-facing sponsors.,yes,X01b
2,Allegro MicroSystems,allegromicro.com,USA,Magnetic sensor ICs,"~4,000",1k-5k,core,Nasdaq-listed (ALGM); FY2024 revenue ~$700M,Motor-control and sensing ICs directly relevant to EV powertrain sensing storylines.,yes,X01a
3,Alpha and Omega Semiconductor,aosmd.com,USA,Power discretes (MOSFETs),"~3,000",1k-5k,core,Nasdaq-listed (AOSL); FY2024 revenue ~$600M,Power MOSFET leader tied directly to EV and data-center power trends F1 likes to showcase.,yes,X01a
4,Alphawave Semi,alphawavesemi.com,United Kingdom,Connectivity IP and custom AI/DPU silicon,"~1,000",250-1k,core,"Publicly listed (LSE: AWE); FY2023 revenue was in the roughly $305-380M range with continued growth via acquisitions (OpenFive from SiFive, Banias Labs).","UK-headquartered, well-capitalized connectivity-silicon leader -- a strong fit for a UK-based F1 team partnership.",yes,X01b
5,Ambarella,ambarella.com,USA,Edge AI vision SoCs,~700,250-1k,core,"Nasdaq-listed (AMBA); FY2025 revenue ~$240M, above the $200M gate",Computer-vision SoC leader for AI-driven race analytics and broadcast/robotics cameras.,yes,X01a
6,Amkor Technology,amkor.com,USA,"OSAT (assembly, packaging & test)","~31,000",10k+,core,Nasdaq-listed (AMKR); FY2024 revenue ~$6.3B,World's #2 OSAT with a global manufacturing footprint story worth amplifying.,yes,X01a
7,Amlogic,amlogic.com,China,Media / consumer SoC,"~1,200",1k-5k,core,Publicly listed on the Shanghai STAR Market; annual revenue is in the $400M+ range as a leading smart-TV/set-top-box chip supplier.,Large consumer-media chip franchise with strong public financials.,yes,X01b
8,ams OSRAM,ams-osram.com,Austria,Optical sensors & ICs,"~19,000",10k+,core,SIX Swiss Exchange-listed; revenue ~€2B,"Optical sensing leader (LiDAR, automotive lighting) matching F1's sensor-technology narrative.",yes,X01a
9,Analog Devices,analog.com,USA,"IDM (analog/mixed-signal, precision sensing)","~24,000",10k+,core,Nasdaq-listed (ADI); FY2024 revenue ~$9.4B,Precision sensing and data-conversion technology aligns directly with F1's telemetry-heavy storytelling.,yes,X01a
10,ASE Technology Holding,aseglobal.com,Taiwan,"OSAT (assembly, packaging & test)","~90,000+",10k+,core,TWSE/NYSE-listed; revenue ~$20B,World's largest OSAT with advanced-packaging innovation tied to the AI compute-density boom.,yes,X01a
11,Astera Labs,asteralabs.com,United States,Connectivity chips for AI data centers,~600,250-1k,core,"Public company (Nasdaq: ALAB); FY2024 revenue was approximately $396M, up sharply from ~$116M the prior year on AI data-center connectivity demand.","High-growth, well-capitalized AI-infrastructure supplier with strong core-tier ad-budget capacity.",yes,X01b
12,"Bosch (Semiconductor Sector, Robert Bosch GmbH)",bosch.com,Germany,"IDM (automotive semiconductors, own wafer fab in Dresden)","~420,000 group-wide",10k+,core,"Group revenue >€90B; long history of motorsport-adjacent technology partnerships (WEC, Formula E, rallying)",Global automotive technology giant with its own semiconductor fabs and a proven history of racing-adjacent sponsorship.,yes,X01a
13,Broadcom Inc,broadcom.com,USA,IDM/fabless (networking & infrastructure semis),"~20,000",10k+,core,Nasdaq-listed (AVGO); FY2024 revenue ~$51B,Infrastructure-chip giant with deep marketing budget and no current F1 presence.,yes,X01a
14,Cirrus Logic,cirrus.com,USA,Analog/mixed-signal (audio & power),"~1,800",1k-5k,core,Nasdaq-listed (CRUS); FY2024 revenue ~$1.9B,Precision audio/power IC maker with consumer-brand crossover appeal wanting motorsport glamour.,yes,X01a
